unit,cnorm,raw_norm,row_mean,bias,current_z_mean,current_z_sd,ref_z_mean,ref_z_sd,h05,h1,h2,dce,w2col,dce_rank,w2_rank,target,matched,random,shallow,shallow_matched
0,7.869126953803085,7.887048679461278,-0.018978299137842793,-0.3289859890937805,-1.9532750353973825,2.706721739430921,-2.836308124842617,2.3853716039598636,0.0869140625,0.181396484375,0.3701171875,0.03047245740890503,2.4264023781327233,0.9696969696969697,0.29292929292929293,0,0,0,0,1
1,7.430267334085604,7.512907656132767,-0.03968801793168068,-0.1295519769191742,-3.407000145467464,2.8471348542223223,-3.7770572935060045,2.2990045352523945,0.0439453125,0.0908203125,0.22265625,0.0009756982326507568,2.5778321799673876,0.37373737373737376,0.6464646464646465,0,0,0,0,0
2,7.453464111156173,7.510825518499251,-0.03308871642110141,-0.14617228507995605,-4.577580244658748,2.4457360231033998,-3.537127793098989,2.3405153963454253,0.061279296875,0.123291015625,0.2666015625,-0.0005227923393249512,2.577844406169056,0.20202020202020202,0.6565656565656566,0,0,0,0,0
3,7.348409364019436,7.354221313769573,-0.010439998063164388,-0.017981063574552536,-0.5359051997074857,2.6988311665648754,-2.0106369258364793,2.158274023932454,0.127685546875,0.25927734375,0.495849609375,0.007715880870819092,2.3277152689850116,0.8181818181818182,0.16161616161616163,1,0,0,1,0
4,7.154841253584106,7.348842817797607,-0.05990785224914399,-0.38079988956451416,-8.127157730981708,3.1469268732345683,-6.671030358709686,3.0433484691941555,0.003662109375,0.011474609375,0.042236328125,0.0002645254135131836,2.6421768988386733,0.08080808080808081,0.7373737373737373,0,0,0,0,1
5,7.739283318047932,7.776910211213447,-0.02728875628753838,-0.061736732721328735,-3.328378998572589,2.1729518629309315,-2.875992350723209,2.3978733877905882,0.08740234375,0.1748046875,0.353515625,0.0018658638000488281,2.4446205988219196,0.5353535353535354,0.3333333333333333,0,0,0,0,1
6,7.869743606838229,8.062785549058056,-0.06263400300604746,-0.35015013813972473,-6.693496738793328,2.7191580561865685,-6.651112391813513,3.4261308475372285,0.018310546875,0.03466796875,0.07861328125,-0.0014413297176361084,2.6100111533700026,0.47474747474747475,0.6767676767676768,0,0,0,0,0
7,7.851396671738847,7.889043572239069,-0.027492549725825575,0.1782279908657074,-2.661757156049134,2.1271077282301283,-2.408190654890859,2.348226691602788,0.09814453125,0.203369140625,0.416748046875,-0.000880122184753418,2.4973467805464313,0.3333333333333333,0.43434343434343436,0,0,0,0,0
8,7.647964512799715,7.64839690362422,0.002904519333242206,-0.17129354178905487,1.803684915881604,3.065923048569865,0.42609868948238727,2.3326321984901885,0.1708984375,0.343994140625,0.6279296875,0.028823494911193848,2.559361576598102,0.9595959595959596,0.6060606060606061,0,0,0,1,0
9,7.5147142108538985,7.52933661558245,0.016750731020488737,0.09520702064037323,1.6862885409937007,2.281478718599074,1.7502116320692949,2.202683345348896,0.130615234375,0.2666015625,0.522216796875,0.00013387203216552734,2.2895748947837324,0.050505050505050504,0.09090909090909091,0,0,1,1,0
10,8.014033951684677,8.157978541828486,-0.054490610853129194,-0.381560742855072,-7.82924513949547,2.8995201817782497,-6.25373002528795,3.2523663261736058,0.013916015625,0.031982421875,0.083740234375,0.0027482211589813232,2.888609931532755,0.6363636363636364,0.9393939393939394,0,0,0,0,0
