arm,seed,checkpoint,branch,n_frozen,cohort_status,auc_ce,task1_auc_ce,tasks2to10_auc_ce,heldout_ce,heldout_acc
ELU1,2,20,NONE,0,COHORT_TOO_SMALL,0.48022802620530125,0.4804041656255722,0.48020845515860455,0.25168328285217284,0.9194983124732972
ELU1,2,20,TARGET,1,COHORT_TOO_SMALL,0.4817605226755142,0.48052767431735993,0.48189750582642027,0.25101754516363145,0.9199304401874542
ELU1,2,20,MATCHED,1,COHORT_TOO_SMALL,0.4787239118039609,0.4829400165081024,0.4782554557257228,0.2514614209532738,0.9202150166034698
ELU1,2,20,RANDOM,1,COHORT_TOO_SMALL,0.481234415602684,0.4815686378479004,0.48119727979765997,0.25240412503480913,0.9190556526184082
ELU1,2,20,SHALLOW,25,COHORT_TOO_SMALL,0.5083954251945018,0.5667948940992356,0.5019065953161981,0.26856386959552764,0.915567034482956
ELU1,2,20,SHALLOW_MATCHED,25,COHORT_TOO_SMALL,0.5091935327351093,0.5249029589891434,0.5074480409291056,0.263224595785141,0.9165577590465546
ELU1,2,100,NONE,0,EXISTS,0.5691236387014389,0.54919424533844,0.5713380157417721,0.3011192739009857,0.9073882818222045
ELU1,2,100,TARGET,5,EXISTS,0.5784358312368394,0.5569343649148941,0.5808248830503887,0.30530066788196564,0.9057230174541473
ELU1,2,100,MATCHED,5,EXISTS,0.5740161755204201,0.5610922366380692,0.5754521687295702,0.30765139758586885,0.9063975572586059
ELU1,2,100,RANDOM,5,EXISTS,0.5704163368940354,0.5546728556156159,0.5721656125916375,0.3062126308679581,0.9067875206470489
ELU1,2,100,SHALLOW,25,EXISTS,0.6156574860811235,0.6622993731498719,0.6104750541845958,0.32538260519504547,0.8997575879096985
ELU1,2,100,SHALLOW_MATCHED,25,EXISTS,0.5989637110233307,0.5980204181671143,0.5990685213406881,0.3253160178661346,0.8997681260108947
