arm,seed,checkpoint,branch,n_frozen,cohort_status,auc_ce,task1_auc_ce,tasks2to10_auc_ce,heldout_ce,heldout_acc
ELU1,0,20,NONE,0,COHORT_TOO_SMALL,0.5006428823828697,0.4812014189958572,0.5028030449814267,0.26298029720783234,0.9176433384418488
ELU1,0,20,TARGET,2,COHORT_TOO_SMALL,0.5038714358627796,0.4818148005008698,0.506322173125214,0.2624565541744232,0.9178119778633118
ELU1,0,20,MATCHED,2,COHORT_TOO_SMALL,0.5013043736398222,0.4811853229999542,0.5035398237109184,0.2641437128186226,0.9174747049808503
ELU1,0,20,RANDOM,2,COHORT_TOO_SMALL,0.5004837984263897,0.48147177052497864,0.502596245970991,0.2626877412199974,0.9177276492118835
ELU1,0,20,SHALLOW,25,COHORT_TOO_SMALL,0.5240401831269265,0.5269875524044036,0.5237126976516512,0.2730588138103485,0.9149030268192291
ELU1,0,20,SHALLOW_MATCHED,25,COHORT_TOO_SMALL,0.5227530195891857,0.5063165729045868,0.5245792914430301,0.28065308928489685,0.9122259676456451
ELU1,0,100,NONE,0,EXISTS,0.5919447308301926,0.623762326002121,0.5884094424777562,0.3129565268754959,0.9033832132816315
ELU1,0,100,TARGET,4,EXISTS,0.5980976972341537,0.6406041126251221,0.5933747621907128,0.3187636971473694,0.9015914857387543
ELU1,0,100,MATCHED,4,EXISTS,0.593188092648983,0.6338021004199982,0.58867542511887,0.3150248348712921,0.902845698595047
ELU1,0,100,RANDOM,4,EXISTS,0.5904187544941902,0.6227255289554596,0.5868291128873824,0.3130753695964813,0.903889125585556
ELU1,0,100,SHALLOW,25,EXISTS,0.6523430007815361,0.7243461874723435,0.6443426467047798,0.3396143585443497,0.894287520647049
ELU1,0,100,SHALLOW_MATCHED,25,EXISTS,0.6265703024029732,0.6878644672632217,0.6197598396407233,0.3382889717817307,0.8942769825458526
