unit,cnorm,raw_norm,row_mean,bias,current_z_mean,current_z_sd,ref_z_mean,ref_z_sd,h05,h1,h2,dce,w2col,dce_rank,w2_rank,target,matched,random,shallow,shallow_matched
0,8.504403347432294,8.779593084306232,-0.07788972475345315,-0.3409317135810852,-8.669922083849087,4.34925675496553,-7.953817621233611,3.594342848558007,0.0078125,0.01416015625,0.038818359375,-0.0003625452518463135,2.9534636298539327,0.10101010101010101,0.9494949494949495,0,0,0,0,0
1,7.5310717255524064,7.575227633954287,-0.029168589191469287,0.03553253784775734,-2.7532019538557506,2.672309418871962,-2.7042320924483647,2.5941726917761363,0.098388671875,0.191162109375,0.37646484375,0.0108661949634552,2.4175036871993925,0.8686868686868687,0.3434343434343434,1,0,0,1,0
2,7.795326928334217,7.8285975743556335,-0.025749431873919093,0.005027359817177057,-3.50666330308286,2.333238250259,-2.9247766730302374,2.580898075442667,0.0771484375,0.165283203125,0.333251953125,-0.0012466013431549072,2.3378455661042583,0.37373737373737376,0.2222222222222222,0,0,0,0,1
3,7.6351850266663535,7.635189135096857,-0.0002828816526679085,-0.2655482888221741,2.4814561085950118,2.3922734125695344,0.5996505908915424,2.3659022095216797,0.166748046875,0.332275390625,0.613525390625,-0.01672080159187317,2.4869510060823448,0.9191919191919192,0.47474747474747475,0,0,0,1,0
4,7.6881407939549105,7.754120877587659,-0.036049882471843375,0.0852472335100174,-4.945339227619115,2.0996899115089964,-3.8037121412871784,2.438492546052438,0.051025390625,0.103515625,0.227294921875,-0.00016134977340698242,2.5185287545330177,0.04040404040404041,0.5555555555555556,0,0,0,0,0
5,7.45702274175086,7.507317101355005,-0.0309834939867563,0.009675983339548111,-2.273556269145047,2.6148694013826335,-2.728916248983751,2.8371224689901977,0.108642578125,0.210205078125,0.39404296875,0.005675196647644043,2.3655424528269493,0.7474747474747475,0.24242424242424243,1,0,0,1,0
6,7.3223086368242285,7.4122869043572415,-0.04112253620799177,-0.2251901626586914,-5.575573669746518,2.01031690606498,-4.982822109173867,2.524668851945327,0.015625,0.038330078125,0.115966796875,0.0012407004833221436,2.366625554816777,0.36363636363636365,0.25252525252525254,0,0,0,0,0
7,7.578514123079393,7.629860166328401,-0.031559989928702674,0.01620216853916645,-4.018904585718701,2.619348190504183,-3.3302165390873597,2.5464665414984404,0.074462890625,0.1474609375,0.30908203125,-0.00010251998901367188,2.721068552077684,0.020202020202020204,0.8282828282828283,0,0,1,0,0
8,8.43179201637054,8.53964523887543,-0.04831898946591834,-0.04897437244653702,-2.674137728441565,2.893410038930367,-4.71057724414095,3.023167760168953,0.04736328125,0.085205078125,0.196533203125,0.008695006370544434,2.775736432192214,0.8484848484848485,0.8787878787878788,0,0,0,0,1
9,8.069182431438378,8.223085921804627,-0.05655317352410544,0.02561069279909134,-6.222754552072729,3.06764526750267,-5.805093568218581,2.8628288649462883,0.0107421875,0.02783203125,0.0830078125,0.0002034008502960205,2.509858342479483,0.050505050505050504,0.5353535353535354,0,0,0,0,0
