primary_label,arm,seed,checkpoint,n_target,cohort_status,none_auc,target_harm,matched_harm,target_minus_matched,target_minus_random,shallow_harm,shallow_minus_matched
MIXED,ELU1,0,20,2,COHORT_TOO_SMALL,0.5006428823828697,0.0032285534799099125,0.0006614912569524733,0.002567062222957439,0.003387637436389923,0.02339730074405677,0.001287163537740721
MIXED,ELU1,0,100,4,EXISTS,0.5919447308301926,0.006152966403961124,0.0012433618187903672,0.004909604585170757,0.007678942739963501,0.06039826995134345,0.025772698378562886
MIXED,ELU1,1,20,1,COHORT_TOO_SMALL,0.49828990992307653,0.0005124702095986589,-0.0012682072520255327,0.0017806774616241916,0.0004011030495167933,0.022856410068273658,-0.0032321100533008185
MIXED,ELU1,1,100,9,EXISTS,0.5945506681799888,0.018047913789749237,0.0209021684050561,-0.0028542546153068615,0.0065358194708825534,0.0491181541323662,0.013409404432773497
MIXED,ELU1,2,20,1,COHORT_TOO_SMALL,0.48022802620530125,0.001532496470212974,-0.0015041144013403507,0.0030366108715533247,0.0005261070728302397,0.02816739898920051,-0.0007981075406074956
MIXED,ELU1,2,100,5,EXISTS,0.5691236387014389,0.009312192535400499,0.0048925368189811635,0.004419655716419335,0.008019494342804023,0.04653384737968458,0.016693775057792792
MIXED,LR,0,20,1,COHORT_TOO_SMALL,0.5057418878436089,-0.0009599783003330087,-0.0049451260030269895,0.003985147702693981,0.0005586198985575441,0.026293896561861096,0.008809313201904367
MIXED,LR,0,100,4,EXISTS,0.5990447389245034,0.008807262110709924,0.014218616366386327,-0.005411354255676404,-0.0022978852987290965,0.049498059010505635,0.014421834194660144
MIXED,LR,1,20,1,COHORT_TOO_SMALL,0.5023643832027912,0.004636468058824561,0.007308632177114416,-0.002672164118289855,-0.0019512199878692904,0.04252375956177712,0.016509048259258252
MIXED,LR,1,100,6,EXISTS,0.5856875873208046,0.024145928549766493,0.022972667062282626,0.0011732614874838676,0.013858805096149451,0.06213361639976489,0.01548807765245419
MIXED,LR,2,20,2,COHORT_TOO_SMALL,0.5073577706217766,-0.009960937356948751,0.0018924406766892554,-0.011853378033638007,-0.007063894248008629,0.029718983924388986,0.017965928024053612
MIXED,LR,2,100,9,EXISTS,0.584879505109787,0.016462289309501443,0.015431578195095108,0.0010307111144063352,0.004150736725330284,0.05133238109350202,0.020915117251873117
