arm,seed,checkpoint,group,n,dce_group_mean,dce_control_mean,dce_ratio,w2col_group_mean,w2col_control_mean,w2col_ratio,dce_mean_abs_rank_gap,w2_mean_abs_rank_gap
ELU1,0,20,TARGET,2,0.0008282065391540527,0.0010067522525787354,0.8226517865072082,1.2615407059446977,1.3179752804982885,0.9571808550671341,0.0404040404040404,0.06565656565656565
ELU1,0,20,SHALLOW,25,0.0029217398166656496,0.0030639654397964476,0.9535811921102326,1.5224906546777117,1.5201463725447155,1.0015421423721664,0.035959595959595955,0.06060606060606061
ELU1,0,100,TARGET,4,0.008162260055541992,0.006696976721286774,1.2187977344460106,2.3990291230736065,2.4371175286623226,0.9843715351677677,0.05555555555555555,0.04040404040404043
ELU1,0,100,SHALLOW,25,0.008748495578765869,0.008277817964553832,1.05686010688173,2.522202318045055,2.5420651241185883,0.9921863504262423,0.05777777777777777,0.05979797979797981
ELU1,1,20,TARGET,1,0.004105895757675171,0.003828883171081543,1.0723481428437995,1.5373941158139697,1.5311682147009829,1.004066111778713,0.02020202020202022,0.010101010101010055
ELU1,1,20,SHALLOW,25,0.0036994969844818116,0.0034698009490966796,1.0661986202536864,1.5576696935619714,1.542896544796711,1.0095749444867719,0.056969696969696976,0.04848484848484848
ELU1,1,100,TARGET,9,0.005067163043551975,0.005092716879314846,0.994982278346031,2.5291665497306797,2.522157493661774,1.0027789922265042,0.0415263748597082,0.03479236812570145
ELU1,1,100,SHALLOW,25,0.008274233341217041,0.009210565090179444,0.8983415523591766,2.5534791363144724,2.5478858669276603,1.002195259002538,0.04202020202020201,0.03636363636363636
ELU1,2,20,TARGET,1,0.009406521916389465,0.006696924567222595,1.4046032357044478,1.2986998863328476,1.2637024556758039,1.027694359934062,0.06060606060606055,0.04040404040404039
ELU1,2,20,SHALLOW,25,0.00585832953453064,0.006001325249671936,0.9761726436758092,1.6157538610951667,1.5830229512412453,1.0206762067652002,0.05535353535353535,0.08363636363636362
ELU1,2,100,TARGET,5,0.008750224113464355,0.008323067426681518,1.051322026469891,2.5186817435757884,2.526681590329523,0.9968338524393605,0.03636363636363639,0.04848484848484848
ELU1,2,100,SHALLOW,25,0.008160089254379272,0.009390044212341308,0.8690149982099648,2.522999317039542,2.546532796056803,0.9907586193063362,0.05818181818181818,0.059797979797979794
LR,0,20,TARGET,1,0.0003920644521713257,0.00041675567626953125,0.9407537185354691,1.2187627056549932,1.1494450092464308,1.0603053611533855,0.030303030303030276,0.0505050505050505
LR,0,20,SHALLOW,25,0.008564782738685607,0.005559797883033752,1.5404845497750648,1.6197650903850382,1.6228972585308605,0.998070014519183,0.05858585858585858,0.05010101010101011
LR,0,100,TARGET,4,0.004322625696659088,0.0046262964606285095,0.9343598564091662,2.4059154606807454,2.3661069958190364,1.016824456768883,0.02777777777777775,0.03282828282828282
LR,0,100,SHALLOW,25,0.012003999948501588,0.007297029495239258,1.6450529570057597,2.459017372724342,2.4563551665899372,1.0010838034216771,0.05252525252525252,0.06262626262626263
LR,1,20,TARGET,1,0.0002066493034362793,0.00016433000564575195,1.2575262966993108,1.058611924813005,1.2000797441619029,0.8821179842113789,0.05050505050505051,0.0404040404040404
LR,1,20,SHALLOW,25,0.007995867729187011,0.006253396272659302,1.2786440168754427,1.5545869950342854,1.541864519639738,1.0082513575171443,0.04848484848484848,0.056565656565656555
LR,1,100,TARGET,6,0.006382415692011516,0.005738874276479085,1.1121372214355698,2.41821046019848,2.4180803318466757,1.0000538147348086,0.037037037037037035,0.03535353535353535
LR,1,100,SHALLOW,25,0.010496835708618164,0.008845093250274659,1.1867411017167304,2.4595110688629473,2.478087952193498,0.9925035415655415,0.06747474747474748,0.049696969696969705
LR,2,20,TARGET,2,0.00040997564792633057,0.0004336535930633545,0.9453989416534946,1.4002785394100825,1.3819732165664513,1.013245786983565,0.030303030303030304,0.05050505050505048
LR,2,20,SHALLOW,25,0.006697438955307007,0.0054070079326629635,1.2386589845464686,1.5931735621743002,1.61656627187884,0.9855293840336332,0.04888888888888888,0.05090909090909091
LR,2,100,TARGET,9,0.009588145547442965,0.00957682728767395,1.0011818381421145,2.336678630684749,2.3810011850598922,0.9813849087294644,0.056116722783389444,0.07631874298540965
LR,2,100,SHALLOW,25,0.007854017019271851,0.007422332763671875,1.0581601862035648,2.4479735305137056,2.4931090647993033,0.9818958845712468,0.07919191919191919,0.09535353535353536
