arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,acc_at_hit_plus_500,min_correct_after_hit
LR,std,2,0,0.001,1,none,0.806925,1,1,0,0,-1.461851716,13.0133419,-6.457993507,0.5035000443,72.07278998,0,0,-2.391977072,7.883572102,-7.964192867,0.4337501228,74.45989012,2.724959135,0.8319644928,1.06630671,2500,2500,2500,1900,2000,1200,1200
LR,std,2,0,0.001,2,none,0.8045833333,1,1,0,0,-2.320496082,18.32233047,-7.855094433,0.4922500849,73.12462617,0,0,-9.739057541,12.78379059,-19.03341866,0.2792500257,82.08971026,3.791699886,1.016145468,1.189349294,2700,2700,5200,1800,2200,1200,1200
LR,std,2,0,0.001,3,none,0.769702381,1,1,0,0,-2.915858269,20.68710899,-8.936753273,0.4892500937,74.03862735,0,0,-14.69433498,14.88281727,-28.03519249,0.2297500223,79.87783562,4.407873631,1.100851536,1.170149803,2100,2100,7300,1500,1600,1200,1200
LR,std,2,0,0.001,4,none,0.8049074074,1,1,0,0,-3.069060326,22.810215,-12.66568089,0.491500169,74.89035559,0,0,-21.15666962,18.26808357,-33.75567245,0.1862499565,80.44074022,5.194182396,1.200959921,1.149226427,2700,2700,10000,1500,2200,1200,1200
LR,std,2,0,0.001,5,none,0.7837259615,1,1,0,0,-4.23463726,23.78022194,-12.44679737,0.4750001132,76.33147437,0,0,-21.7201252,18.6275425,-40.46324921,0.1884999573,79.5318127,5.682469845,1.255402327,1.123129964,2600,2600,12600,2000,2100,1200,1192
LR,std,2,0,0.001,6,none,0.7876302083,1,1,0,0,-4.586136341,25.07312202,-15.15772152,0.4817501009,76.60561177,0,0,-23.07138634,19.91964149,-41.72310257,0.1869999617,78.69879791,6.053236485,1.292807937,1.040002227,2400,2400,15000,1600,1900,1200,1200
LR,std,2,0,0.001,7,none,0.78505,1,1,0,0,-4.545119286,27.03770828,-16.82526779,0.4862501025,76.89095994,0,0,-25.35275269,20.99574089,-45.14215469,0.1832499653,79.24048901,6.489815712,1.348919868,0.9957481623,2500,2500,17500,1700,2000,1200,1200
LR,std,2,0,0.001,8,none,0.7777173913,1,1,0,0,-4.878334999,26.93194008,-14.50888348,0.4810000658,76.60280701,0,0,-27.32077789,22.0628376,-44.52664185,0.1757499427,79.35925958,6.860492706,1.384087086,0.9540546536,2300,2300,19800,1600,1800,1200,1199
LR,std,2,0,0.001,9,none,0.787575,1,1,0,0,-5.949604511,27.93796921,-16.19768333,0.4705000818,77.01068685,0,0,-26.12140656,22.78205299,-46.30788422,0.1937499642,80.28432088,7.149181843,1.409272313,0.9239664078,2500,2500,22300,1600,2000,1200,1199
LR,std,2,0,0.001,10,none,0.7652840909,1,1,0,0,-6.241071701,27.91686821,-15.32931232,0.4675001204,77.64829107,0,0,-27.82581139,23.59996414,-46.48838043,0.1892499626,79.43272037,7.475332737,1.441107631,0.877563417,2200,2200,24500,1500,1700,1200,1200
LR,std,2,0,0.001,11,none,0.7665885417,1,1,0,0,-6.998435974,29.84907532,-17.99774742,0.4667500854,77.86916525,0,0,-31.05597115,25.29981804,-47.48506165,0.1764999628,80.39097615,7.790666103,1.4914639,0.8812826872,2400,2400,26900,1800,1900,1200,1200
LR,std,2,0,0.001,12,none,0.7808,1,1,0,0,-7.360943317,31.19582748,-18.15246964,0.4660000801,77.42129211,0,0,-32.48460388,28.23983765,-50.20769119,0.1817499548,82.83817088,8.089539528,1.551250219,0.873916924,2500,2500,29400,1700,2000,1200,1200
LR,std,2,0,0.001,13,none,0.782975,1,1,0,0,-7.979246616,32.50337219,-17.36071587,0.45325014,77.29282189,0,0,-35.28266525,29.48705482,-59.12393188,0.1772499532,81.2251179,8.393039703,1.559060335,0.8468033075,2500,2500,31900,1700,2000,1200,1200
