arm,cond,seed,slot,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,steps,stop_step,tc,hit99,hit999,correct_at_hit_plus_500,hit_plus_500_observed,min_correct_after_hit
LR,std,0,0,0.001,1,none,0.8092672414,1,1,0,0,-9.246613503,45.85150146,-21.66121864,0.4652501047,77.83751631,0,0,-57.68916321,50.32090378,-112.6597137,0.1937499791,84.61210409,14.3346653,2.071689844,0.9337252378,2900,2400,602900,1700,1900,1199,1,1199
LR,std,1,1,0.001,1,none,0.7967887931,1,1,0,0,-10.60896206,46.11423874,-25.97683716,0.4592500925,78.25505398,0,0,-63.8317337,52.03905869,-118.1108093,0.1869999468,84.65868724,14.40385056,2.119532347,0.9331161976,2900,2600,602900,1800,2100,1200,1,1200
LR,std,2,2,0.001,1,none,0.7870258621,1,1,0,0,-13.1171627,44.69959641,-24.58294296,0.4465000927,75.3466869,0,0,-58.16217422,53.08434677,-100.6434708,0.1937499642,85.70373538,14.48863125,2.159570217,0.9719155431,2900,2900,602900,1900,2400,1200,1,1200
LR,std,3,3,0.001,1,none,0.7917887931,1,1,0,0,-10.80718708,47.1284523,-25.91910172,0.4547501206,77.6761633,0,0,-59.10877228,53.34418106,-105.3997498,0.1907499582,84.85543976,14.51879025,2.156612158,1.027314067,2900,2800,602900,1800,2300,1200,1,1200
LR,std,4,4,0.001,1,none,0.7936637931,1,1,0,0,-8.278352737,43.12157822,-19.47334671,0.4742500782,77.14740816,0,0,-59.22536469,51.60766983,-97.43717957,0.1914999634,85.61074413,14.19237995,2.118036509,1.012749076,2900,2800,602900,2000,2300,1200,1,1200
LR,std,5,5,0.001,1,none,0.7915732759,1,1,0,0,-10.06774807,44.45845032,-21.07770538,0.4697500765,76.80127033,0,0,-58.75386047,52.62844849,-109.4825974,0.1892499626,85.11172458,14.42763996,2.128055811,1.003519654,2900,2700,602900,2000,2200,1200,1,1200
LR,std,6,6,0.001,1,none,0.8008405172,1,1,0,0,-8.0564394,44.28449249,-16.50876236,0.4742500782,77.66742131,0,0,-57.33615875,50.24344254,-95.76597595,0.1884999573,84.80386436,14.32263088,2.052344084,0.9553129077,2900,2400,602900,1800,1900,1200,1,1200
LR,std,7,7,0.001,1,none,0.7939655172,1,1,0,0,-9.172584534,44.70537186,-24.87587547,0.4720001221,77.30129967,0,0,-63.63209915,53.65525436,-106.9550171,0.1817499548,83.48440771,14.62494564,2.152590752,0.9825691581,2900,2700,602900,1700,2200,1200,1,1198
LR,std,8,8,0.001,1,none,0.784137931,1,1,0,0,-9.143246651,45.68056488,-22.65191269,0.4697500765,78.33014811,0,0,-61.91555023,52.49321365,-111.9242249,0.1832499802,84.30770187,14.63847733,2.10695219,0.9997440577,2900,2600,602900,1800,2100,1200,1,1199
LR,std,9,9,0.001,1,none,0.7885560345,1,1,0,0,-9.631052017,44.88308334,-19.48369217,0.473500073,76.34697433,0,0,-63.23965073,54.61545563,-99.28009033,0.1817499548,84.06571153,14.45654106,2.098007917,0.9855650067,2900,2500,602900,1800,2000,1200,1,1200
