step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.78121,4.6481,0.142388,0.447619,0,1.08478,53.7702,0.0201743,4.89575,0.291651,3.42876,3.42876,0,1.32123,-0.00498304,nan,0.00610345,-0.0125809,-0.00386898,-0.00971806,-0.00990048,0.485,0.4962,nan,nan
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.70886,4.06493,0.216129,0.466667,0,6.59509,322.946,0.0204217,4.77326,0.411903,2.42775,2.42775,0,4.79768,-0.00802132,nan,0.0120527,-0.0310937,-0.00636651,-0.0178677,-0.0256732,0.4925,0.4993,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.73988,4.06889,0.231626,0.47619,0,0.0295397,4.07971,0.00724063,4.76642,0.411471,2.4303,2.4303,0,0.288875,-0.053174,nan,0.0832749,-0.131935,-0.0469927,-0.100012,-0.100374,0.4605,0.4793,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.79645,4.34178,0.19147,0.457143,0,0.0500428,7.81554,0.00640299,4.84524,0.351163,2.84768,2.84768,0,0.324322,-0.142821,nan,0.121588,-0.251174,-0.107504,-0.187987,-0.202015,0.424,0.4592,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.54185,3.10343,0.372825,0.457143,0,0.0308079,4.57971,0.00672704,4.48578,0.588929,1.698,1.698,0,0.229343,-0.0440008,nan,0.111889,-0.184469,-0.0447818,-0.138844,-0.145337,0.4455,0.4806,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.74285,3.8414,0.250465,0.428571,0,0.0401623,5.78518,0.00694227,4.75156,0.417804,2.39347,2.39347,0,0.315044,-0.207852,nan,0.187828,-0.419306,-0.165488,-0.298921,-0.319097,0.3735,0.4383,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.52976,3.07103,0.382378,0.476191,0,0.0149687,2.29938,0.00650989,4.42214,0.619401,1.61446,1.61446,0,0.224654,-0.138243,nan,0.13777,-0.291309,-0.123597,-0.231726,-0.232825,0.405,0.4553,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.68401,3.50412,0.292786,0.457143,0,0.0182342,4.70257,0.00387749,4.63102,0.483157,2.06972,2.06972,0,0.237821,-0.296753,nan,0.190975,-0.549709,-0.240854,-0.423149,-0.476991,0.3235,0.4037,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.45166,2.84475,0.386958,0.457143,0,0.0371488,5.57638,0.0066618,4.36744,0.653959,1.52915,1.52915,0,0.232002,-0.153265,nan,0.203124,-0.400297,-0.143794,-0.312663,-0.330444,0.374,0.4401,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.5759,3.17426,0.274566,0.438095,0,0.0411458,6.70089,0.00614036,4.59661,0.505376,1.97873,1.97873,0,0.267224,-0.371673,nan,0.189548,-0.604524,-0.302929,-0.50548,-0.518331,0.3185,0.3827,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.42909,2.8863,0.450704,0.495238,0,0.199845,14.2592,0.0140151,4.31528,0.648048,1.5431,1.5431,0,0.381723,-0.225743,nan,0.209934,-0.459097,-0.194873,-0.385528,-0.389838,0.344,0.4242,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.57012,3.15786,0.283524,0.466667,0,0.0256223,4.78848,0.00535082,4.5654,0.538299,1.8577,1.8577,0,0.239623,-0.418494,nan,0.182937,-0.57326,-0.333106,-0.509233,-0.546299,0.297,0.367,nan,nan
6000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.49045,2.90866,0.407598,0.457143,0,0.059075,5.24204,0.0112695,4.32235,0.661757,1.51113,1.51113,0,0.323155,-0.282023,nan,0.172539,-0.451822,-0.240424,-0.434971,-0.468537,0.3165,0.406,nan,nan
6000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.60108,3.23023,0.265623,0.457143,0,0.0189706,3.23645,0.00586156,4.60057,0.526586,1.89903,1.89903,0,0.229594,-0.47947,nan,0.204177,-0.687883,-0.370349,-0.544303,-0.558367,0.2935,0.3567,nan,nan
7000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.46019,2.8346,0.441336,0.466667,0,0.0176168,3.35079,0.00525751,4.40243,0.657975,1.51982,1.51982,0,0.194636,-0.278619,nan,0.146931,-0.41915,-0.235102,-0.412133,-0.456375,0.322,0.4057,nan,nan
7000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.52985,3.04666,0.293999,0.466667,0,0.0301558,3.35688,0.00898328,4.57845,0.560338,1.78464,1.78464,0,0.372307,-0.5061,nan,0.264289,-0.738638,-0.397187,-0.623601,-0.662809,0.252,0.3469,nan,nan
8000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.4377,2.85364,0.446375,0.466667,0,0.018967,3.04229,0.00623447,4.32766,0.664403,1.50511,1.50511,0,0.229997,-0.409785,nan,0.131096,-0.588991,-0.344823,-0.552421,-0.609871,0.256,0.3631,nan,nan
8000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.45831,2.8786,0.256124,0.514286,0,0.052537,7.00248,0.00750263,4.56571,0.530695,1.88432,1.88432,0,0.259944,-0.51023,nan,0.331133,-0.828965,-0.403134,-0.680516,-0.72161,0.233,0.3467,nan,nan
9000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.53358,2.98106,0.440363,0.495238,0,0.0185975,3.2889,0.00565462,4.2278,0.661519,1.51167,1.51167,0,0.205762,-0.411015,nan,0.132393,-0.586544,-0.32281,-0.466168,-0.476792,0.3045,0.3734,nan,nan
9000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.65255,3.37713,0.232143,0.466667,0,0.0170229,3.08737,0.00551371,4.6362,0.470483,2.12548,2.12548,0,0.231266,-0.503947,nan,0.258162,-0.716523,-0.364573,-0.535633,-0.554124,0.295,0.3618,nan,nan
10000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.56921,3.13293,0.431605,0.457143,0,0.0175915,3.5148,0.00500498,4.34426,0.648806,1.54129,1.54129,0,0.213386,-0.449711,nan,0.116015,-0.555617,-0.351421,-0.484393,-0.528332,0.288,0.3623,nan,nan
10000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.62005,3.25146,0.218445,0.457143,0,0.0120127,2.79001,0.00430562,4.57744,0.487737,2.05029,2.05029,0,0.204049,-0.548751,nan,0.250953,-0.71095,-0.400175,-0.599704,-0.657617,0.2465,0.3433,nan,nan
11000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.71276,3.60893,0.342985,0.438095,0,0.0891335,12.6605,0.00704031,4.47428,0.439799,2.27377,2.27377,0,0.401577,-0.354266,nan,0.190751,-0.562668,-0.246402,-0.355865,-0.380412,0.3565,0.4054,nan,nan
11000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.56019,2.89899,0.185596,0.495238,0,0.0312243,3.73924,0.00835043,4.62144,0.464999,2.15054,2.15054,0,0.31257,-0.573116,nan,0.366647,-0.816857,-0.436399,-0.638838,-0.653429,0.2585,0.3367,nan,nan
12000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.6363,3.24769,0.419881,0.428571,0,0.0353916,4.26349,0.00830108,4.32915,0.577171,1.73259,1.73259,0,0.322415,-0.361087,nan,0.238334,-0.635297,-0.251475,-0.414063,-0.462708,0.3235,0.4023,nan,nan
12000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.51642,2.84862,0.234284,0.476191,0,0.013918,1.91962,0.00725038,4.57302,0.479649,2.08486,2.08486,0,0.210196,-0.55276,nan,0.457006,-0.874516,-0.41978,-0.656711,-0.708902,0.229,0.3442,nan,nan
13000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.46923,2.78198,0.505873,0.409524,0,0.057663,8.31053,0.00693855,4.04706,0.701303,1.42592,1.42592,0,0.289577,-0.405041,nan,0.221612,-0.73448,-0.279848,-0.480866,-0.56013,0.286,0.3922,nan,nan
13000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.55626,2.97635,0.252033,0.466667,0,0.0212619,2.70735,0.00785339,4.53611,0.528974,1.89045,1.89045,0,0.375291,-0.595011,nan,0.422151,-0.942017,-0.439501,-0.700185,-0.749896,0.2165,0.3349,nan,nan
14000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.49996,2.92737,0.4765,0.419048,0,0.0284379,3.72014,0.00764432,4.22598,0.681985,1.46631,1.46631,0,0.274945,-0.481038,nan,0.215098,-0.807044,-0.3448,-0.570997,-0.656082,0.2515,0.3672,nan,nan
14000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.56561,3.1814,0.257373,0.438095,0,0.0411408,4.8488,0.00848474,4.56492,0.515866,1.93849,1.93849,0,0.218433,-0.606922,nan,0.390294,-0.970121,-0.446404,-0.780034,-0.869586,0.1785,0.3319,nan,nan
15000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.31988,2.58866,0.4726,0.409524,0,0.0185826,3.42699,0.00542242,4.16912,0.718215,1.39234,1.39234,0,0.246746,-0.542519,nan,0.19515,-0.882721,-0.40504,-0.686172,-0.778628,0.2115,0.3465,nan,nan
15000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.48364,2.95083,0.290927,0.438095,0,0.00829603,1.92279,0.00431457,4.49349,0.557356,1.79418,1.79418,0,0.169065,-0.625039,nan,0.43435,-0.994276,-0.465067,-0.812277,-0.917495,0.1675,0.329,nan,nan
16000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.27121,2.56405,0.513408,0.419048,0,0.0132093,3.74732,0.00352499,4.02309,0.740709,1.35006,1.35006,0,0.217443,-0.554195,nan,0.201446,-0.887805,-0.415458,-0.715608,-0.794788,0.209,0.3454,nan,nan
16000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.48604,3.00966,0.283209,0.447619,0,0.062369,5.90675,0.0105589,4.57918,0.552604,1.80961,1.80961,0,0.23526,-0.621642,nan,0.416118,-1.00682,-0.452532,-0.792228,-0.879209,0.18,0.3327,nan,nan
17000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.27713,2.66138,0.47302,0.457143,0,0.0599528,8.09876,0.00740272,4.19975,0.702853,1.42277,1.42277,0,0.2669,-0.553049,nan,0.228898,-0.92376,-0.414656,-0.747123,-0.857835,0.185,0.3421,nan,nan
17000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.62227,3.25417,0.282509,0.466667,0,0.0178106,3.43904,0.00517894,4.55475,0.534299,1.87161,1.87161,0,0.175455,-0.670988,nan,0.383572,-1.05039,-0.461623,-0.725582,-0.756519,0.211,0.3223,nan,nan
18000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.31032,2.63523,0.468831,0.419048,0,0.031851,3.75333,0.00848606,4.10689,0.703897,1.42066,1.42066,0,0.299444,-0.545033,nan,0.211069,-0.900637,-0.397677,-0.70424,-0.787724,0.2105,0.3467,nan,nan
18000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.56404,3.25367,0.283347,0.457143,0,0.0241729,3.39227,0.00712587,4.63282,0.523185,1.91137,1.91137,0,0.20783,-0.71974,nan,0.387076,-1.06324,-0.502184,-0.781099,-0.90761,0.1675,0.31,nan,nan
19000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.34536,2.71576,0.461735,0.419048,0,0.083533,8.89508,0.00939092,4.16179,0.704069,1.42031,1.42031,0,0.301327,-0.569867,nan,0.189368,-0.88872,-0.401037,-0.69102,-0.790211,0.206,0.354,nan,nan
19000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.59507,3.26772,0.281304,0.466667,0,0.0480505,4.57826,0.0104954,4.70069,0.510014,1.96073,1.96073,0,0.262772,-0.740503,nan,0.346726,-1.03208,-0.505912,-0.768624,-0.839052,0.191,0.3123,nan,nan
20000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.46779,2.89874,0.453754,0.419048,0,0.0191139,4.00145,0.00477673,4.1517,0.68175,1.46681,1.46681,0,0.237679,-0.605034,nan,0.144015,-0.855348,-0.404054,-0.62526,-0.697798,0.244,0.3509,nan,nan
20000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.77128,3.81805,0.259443,0.447619,0,0.0126919,2.37533,0.00534322,4.67948,0.473777,2.1107,2.1107,0,0.222484,-0.730852,nan,0.287385,-1.00234,-0.468167,-0.654014,-0.668747,0.2435,0.3193,nan,nan
21000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.82062,4.11028,0.330836,0.438095,0,0.0637976,5.73365,0.0111269,4.33715,0.440131,2.27205,2.27205,0,0.411753,-0.592597,nan,0.0828837,-0.733888,-0.359363,-0.444238,-0.518685,0.3015,0.3594,nan,nan
21000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.72691,3.96127,0.198218,0.457143,0,0.100302,8.65453,0.0115895,4.75349,0.387774,2.57882,2.57882,0,0.41843,-0.736775,nan,0.318263,-1.01443,-0.490053,-0.729348,-0.818021,0.198,0.309,nan,nan
22000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.72607,3.72817,0.377956,0.428571,0,0.013601,3.25608,0.00417711,4.26726,0.510419,1.95918,1.95918,0,0.202972,-0.550007,nan,0.184999,-0.79037,-0.338402,-0.527479,-0.58577,0.284,0.369,nan,nan
22000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.66624,3.88019,0.184406,0.466667,0,0.0286478,4.59961,0.00622832,4.79767,0.340601,2.93598,2.93598,0,0.287606,-0.749,nan,0.321548,-1.04707,-0.513794,-0.775322,-0.878798,0.1795,0.3016,nan,nan
23000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.61161,3.36402,0.400385,0.419048,0,0.0972465,11.0822,0.00877503,4.22394,0.56196,1.77949,1.77949,0,0.310804,-0.597849,nan,0.221236,-0.867854,-0.376391,-0.621598,-0.683239,0.259,0.354,nan,nan
23000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.61042,3.69258,0.198118,0.438095,0,0.0383185,3.66213,0.0104635,4.7686,0.343127,2.91437,2.91437,0,0.282992,-0.763139,nan,0.343195,-1.09168,-0.538605,-0.83786,-0.938149,0.1665,0.2993,nan,nan
24000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.58846,3.26444,0.350953,0.428571,0,0.0231589,4.28754,0.00540143,4.36234,0.555965,1.79868,1.79868,0,0.262971,-0.6286,nan,0.276229,-1.00184,-0.410588,-0.709839,-0.732902,0.241,0.3442,nan,nan
24000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.48523,3.2792,0.237204,0.438095,0,0.0150109,2.88811,0.00519747,4.6969,0.376651,2.65498,2.65498,0,0.256343,-0.761969,nan,0.390005,-1.10502,-0.555102,-0.896043,-0.975506,0.1535,0.2914,nan,nan
25000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.46785,3.02638,0.384291,0.419048,0,0.0237912,3.72339,0.00638967,4.13885,0.60091,1.66414,1.66414,0,0.26202,-0.644596,nan,0.326671,-1.08877,-0.449231,-0.831758,-0.860421,0.1965,0.3323,nan,nan
25000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.39343,3.06335,0.212272,0.485714,0,0.00644071,1.17729,0.00547078,4.69824,0.36548,2.73613,2.73613,0,0.235901,-0.782719,nan,0.411741,-1.14085,-0.593951,-0.953179,-1.03059,0.1415,0.28,nan,nan
