step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.4272,12.9445,0.174118,0.501253,0,1.56103,85.9209,0.0181682,15.903,0.160398,6.23451,6.23451,0,1.55337,-0.00141213,nan,0.00762547,-0.0183902,-0.00114061,-0.00833783,-0.013589,0.4895,0.500725,nan,nan
0,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.5843,13.4376,0.166098,0.49599,0,1.64059,94.0187,0.0174496,16.265,0.164119,6.09314,6.09314,0,1.87247,-0.000867977,nan,0.00316277,-0.00819409,-0.000534454,-0.003488,-0.00491246,0.485,0.4981,nan,nan
1000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.6966,13.2586,0.179056,0.49599,0,0.111453,9.65108,0.0115482,15.7551,0.172636,5.79253,5.79253,0,0.432334,-0.156047,nan,0.0604877,-0.224477,-0.124161,-0.172238,-0.217298,0.4235,0.45265,nan,nan
1000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.8438,13.784,0.161116,0.499749,0,0.0607762,6.81814,0.00891389,16.2345,0.15019,6.65823,6.65823,0,0.287604,-0.176756,nan,0.056771,-0.25688,-0.135888,-0.183656,-0.207062,0.409,0.44465,nan,nan
2000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.793,12.7217,0.189073,0.493484,0,0.3514,27.4445,0.012804,15.8001,0.199727,5.00683,5.00683,0,0.62442,-0.264728,nan,0.063786,-0.350413,-0.224043,-0.287002,-0.352193,0.367,0.413875,nan,nan
2000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.991,13.4742,0.164639,0.492231,0,0.0326604,4.06257,0.00803935,16.2892,0.171606,5.82731,5.82731,0,0.237681,-0.277868,nan,0.085003,-0.39903,-0.23448,-0.320519,-0.339196,0.3455,0.40555,nan,nan
3000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.8872,12.0676,0.198238,0.497494,0,0.04654,7.40639,0.00628376,15.536,0.242027,4.13177,4.13177,0,0.246834,-0.360904,nan,0.078024,-0.507314,-0.321622,-0.374276,-0.460531,0.334,0.376275,nan,nan
3000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,18.0036,12.7016,0.176383,0.501504,0,0.071111,7.54887,0.00942008,16.3216,0.20254,4.93729,4.93729,0,0.274406,-0.347885,nan,0.0872418,-0.463107,-0.31036,-0.422875,-0.469068,0.324,0.3767,nan,nan
4000,B_w20_K10000_c0.0_lr0.01_s0,0,0,0,17.816,11.2605,0.21113,0.493985,0,0.0381877,6.40937,0.0059581,15.404,0.267801,3.73412,3.73412,0,0.242819,-0.410722,nan,0.0922728,-0.569532,-0.381097,-0.500277,-0.536237,0.304,0.3516,nan,nan
4000,B_w20_K10000_c0.0_lr0.01_s1,0,0,0,17.8961,11.7815,0.186308,0.494486,0,0.0979966,10.8181,0.00905854,16.1564,0.233306,4.28622,4.28622,0,0.269947,-0.396972,nan,0.101607,-0.554357,-0.374024,-0.556342,-0.609784,0.2745,0.354775,nan,nan
