seed,task,update,G1,Q1,Q_count1,pair_count1,neff_zero_units1,zero_count1,zero1,dead_unit1,neff1,neff_fraction1,zmean1,zsd1,diag_gdiff1,Wnorm1,bias1,G2,Q2,Q_count2,pair_count2,neff_zero_units2,zero_count2,zero2,dead_unit2,neff2,neff_fraction2,zmean2,zsd2,diag_gdiff2,Wnorm2,bias2,mu2_norm,memo_acc,memo_ce,online_acc,online_ce,major_frac,label_hash,order_hash,finite,arm
0,2,30000,0.4766937402918594,0.36159166666666664,43391,120000,0,604,0.005033333333333333,0.0,579.9610642766846,0.4833008868972372,-2.535275990740497,34.28555140670506,0.0,6.00256867640888,-0.03135185173712671,0.11146306330807529,0.7969833333333334,95638,120000,0,11007,0.091725,0.0,137.60471666949448,0.11467059722457874,-41.661601471500525,39.44406588882134,0.0,1.512611148396002,0.017936894758604466,124.62001506302573,1.0,0.00018261057266499847,0.9642,0.15319344075520833,0.11083333333333334,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
1,2,30000,0.4661610962537709,0.36798333333333333,44158,120000,0,857,0.007141666666666667,0.0,567.6082444281604,0.4730068703568004,-3.8949080347093603,33.893207521194554,0.0,6.018017845412381,-0.06241921409848146,0.1149185610044121,0.7839083333333333,94069,120000,0,8890,0.07408333333333333,0.0,141.84362508723535,0.11820302090602947,-38.47368809038261,37.09664094293565,0.0,1.5065545838118664,0.017105172971496357,118.55761175458527,1.0,0.00010505183308850974,0.9665375,0.14570807291666665,0.11666666666666667,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
2,2,30000,0.45684922932424077,0.37855,45426,120000,0,828,0.006900000000000001,0.0,556.2908380551296,0.4635756983792747,-4.820982589051769,34.24468928249013,0.0,5.961678993648876,-0.02013333714741748,0.12271833782959944,0.7598666666666667,91184,120000,0,7878,0.06565,0.0,151.8604373342518,0.12655036444520984,-35.29300233393716,36.807668103127526,0.0,1.5092824471618451,-0.001323625841178,111.8217575128256,1.0,0.00015569828974548727,0.9657729166666666,0.15122425130208333,0.11333333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
3,2,30000,0.46853045265485505,0.3630083333333333,43561,120000,0,560,0.004666666666666667,0.0,570.5912523182964,0.47549271026524703,-3.4603161951621395,33.26445030942493,0.0,5.924706931295425,-0.012242699707858264,0.11178675759989522,0.781775,93813,120000,0,10721,0.08934166666666667,0.0,138.44918217433525,0.11537431847861271,-39.85144511502985,40.023431943408546,0.0,1.5395863020112788,-0.00012180674239061774,113.23786039374832,1.0,0.00028349299100227654,0.9649979166666667,0.15549392903645834,0.11333333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
4,2,30000,0.4805652525511904,0.34851666666666664,41822,120000,0,389,0.003241666666666667,0.0,585.1086654392432,0.48759055453270267,-2.242210189725544,32.44600107509969,0.0,6.076018996204457,-0.06886171717196703,0.1044734881965604,0.7963916666666667,95567,120000,0,9209,0.07674166666666667,0.0,129.23244395667822,0.10769370329723187,-39.68946763909081,38.00221216340874,0.0,1.4921885005269673,0.01088359578512609,116.3030674406661,1.0,0.0003835816169157624,0.9644,0.15540319010416667,0.11666666666666667,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
5,2,30000,0.4723410576478413,0.36238333333333334,43486,120000,0,898,0.007483333333333334,0.0,574.9004758467211,0.4790837298722676,-2.9219636709967087,34.81611008372696,0.0,6.185424003698205,-0.045338333026738835,0.09401268953569694,0.8210416666666667,98525,120000,0,12213,0.101775,0.0,116.13737837881085,0.09678114864900905,-44.72809590309179,39.46380638826962,0.0,1.5097502152548596,0.015017491959733889,125.5568919009716,1.0,0.0003378633700776845,0.9626395833333333,0.15698185221354166,0.11,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
6,2,30000,0.4847207881979054,0.34830833333333333,41797,120000,0,814,0.006783333333333334,0.0,590.0378400099578,0.49169820000829817,-2.0811428836791466,34.07508055744253,0.0,6.001074364050102,-0.01524206424735894,0.10627998707025739,0.801125,96135,120000,0,10922,0.09101666666666668,0.0,131.19838097926197,0.10933198414938498,-42.118139464106314,39.25012350548413,0.0,1.525555407878398,-0.0043070460650415044,125.82278083517086,1.0,0.00019183903350494802,0.9646875,0.15162439778645834,0.1175,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
7,2,30000,0.4697933957667587,0.3685583333333333,44227,120000,0,837,0.006975,0.0,571.624502952066,0.476353752460055,-3.436949659394042,35.101231447421554,0.0,6.494288101718377,-0.07137674323283136,0.08732627375175929,0.8359,100308,120000,0,13754,0.11461666666666667,0.0,107.84425550911185,0.08987021292425988,-47.15947724901522,41.32126848417456,0.0,1.5650688603993905,-0.001208727357443422,121.8326899745639,1.0,0.0007912559085525572,0.9629354166666667,0.15496139322916666,0.11833333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
8,2,30000,0.4710668965181072,0.36995833333333333,44395,120000,0,879,0.007325000000000001,0.0,573.2211271649969,0.47768427263749746,-3.5560923922953256,35.693451837371036,0.0,6.033691200936167,-0.03516254618938547,0.10585828499016725,0.7980333333333334,95764,120000,0,12356,0.10296666666666666,0.0,130.72005798485728,0.10893338165404774,-43.056449212946866,41.21673450585632,0.0,1.525297533299274,-0.0013917800574563444,123.46785860945764,1.0,0.00016836781287565827,0.9662916666666667,0.14426529947916666,0.11416666666666667,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
9,2,30000,0.4770568584161826,0.35246666666666665,42296,120000,0,407,0.003391666666666667,0.0,580.7152483710206,0.4839293736425172,-2.5977888702622445,32.63847250244929,0.0,6.011463195463766,-0.07528936935181264,0.11227629305860683,0.7915416666666667,94985,120000,0,7894,0.06578333333333333,0.0,138.52639947880544,0.11543866623233788,-37.74703534993602,35.44246071937858,0.0,1.4742591995343421,0.021374568457540592,113.94247548682313,1.0,0.00017765055235940963,0.9693208333333333,0.14146158854166666,0.10583333333333333,e98762ef86c2d1e1a59037b05501eba70a2a6e5e8cd4127a538b60c2d08bd8fe,08035669d8840c04586be611d67dcbd1e11f0f35cf71f2b5a6f27c6eadeee7dd,True,S1u5r
