id,stat,point,lo,hi,n,result
R1,rho(96..100) lag=2,-0.16019738441594228,-0.263693748313617,-0.07631532306520969,66,保持あり
R2,rho(96..100) lag2 - lag>=3,-0.04470280246908988,-0.3168794800757292,0.20953736534838133,92,判定なし (n 不足・報告のみ)
R3,rho(1..5) lag=2,-0.21797195952420664,-0.33787389091101105,-0.12481531058769106,66,判定なし
R4a,rho(96..100) lag>=3,-0.1154945819468524,-0.3554103173187759,0.13395822195874285,26,記述 (R4 の窓平均・判定に使わない)
R4b,rho(1..5) lag>=3,-0.007601397470212874,-0.11666607458103934,0.14221357770622794,26,記述 (R4 の窓平均・判定に使わない)
R5,置換 null の平均 rho(96..100),0.004741173370925488,-0.12380846570990757,0.1360355385011486,1000,PASS (0 を中心)
