seed,n_pairs,n_lag2,n_lag3plus,mean_rho_main_lag2,mean_rho_main_lag3plus,mean_rho_sub_lag2
0,9,8,1,-0.07526674193795768,-0.7260479807853698,-0.18447020471212455
1,15,9,6,-0.1258545854128897,-0.14252332365528372,-0.2562918072760415
2,8,5,3,-0.2391773690655828,0.6023204361399014,-0.5735695753991605
3,6,3,3,0.10795834499100844,0.10329361093851432,-0.6555456650132934
4,8,6,2,-0.09672875148244202,0.04798787795007228,0.027125345915555894
5,10,8,2,-0.4740906972438097,-0.48368666693568235,-0.10523101761937141
6,9,8,1,-0.006548031826969239,-0.23118959558196361,-0.04409539229618531
7,11,7,4,-0.13326893669686143,-0.3042052111588419,-0.22174571480528743
8,6,4,2,-0.3868319431319832,0.25775541914626965,-0.5333600819110871
9,10,8,2,-0.13256221075134816,-0.8673080846201627,-0.13146962728351352
