seed,k0,k,lag,lbar_k,lbar_k0,That_k,That_k0,rho,rho_sub
0,5,7,2,-1.0905223846435548,-0.44011697471141814,-0.8281832337379456,-0.8281832337379456,-0.6504054099321366,-0.8475407853722572
0,8,10,2,-1.09113609790802,-1.1638938903808593,-0.6945584833621978,-0.47311561554670334,0.2942006602883338,0.38079107105731963
0,16,18,2,0.6132536232471466,0.3866728276014328,-0.15669971331954002,-0.005994563549757004,0.37728594541549687,-0.24386482238769536
0,17,19,2,-0.2102765031158924,0.08921133875846862,-0.15669971331954002,-0.15669971331954002,-0.29948784187436106,0.11348350048065203
0,24,26,2,-0.5949984908103942,-0.7921705126762391,0.2129183180630207,-0.007852163910865781,-0.023598460108041674,-0.2977407902479171
0,22,30,8,0.2060774713754654,-0.1517544999718666,0.4142848655581475,-0.6695950865745544,-0.7260479807853698,0.34949207678437233
0,41,43,2,0.3674217700958252,-0.1305457592010498,0.47807404845952983,-0.009096920862793928,0.010796559974551312,-0.6021657705307009
0,60,62,2,0.5764829277992248,0.44771620631217957,0.17145784217864274,-0.151351086050272,-0.19404220674186945,-0.132909136125818
0,78,80,2,-0.5224724531173706,-0.40558927059173583,-0.952625060081482,-0.952625060081482,-0.11688318252563473,0.15418509542942044
1,2,4,2,-0.7851480662822723,-0.7570673823356628,-0.5874083854258061,-0.5874083854258061,-0.028080683946609453,-0.03762989640235903
1,2,6,4,-1.5861109256744386,-0.7570673823356628,-1.0338194131851197,-0.5874083854258061,-0.3826325155794621,0.12296211440116178
1,2,10,8,0.0731277055805549,-0.7570673823356628,-0.6016350861638784,-0.5874083854258061,0.8444217886542901,0.30468238294124605
1,7,11,4,-1.6028672218322755,-0.3324867680668831,-0.6016350861638784,-1.0338194131851197,-1.7025647807866338,-0.8527509095147252
1,24,26,2,1.1898083209991455,1.1636998295783996,0.729443621635437,0.729443621635437,0.026108491420745894,-0.39410650730133057
1,28,32,4,1.0996411561965942,0.6021005272865295,0.3832428711466491,1.1637341976165771,1.2780319553799928,0.843783473968506
1,38,40,2,-0.4452235519886017,-0.1489297091960907,-0.15236522778868675,-0.08471968397498131,-0.2286482989788056,0.10092291980981832
1,43,45,2,0.3291572481393814,0.0794416181743145,0.04944620365276932,-0.010185665544122452,0.19008376076817513,-0.6341727435588835
1,55,57,2,-0.08523822873830796,0.15446370244026184,0.06527269817888737,0.1099788561463356,-0.19499577321112158,-0.21158590465784066
1,58,60,2,-0.4358435332775116,0.05364992693066597,0.01052341219037771,0.1156795859336853,-0.3843372864648699,-0.4233513370156288
1,62,64,2,-0.24858210384845733,-0.05584864504635334,-0.15452963188290597,-0.15610592179000377,-0.19430974870920178,-0.3864383101346903
1,77,79,2,-0.37180557250976565,-0.06644251793622971,0.15529854744672775,0.0805092335678637,-0.3801523684524,-0.26971896588802324
1,77,81,4,-0.5169707059860229,-0.06644251793622971,0.3759176231920719,0.0805092335678637,-0.7459365776740015,-0.5947771757841109
1,90,92,2,-1.1622992277145385,-1.0523710250854492,-0.47229069322347644,-0.30072185173630717,0.061640638858079966,-0.05054552033543591
1,91,95,4,-0.5478308200836182,-0.5567665576934815,-0.36795853823423386,-0.5233540877699852,-0.14645981192588797,-0.021928036212921137
2,6,8,2,-1.1376891613006592,-1.0947880744934082,-1.0200371265411379,-1.0200371265411379,-0.04290108680725102,-0.5527221716940403
2,6,10,4,-0.7580236554145813,-1.0947880744934082,-1.0200371265411379,-1.0200371265411379,0.3367644190788269,-0.47333718799054625
2,6,12,6,-0.2843042016029358,-1.0947880744934082,-0.9274307608604432,-1.0200371265411379,0.7178775072097777,-0.21667867898941034
2,5,13,8,-0.27875916510820387,-1.0484359502792358,-0.9274307608604432,-0.9447881639003755,0.7523193821310996,0.2997016128152609
2,20,22,2,-1.328465497493744,-1.1136366724967957,-0.6029950864613056,-0.8409152776002884,-0.4527490161359311,-1.020298257470131
2,50,52,2,0.008942998759448529,0.449721360206604,0.1127165324985981,0.1127165324985981,-0.4407783614471555,-0.6901328980922701
2,92,94,2,-0.301675420999527,0.03710311837494373,-0.16731684729456903,-0.16731684729456903,-0.3387785393744707,-0.6919542595744134
2,96,98,2,0.12250867038965225,0.04318851195275784,-0.16731684729456903,-0.16731684729456903,0.07932015843689441,0.08725970983505249
3,3,5,2,-0.8209896683692932,-0.9657179832458496,-0.6666153371334076,-0.5793669879436493,0.23197666406631468,-0.5826039573177695
3,18,20,2,0.5666974186897278,0.45394397974014283,-0.04312972649931908,0.10704415328800679,0.26292731873691083,-0.6999684631824493
3,61,63,2,-0.9347820043563843,-0.7637530565261841,-0.32044574320316316,-0.32044574320316316,-0.17102894783020017,-0.6840645745396614
3,71,77,6,-0.1383999079465866,0.004178209486417473,0.2119368702173233,0.19125816561281683,-0.16325682203751055,-0.4416942477226259
3,71,79,8,0.1902264177799225,0.004178209486417473,0.2719986945390701,0.19125816561281683,0.10530767936725174,-0.38681369423866274
3,80,84,4,0.5546941637992859,0.18554719686508178,0.31978378295898435,0.318466791510582,0.36782997548580176,0.6154937863349914
4,33,35,2,0.12427161335945129,-0.1563698947429657,0.035157933086156834,-0.04543866738677026,0.2000449076294899,0.8088966846466065
4,41,43,2,-0.008600367046892644,0.1259301245212555,0.2810935944318771,0.32336887866258623,-0.092255207337439,-0.2640752196311952
4,46,48,2,0.1572267659008503,0.15011824816465377,0.445998977124691,0.1658112955279648,-0.27307916386052966,-0.16820938587188727
4,45,49,4,0.6329833626747131,0.2659911125898361,0.38806254491209985,0.22315716221928594,0.2020868673920631,0.155548894405365
4,45,51,6,0.4114855170249939,0.2659911125898361,0.4747626781463623,0.22315716221928594,-0.10611111149191854,-0.05862198472023006
