arm,iv,seed,task,step,CE_before,CE_after,CE_improvement,acc_before,acc_after,logit_change_rms,credit_D_only,credit_N_only,credit_both,credit_rest,credit_downstream
SNA,l2,0,101,300,3.141311148094308,0.23521044560436316,2.906100702489945,0.078125,0.931640625,4.319177224544116,0.6843857622943618,0.42086317439355153,0.18603559741504436,1.4346732527844117,0.18014291560257545
SNA,l2,0,101,625,3.141311148094308,0.17759899535250434,2.9637121527418033,0.078125,0.947265625,4.3802370073108445,0.6921107119254796,0.4343164098586113,0.19502661671081117,1.4840186258787724,0.1582397883681291
SNA,l2,0,102,300,3.0005708333329997,0.295837419021643,2.704733414311357,0.0859375,0.900390625,3.9821753567469256,0.4692328707383872,0.47752520606304444,0.15040978219443066,1.4625543227091786,0.14501123260631596
SNA,l2,0,102,625,3.0005708333329997,0.20252531043964728,2.7980455228933523,0.0859375,0.9296875,4.132153468025798,0.519448910310173,0.45455886078578706,0.16223145708933845,1.5075514497700506,0.15425484493800312
SNA,l2,0,103,300,3.0206419651917065,0.3079444010918466,2.7126975640998596,0.103515625,0.90234375,3.957802605265966,0.5933967904808056,0.4620193848997807,0.15345050629524723,1.3141642317375712,0.1896666506864552
SNA,l2,0,103,625,3.0206419651917065,0.20255231526574158,2.818089649925965,0.103515625,0.94140625,4.585888512429802,0.6368208527241406,0.4327157419211059,0.17048571790883021,1.3875258192289723,0.19054151814291587
SNA,l2,0,104,300,3.0980699936597706,0.24753386025983642,2.850536133399934,0.169921875,0.9140625,3.6055287484828478,0.7084201194718868,0.43911453747264895,0.16430750635969102,1.4665956332647259,0.07209833683098203
SNA,l2,0,104,625,3.0980699936597706,0.23489614491907101,2.8631738487406997,0.169921875,0.92578125,4.1472305852396945,0.7187247592107748,0.43132772309888195,0.1678508502933291,1.4679965146184357,0.07727400151927814
SNA,l2,0,105,300,3.2755499095882215,0.2785848356030417,2.9969650739851796,0.0625,0.90625,4.0284280704019295,0.746565954520206,0.4810470881392459,0.11527688954389327,1.4933321204499141,0.16074302133192075
SNA,l2,0,105,625,3.2755499095882215,0.1981731795614936,3.077376730026728,0.0625,0.93359375,4.076464274459296,0.7393293766631128,0.4220825343238138,0.08546109456316216,1.6051929708157422,0.22531075366089717
