arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
SNA,l2,0,101,81,61,25,1.5171961507147227,0.9114941706450688,0.02487206804450365,0.03645976682580275
SNA,l2,0,102,74,56,25,1.4632022256450026,0.7094556308825402,0.02612861117223219,0.028378225235301605
SNA,l2,0,103,81,58,25,1.1946912386448036,0.8111731474432679,0.02059812480422075,0.03244692589773071
SNA,l2,0,104,78,58,25,1.2518902139062817,0.9012593304208028,0.021584314032866928,0.03605037321683211
SNA,l2,0,105,78,62,25,1.6024470418867929,0.8914350291518619,0.025845920030432144,0.03565740116607448
SNA,l2,0,106,75,57,25,1.164665741588381,0.8464914802285697,0.020432732308568086,0.03385965920914279
SNA,l2,0,107,78,57,25,1.0502967441571567,0.5177888058461435,0.018426258669423802,0.02071155223384574
SNA,l2,0,108,83,62,25,1.6117568893090608,0.5605517035787738,0.025996078859823562,0.022422068143150953
SNA,l2,0,109,82,62,25,1.7874394534785694,0.6642322715386899,0.028829668604493056,0.026569290861547596
SNA,l2,0,110,77,59,25,1.2337976876762957,1.0667215463726993,0.02091182521485247,0.04266886185490797
SNA,l2,0,111,81,59,25,1.1859289626631506,0.7700059677986448,0.020100490892595774,0.030800238711945795
SNA,l2,0,112,78,62,25,1.2560526952467017,0.9797030613944147,0.02025891443946293,0.03918812245577659
SNA,l2,0,113,82,61,25,1.6774077143556283,1.071781356315557,0.02749848712058407,0.042871254252622275
SNA,l2,0,114,72,56,25,1.365498670459699,0.8663064097137959,0.02438390482963748,0.034652256388551836
SNA,l2,0,115,80,62,25,1.657363760711005,0.7853470054582113,0.02673167355985492,0.03141388021832845
SNA,l2,0,116,80,59,25,1.4966232855538284,0.8875913626922902,0.025366496365319124,0.03550365450769161
SNA,l2,0,117,81,62,25,1.6429509261796167,0.7603427480660813,0.02649920848676801,0.03041370992264325
SNA,l2,0,118,83,62,25,1.24957855041749,0.6060798068884433,0.020154492748669196,0.02424319227553773
SNA,l2,0,119,82,62,25,1.7215773827059193,0.6476567824650012,0.027767377140418055,0.02590627129860005
