arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
LR,none,0,101,3,3,25,0.16221020884361098,0.6966871902875228,0.054070069614536996,0.027867487611500912
LR,none,0,102,5,5,25,0.11764444867535111,0.5310651186806403,0.02352888973507022,0.021242604747225613
LR,none,0,103,4,3,25,0.24280063571850075,0.9532684359774364,0.08093354523950025,0.03813073743909746
LR,none,0,104,2,1,25,0.029740779765148075,0.6592188432414178,0.029740779765148075,0.026368753729656712
LR,none,0,105,3,2,25,0.10618565640649828,0.6216260513339228,0.05309282820324914,0.024865042053356913
LR,none,0,106,1,0,25,0.0,0.7762512306539467,,0.03105004922615787
LR,none,0,107,2,2,25,0.19114032775576395,0.2829013355792984,0.09557016387788198,0.011316053423171936
LR,none,0,108,2,2,25,0.16777354241858894,0.5955945477008658,0.08388677120929447,0.023823781908034632
LR,none,0,109,6,6,25,0.3003847996205291,0.5749109763326211,0.050064133270088185,0.022996439053304844
LR,none,0,110,3,3,25,0.2524859509574807,0.7551865493945014,0.08416198365249357,0.030207461975780055
LR,none,0,111,3,3,25,0.1723117795482956,0.487438641315788,0.05743725984943187,0.01949754565263152
LR,none,0,112,6,6,25,0.18622754328226115,0.4989139690529476,0.03103792388037686,0.019956558762117903
LR,none,0,113,8,5,25,0.5789728619390303,0.5716047128028054,0.11579457238780606,0.022864188512112218
LR,none,0,114,4,3,25,0.2591440152805238,0.5131855576834514,0.08638133842684126,0.020527422307338058
LR,none,0,115,8,8,25,0.6841013270627991,0.5079828073088756,0.08551266588284989,0.02031931229235502
LR,none,0,116,8,6,25,0.29968338808734196,0.827740224545571,0.04994723134789033,0.03310960898182284
LR,none,0,117,3,3,25,0.17533852962068494,0.5708523574392607,0.058446176540228316,0.022834094297570426
LR,none,0,118,8,7,25,0.5577235341263893,0.5361869350960651,0.07967479058948419,0.021447477403842605
LR,none,0,119,3,3,25,0.16691765883492865,0.5189024519043781,0.055639219611642886,0.020756098076175126
