arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
LR,l2,1,101,74,59,25,1.0395545017015726,0.7452634026348638,0.017619567825450384,0.029810536105394553
LR,l2,1,102,70,52,25,0.7439299798202407,0.8642734769749627,0.014306345765773859,0.03457093907899851
LR,l2,1,103,62,49,25,0.6154902696117783,0.8088511157709066,0.012561025910444456,0.032354044630836264
LR,l2,1,104,71,57,25,1.2733599497239776,1.08074874154843,0.02233964824077154,0.0432299496619372
LR,l2,1,105,61,45,25,0.8859849122333093,0.9253714736364687,0.019688553605184653,0.037014858945458744
LR,l2,1,106,75,60,25,1.1813330664622868,0.9652286493118489,0.019688884441038113,0.03860914597247396
LR,l2,1,107,75,59,25,1.0913314066698285,0.7910880205056393,0.018497142485929298,0.03164352082022557
LR,l2,1,108,74,56,25,0.895080458787141,0.7470268384010534,0.015983579621198948,0.02988107353604214
LR,l2,1,109,71,59,25,1.0991790374623704,0.8167724050996206,0.018630153177328312,0.03267089620398482
LR,l2,1,110,71,55,25,0.84434092343499,1.0899957866926708,0.015351653153363455,0.04359983146770683
LR,l2,1,111,72,58,25,1.0423630376179958,0.6544432196533989,0.0179717765106551,0.026177728786135956
LR,l2,1,112,74,60,25,0.9877160419974037,1.1356614395267322,0.016461934033290063,0.045426457581069286
LR,l2,1,113,80,63,25,1.4297922610235811,1.0856688063285937,0.02269511525434256,0.04342675225314375
LR,l2,1,114,69,57,25,0.9380788890933713,0.8740961175035716,0.016457524370059148,0.03496384470014287
LR,l2,1,115,63,51,25,0.8485916478021069,0.8875091871607362,0.01663905191768837,0.03550036748642945
LR,l2,1,116,71,53,25,0.5368517067213285,1.02813898720265,0.010129277485308086,0.041125559488106006
LR,l2,1,117,72,59,25,0.9452504749659292,0.7531355983959078,0.01602119449094795,0.030125423935836313
LR,l2,1,118,75,57,25,0.9187186968779694,0.8267355901994863,0.016117871875052096,0.03306942360797945
LR,l2,1,119,64,52,25,0.9100621750166403,0.8476202238811517,0.01750119567339693,0.033904808955246064
