arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
SNA,none,0,101,17,16,25,0.5249489784296301,0.7599286798478349,0.03280931115185188,0.030397147193913395
SNA,none,0,102,19,18,25,0.4531926319468464,0.5741572510131069,0.025177368441491467,0.022966290040524275
SNA,none,0,103,23,22,25,0.6832717954218417,0.5402229239074869,0.031057808882810987,0.021608916956299476
SNA,none,0,104,18,17,25,0.3899177206467015,0.615307282820099,0.0229363365086295,0.02461229131280396
SNA,none,0,105,20,19,25,0.6195531771201107,0.5785169860289248,0.03260806195369004,0.02314067944115699
SNA,none,0,106,24,22,25,0.7922652226691473,0.46511015626833524,0.03601205557587033,0.01860440625073341
SNA,none,0,107,21,20,25,0.7147506134704235,0.5025724821827201,0.03573753067352117,0.020102899287308806
SNA,none,0,108,24,23,25,0.6747400392920444,0.5305082074290045,0.02933652344748019,0.021220328297160182
SNA,none,0,109,17,17,25,0.6990795150902495,0.3595187237414241,0.041122324417073496,0.014380748949656963
SNA,none,0,110,22,22,25,0.5693681900863381,0.875895897923628,0.02588037227665173,0.03503583591694512
SNA,none,0,111,21,21,25,0.6344611870488962,0.40935466992606023,0.030212437478518865,0.01637418679704241
SNA,none,0,112,18,18,25,0.5782646051072124,0.5860427783651915,0.03212581139484513,0.02344171113460766
SNA,none,0,113,21,20,25,0.5586229237638333,0.6313795703286594,0.027931146188191664,0.025255182813146378
SNA,none,0,114,18,17,25,0.6550010420491686,0.569309300254844,0.0385294730617158,0.02277237201019376
SNA,none,0,115,22,21,25,0.6295284640064625,0.47363182603594095,0.029977545905069642,0.018945273041437637
SNA,none,0,116,18,17,25,0.5137390998872033,0.7412779563624079,0.03021994705218843,0.029651118254496317
SNA,none,0,117,14,14,25,0.4823714045128006,0.7146780846040807,0.0344551003223429,0.028587123384163228
SNA,none,0,118,24,23,25,0.766954515636457,0.4529739270470861,0.03334584850593291,0.018118957081883446
SNA,none,0,119,19,18,25,0.7360181998041633,0.5234792085359777,0.04088989998912018,0.02093916834143911
