arm,iv,seed,task,step,n_D,recovery,leftover,returned_fraction,D_only_n,D_only_star_sum,D_only_star_negative_sum,D_only_star_mean,D_only_row_sum,D_only_bias_sum,D_only_gate_before,D_only_near_abs_zmax,N_only_n,N_only_star_sum,N_only_star_negative_sum,N_only_star_mean,N_only_row_sum,N_only_bias_sum,N_only_gate_before,N_only_near_abs_zmax,both_n,both_star_sum,both_star_negative_sum,both_star_mean,both_row_sum,both_bias_sum,both_gate_before,both_near_abs_zmax,rest_n,rest_star_sum,rest_star_negative_sum,rest_star_mean,rest_row_sum,rest_bias_sum,rest_gate_before,rest_near_abs_zmax,star_all_mean
LR,l2,0,101,300,25,0.24330122768878937,1.284802794456482,0.08,18,0.1301194131374359,-1.4369544982910156,0.007228856440633535,0.11481785774230957,0.015301795676350594,0.538769543170929,2.1082253456115723,18,-2.8949460983276367,-3.4700136184692383,-0.1608303338289261,-2.9523603916168213,0.05741428956389427,0.48974609375,0.14687077701091766,7,0.45048558712005615,-0.47405940294265747,0.06435508280992508,0.43618154525756836,0.014304028823971748,0.5916852951049805,0.13271966576576233,57,-1.0118408203125,-6.026737213134766,-0.01775159314274788,-0.9951597452163696,-0.016681008040905,0.3624383211135864,1.478036642074585,-0.033261824399232864
LR,l2,0,101,625,25,0.21665048599243164,1.2570756673812866,0.08,18,-0.5954231023788452,-2.0184600353240967,-0.03307906165719032,-0.5636934638023376,-0.03172954544425011,0.538769543170929,2.1082253456115723,18,-1.7759432792663574,-2.394838809967041,-0.09866351634263992,-1.8874517679214478,0.11150864511728287,0.48974609375,0.14687077701091766,7,-0.1807568520307541,-0.6498327255249023,-0.025822406634688377,-0.17388565838336945,-0.006871245801448822,0.5916852951049805,0.13271966576576233,57,1.5265283584594727,-3.697633743286133,0.026781199499964714,1.5680257081985474,-0.041497837752103806,0.3624383211135864,1.478036642074585,-0.010255948640406132
LR,l2,0,102,300,25,0.6587596535682678,1.1793227195739746,0.04,21,1.006127953529358,-1.701102375984192,0.04791085422039032,0.9872543215751648,0.018873529508709908,0.5628069639205933,1.7653944492340088,21,-4.164748668670654,-4.69117546081543,-0.1983213722705841,-4.206942081451416,0.04219266027212143,0.4881417751312256,0.2093505710363388,4,0.5773029327392578,-0.07977637648582458,0.14432573318481445,0.5440734624862671,0.033229466527700424,0.4388183653354645,0.21017858386039734,54,1.357088327407837,-3.2809295654296875,0.025131264701485634,1.3032543659210205,0.05383408069610596,0.3586588203907013,1.5358517169952393,-0.012242303229868412
LR,l2,0,102,625,25,0.6297470331192017,1.1672284603118896,0.04,21,1.16079580783844,-1.604718565940857,0.055275991559028625,1.1698437929153442,-0.009048013016581535,0.5628069639205933,1.7653944492340088,21,-3.794748067855835,-4.574820041656494,-0.18070228397846222,-3.796074628829956,0.0013269521296024323,0.4881417751312256,0.2093505710363388,4,0.38705694675445557,-0.2692674398422241,0.09676423668861389,0.36506226658821106,0.021994654089212418,0.4388183653354645,0.21017858386039734,54,2.3192062377929688,-2.3145675659179688,0.04294826462864876,2.3280327320098877,-0.008826535195112228,0.3586588203907013,1.5358517169952393,0.0007231110357679427
LR,l2,0,103,300,25,-0.03205869346857071,2.041426420211792,0.04,17,-0.4503568112850189,-2.250105619430542,-0.026491576805710793,-0.4956752359867096,0.04531831666827202,0.638511061668396,1.6865698099136353,17,-1.065419316291809,-2.671790361404419,-0.0626717209815979,-1.090024709701538,0.024605244398117065,0.4751378297805786,0.1283516138792038,8,-1.1346940994262695,-1.5269298553466797,-0.1418367624282837,-1.098436713218689,-0.03625735267996788,0.5552734136581421,0.12787428498268127,58,0.9418004751205444,-4.222053527832031,0.016237938776612282,0.9029415845870972,0.038858599960803986,0.37888604402542114,1.4402636289596558,-0.017086699604988098
LR,l2,0,103,625,25,0.05869588628411293,1.7527943849563599,0.08,17,-0.8418731093406677,-1.9217398166656494,-0.049521949142217636,-0.8578494787216187,0.015976347029209137,0.638511061668396,1.6865698099136353,17,-0.5722869634628296,-2.1893599033355713,-0.03366393968462944,-0.6191177368164062,0.04683076590299606,0.4751378297805786,0.1283516138792038,8,-0.5347475409507751,-1.106771469116211,-0.0668434426188469,-0.5013424754142761,-0.033404961228370667,0.5552734136581421,0.12787428498268127,58,4.756465911865234,-2.909224033355713,0.08200803399085999,4.65081787109375,0.10564807057380676,0.37888604402542114,1.4402636289596558,0.028075585141777992
LR,l2,0,104,300,25,0.4791347086429596,0.8818308115005493,0.12,21,0.7613513469696045,-1.0439509153366089,0.03625482693314552,0.7497713565826416,0.011580174788832664,0.5250557661056519,1.3621398210525513,21,-2.538203001022339,-3.694554090499878,-0.1208668127655983,-2.5037448406219482,-0.03445811942219734,0.4904018044471741,0.13191097974777222,4,-0.7899682521820068,-0.8164175152778625,-0.1974920630455017,-0.7742362022399902,-0.015731995925307274,0.43925780057907104,0.1320347785949707,54,-1.4074972867965698,-5.706312656402588,-0.026064764708280563,-1.3590728044509888,-0.04842477664351463,0.4368489682674408,1.6835442781448364,-0.039743173867464066
LR,l2,0,104,625,25,0.5660675764083862,0.7276254296302795,0.08,21,1.2408493757247925,-0.9112950563430786,0.05908806622028351,1.219862937927246,0.020986171439290047,0.5250557661056519,1.3621398210525513,21,-2.32846999168396,-3.1779658794403076,-0.11087952554225922,-2.2342112064361572,-0.09425855427980423,0.4904018044471741,0.13191097974777222,4,-0.37869805097579956,-0.37869805097579956,-0.09467451274394989,-0.38766929507255554,0.008971236646175385,0.43925780057907104,0.1320347785949707,54,1.537455677986145,-4.434249401092529,0.02847140096127987,1.5618622303009033,-0.024406448006629944,0.4368489682674408,1.6835442781448364,0.0007113735191524029
LR,l2,0,105,300,25,0.45267224311828613,1.1043657064437866,0.04,21,0.6975597143173218,-1.1748148202896118,0.03321712836623192,0.7437836527824402,-0.046223968267440796,0.49910709261894226,0.9370155334472656,21,-1.5264153480529785,-2.894200086593628,-0.07268644869327545,-1.486645221710205,-0.03976989910006523,0.4703962206840515,0.19637222588062286,4,-0.5260831117630005,-0.7780647277832031,-0.13152077794075012,-0.51982581615448,-0.006257342174649239,0.550000011920929,0.12340383231639862,54,-1.9707564115524292,-6.109957218170166,-0.03649548813700676,-2.0167713165283203,0.046014852821826935,0.4483072757720947,1.5758179426193237,-0.033256951719522476
LR,l2,0,105,625,25,0.264247328042984,1.0399260520935059,0.04,21,-0.4421459436416626,-1.6214550733566284,-0.021054569631814957,-0.359703004360199,-0.08244295418262482,0.49910709261894226,0.9370155334472656,21,0.007592737674713135,-2.3987433910369873,0.00036155892303213477,0.06286132335662842,-0.055268727242946625,0.4703962206840515,0.19637222588062286,4,-0.2515198290348053,-0.5071520805358887,-0.06287995725870132,-0.2498207837343216,-0.0016990359872579575,0.550000011920929,0.12340383231639862,54,-0.7483137249946594,-6.28751277923584,-0.013857661746442318,-0.7505618333816528,0.002247854135930538,0.4483072757720947,1.5758179426193237,-0.014343871735036373
