arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
LR,none,2,101,4,3,25,0.26866667015688467,0.531831378257075,0.08955555671896155,0.021273255130283
LR,none,2,102,4,4,25,0.2435322378473233,0.30520640813224015,0.06088305946183083,0.012208256325289607
LR,none,2,103,3,3,25,0.2097380333634983,0.5513421436866437,0.06991267778783276,0.02205368574746575
LR,none,2,104,2,1,25,0.07521920254020745,0.6067527806985425,0.07521920254020745,0.0242701112279417
LR,none,2,105,3,3,25,0.05624646394682999,0.6435124862581392,0.01874882131561,0.02574049945032557
LR,none,2,106,5,4,25,0.27494774238658987,0.43861090346471016,0.06873693559664747,0.017544436138588405
LR,none,2,107,3,3,25,0.2704745069841982,0.9667930462182418,0.09015816899473274,0.03867172184872967
LR,none,2,108,3,2,25,0.12454749730034602,0.815763508988026,0.06227374865017301,0.03263054035952104
LR,none,2,109,2,2,25,0.05903950409945068,0.6100182438898374,0.02951975204972534,0.024400729755593497
LR,none,2,110,7,6,25,0.2668612006913529,0.5054572681077337,0.044476866781892145,0.02021829072430935
LR,none,2,111,2,2,25,0.15198771990207885,0.6036378636627935,0.07599385995103942,0.02414551454651174
LR,none,2,112,6,5,25,0.3743991691237567,0.4632310002490382,0.07487983382475134,0.018529240009961527
LR,none,2,113,1,1,25,0.08003725477399651,0.8369391334222872,0.08003725477399651,0.03347756533689149
LR,none,2,114,3,2,25,0.07691356242361283,0.5033336141779613,0.038456781211806415,0.02013334456711845
LR,none,2,115,3,2,25,0.15701747441406758,0.5195174488514339,0.07850873720703379,0.020780697954057358
LR,none,2,116,6,6,25,0.3418169834367311,0.46507181509822726,0.056969497239455186,0.01860287260392909
LR,none,2,117,5,4,25,0.21349799150928056,0.4188872486212722,0.05337449787732014,0.016755489944850887
LR,none,2,118,9,8,25,0.7660363615166838,0.6482949532812742,0.09575454518958547,0.025931798131250967
LR,none,2,119,2,2,25,0.24026400053452518,0.4903066671385947,0.12013200026726259,0.019612266685543788
