arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
LR,none,1,101,5,5,25,0.5720886940184534,0.5700602672913551,0.11441773880369069,0.0228024106916542
LR,none,1,102,5,4,25,0.08093284833992612,0.3010741257096289,0.02023321208498153,0.012042965028385155
LR,none,1,103,4,4,25,0.49597659671006544,0.5947335789746035,0.12399414917751636,0.023789343158984143
LR,none,1,104,6,4,25,0.4503507182266959,0.6635153088561875,0.11258767955667398,0.026540612354247498
LR,none,1,105,5,5,25,0.3448332691746211,0.494302246061028,0.06896665383492422,0.01977208984244112
LR,none,1,106,1,1,25,0.06835057543825132,0.47703660319378444,0.06835057543825132,0.01908146412775138
LR,none,1,107,4,4,25,0.28502180771528945,0.5164411273518072,0.07125545192882236,0.02065764509407229
LR,none,1,108,8,5,25,0.38134184034796564,0.9679289752097932,0.07626836806959313,0.038717159008391726
LR,none,1,109,5,5,25,0.3031465338660357,0.4452509041570901,0.06062930677320714,0.017810036166283606
LR,none,1,110,3,3,25,0.21897148962795346,0.6172164706289359,0.07299049654265115,0.024688658825157438
LR,none,1,111,3,2,25,0.14006408869482292,0.6116172533144643,0.07003204434741146,0.02446469013257857
LR,none,1,112,6,4,25,0.30029402086480367,0.545549630362849,0.07507350521620092,0.02182198521451396
LR,none,1,113,7,6,25,0.4503133391617371,0.5439279827226442,0.07505222319362286,0.021757119308905767
LR,none,1,114,9,8,25,0.3350259630869649,0.9219121002164825,0.041878245385870615,0.036876484008659303
LR,none,1,115,2,1,25,0.05771075007958053,0.6058007248904538,0.05771075007958053,0.02423202899561815
LR,none,1,116,6,5,25,0.1543742660247037,0.42950142508205563,0.03087485320494074,0.017180057003282224
LR,none,1,117,5,4,25,0.3277545171959059,0.6581952118126209,0.08193862929897648,0.026327808472504835
LR,none,1,118,3,3,25,0.11309369804230052,0.826319027223203,0.037697899347433506,0.03305276108892812
LR,none,1,119,4,3,25,0.10875595200198454,0.788576324464121,0.036251984000661513,0.031543052978564835
