arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
LR,l2,0,101,71,56,25,1.0283567783149765,1.0225411700180442,0.018363513898481724,0.040901646800721767
LR,l2,0,102,65,57,25,0.7286447147621574,1.2120273349168835,0.01278324060986241,0.04848109339667534
LR,l2,0,103,76,61,25,0.9178487929319639,1.2306007017372824,0.015046701523474818,0.0492240280694913
LR,l2,0,104,71,56,25,0.9971122931531282,1.0012250899297566,0.01780557666344872,0.04004900359719026
LR,l2,0,105,69,55,25,1.146827671880408,0.8374755978130869,0.02085141221600742,0.033499023912523476
LR,l2,0,106,68,56,25,0.7999528964659804,0.8385299291055281,0.014284873151178223,0.033541197164221125
LR,l2,0,107,71,53,25,0.9312287163331844,0.5798396853692356,0.017570353138361968,0.023193587414769422
LR,l2,0,108,65,52,25,1.0558410114358416,0.7587246444915505,0.020304634835304647,0.03034898577966202
LR,l2,0,109,69,55,25,0.8272217505356937,1.2363591647827965,0.01504039546428534,0.04945436659131186
LR,l2,0,110,72,56,25,0.9569337360068838,0.8279114537050473,0.017088102428694355,0.03311645814820189
LR,l2,0,111,69,53,25,0.9157932228647746,0.8744871545947244,0.017279117412542917,0.034979486183788974
LR,l2,0,112,64,51,25,0.6250339841333094,1.0722921354413146,0.012255568316339399,0.042891685417652585
LR,l2,0,113,77,61,25,1.1119618404357188,1.3111208160560412,0.01822888263009375,0.05244483264224165
LR,l2,0,114,73,62,25,1.099439243440032,0.8743107218866912,0.01773289102322632,0.03497242887546765
LR,l2,0,115,69,57,25,1.0888870015174905,0.7693275402056219,0.019103280728377026,0.030773101608224874
LR,l2,0,116,74,55,25,1.1251606926915956,0.8733984756949249,0.020457467139847193,0.03493593902779699
LR,l2,0,117,73,56,25,1.206540817204865,0.9067973104654171,0.02154537173580116,0.03627189241861668
LR,l2,0,118,68,51,25,0.7241605636172107,0.7572283568255238,0.014199226737592366,0.030289134273020952
LR,l2,0,119,71,56,25,1.06505115305078,0.9970413327865875,0.0190187705901925,0.0398816533114635
