arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
SNA,l2,1,101,82,65,25,1.8128086690346858,0.8063358994355501,0.027889364138995166,0.032253435977422
SNA,l2,1,102,82,60,25,1.4339362061872134,0.6200349738285549,0.02389893676978689,0.024801398953142196
SNA,l2,1,103,75,60,25,1.4878549378828612,0.6265734276305235,0.024797582298047686,0.02506293710522094
SNA,l2,1,104,90,68,25,2.078358586261966,0.8503890185154832,0.030564096856793614,0.03401556074061933
SNA,l2,1,105,78,59,25,1.6146579157802352,0.6688328599406511,0.02736708331830907,0.026753314397626043
SNA,l2,1,106,88,67,25,1.7338721633307894,0.8614936499603448,0.025878689004937155,0.034459745998413796
SNA,l2,1,107,77,63,25,1.3379913364237024,0.8030632077613109,0.02123795772101115,0.03212252831045244
SNA,l2,1,108,81,61,25,1.2753521322919266,0.7565638572415966,0.020907412004785682,0.030262554289663863
SNA,l2,1,109,83,66,25,1.460883180008431,0.7328135481754463,0.022134593636491378,0.029312541927017852
SNA,l2,1,110,80,62,25,1.4728196628186327,0.924590584347893,0.023755155851913432,0.03698362337391572
SNA,l2,1,111,80,59,25,1.143144264654658,0.8517715647554727,0.01937532651957047,0.03407086259021891
SNA,l2,1,112,77,59,25,1.6640144632305844,0.874449420756203,0.028203634970009907,0.03497797683024812
SNA,l2,1,113,86,66,25,2.0381358094642428,1.1140479819234075,0.030880845597943074,0.0445619192769363
SNA,l2,1,114,76,57,25,1.4499600125183867,0.6755574994072592,0.025437894956462925,0.027022299976290368
SNA,l2,1,115,73,60,25,1.3036078064318886,0.863080282816135,0.02172679677386481,0.0345232113126454
SNA,l2,1,116,78,56,25,1.1089160789006038,0.7042318957399876,0.019802072837510783,0.028169275829599504
SNA,l2,1,117,81,62,25,1.371426847769743,0.740515514416657,0.02211978786725392,0.029620620576666278
SNA,l2,1,118,82,61,25,1.2474577449057118,0.8823967939501679,0.020450126965667406,0.03529587175800672
SNA,l2,1,119,73,56,25,1.3977498101113934,0.8548261326053537,0.024959818037703453,0.034193045304214145
