arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
LR,l2,2,101,76,59,25,1.3249118557737158,0.9323190050864343,0.02245613314870705,0.03729276020345737
LR,l2,2,102,63,53,25,0.7737789129544995,1.0810296264167594,0.014599602131216973,0.04324118505667038
LR,l2,2,103,72,58,25,1.0169137663038823,1.067948806143069,0.017532995970756592,0.042717952245722765
LR,l2,2,104,81,62,25,1.4475690205304792,0.9782205298207295,0.023347887427910954,0.03912882119282918
LR,l2,2,105,60,46,25,0.8367309523714135,0.6665847469522788,0.018189803312422034,0.02666338987809115
LR,l2,2,106,71,57,25,1.171236719427475,0.925310015485347,0.02054801262153465,0.03701240061941388
LR,l2,2,107,68,52,25,0.7436418659375291,0.9862639207880514,0.014300805114183253,0.03945055683152206
LR,l2,2,108,74,57,25,1.3509629644236927,1.045909044873879,0.023701104639012153,0.04183636179495516
LR,l2,2,109,66,51,25,0.8920753362235002,0.963124879389935,0.01749167325928432,0.0385249951755974
LR,l2,2,110,72,58,25,0.9343824403127713,0.7159468210963584,0.016110042074358125,0.02863787284385434
LR,l2,2,111,68,53,25,1.071885734449519,1.2589809155528102,0.02022425914055696,0.05035923662211241
LR,l2,2,112,67,51,25,1.1727945616977535,0.7366109165444759,0.022995971797995167,0.029464436661779034
LR,l2,2,113,83,66,25,1.5994162109816863,1.0459200664737298,0.024233578954267976,0.04183680265894919
LR,l2,2,114,72,56,25,1.0433341888608958,0.735491688529191,0.01863096765823028,0.02941966754116764
LR,l2,2,115,69,54,25,1.0458515545631457,0.9139479330936917,0.019367621380798995,0.03655791732374767
LR,l2,2,116,60,48,25,0.8738959085096218,0.9507248669020768,0.018206164760617122,0.038028994676083075
LR,l2,2,117,71,57,25,1.0954120622577264,1.0854044485737737,0.019217755478205725,0.04341617794295095
LR,l2,2,118,78,63,25,1.3384927342064745,0.6806315141507043,0.021245916415975785,0.027225260566028173
LR,l2,2,119,62,53,25,0.8856659876650484,0.9176794031488626,0.016710679012548083,0.036707176125954505
