arm,iv,seed,task,step,n_D,recovery,leftover,returned_fraction,D_only_n,D_only_star_sum,D_only_star_negative_sum,D_only_star_mean,D_only_row_sum,D_only_bias_sum,D_only_gate_before,D_only_near_abs_zmax,N_only_n,N_only_star_sum,N_only_star_negative_sum,N_only_star_mean,N_only_row_sum,N_only_bias_sum,N_only_gate_before,N_only_near_abs_zmax,both_n,both_star_sum,both_star_negative_sum,both_star_mean,both_row_sum,both_bias_sum,both_gate_before,both_near_abs_zmax,rest_n,rest_star_sum,rest_star_negative_sum,rest_star_mean,rest_row_sum,rest_bias_sum,rest_gate_before,rest_near_abs_zmax,star_all_mean
SNA,l2,0,101,300,25,0.5164022445678711,0.8278399705886841,0.08,22,1.378685474395752,-0.8001211881637573,0.06266751885414124,1.3563532829284668,0.022332150489091873,0.6968745589256287,1.2430174350738525,22,-1.5282644033432007,-2.865443229675293,-0.06946656107902527,-1.4657726287841797,-0.06249199062585831,0.9975008368492126,0.09352301061153412,3,0.6041443347930908,0.0,0.20138144493103027,0.6102689504623413,-0.0061246249824762344,0.9904124140739441,0.03463186323642731,53,-0.9845980405807495,-5.075801372528076,-0.018577322363853455,-0.9743678569793701,-0.010229980573058128,0.8290430903434753,6.676651954650879,-0.005300323944538832
SNA,l2,0,101,625,25,0.6200599074363708,0.7663567662239075,0.08,22,1.5476092100143433,-0.7473142147064209,0.07034587115049362,1.549360990524292,-0.0017514843493700027,0.6968745589256287,1.2430174350738525,22,-1.8028875589370728,-2.383526563644409,-0.08194943517446518,-1.7762150764465332,-0.026672326028347015,0.9975008368492126,0.09352301061153412,3,0.46433907747268677,-0.04422976076602936,0.15477968752384186,0.488296240568161,-0.023957155644893646,0.9904124140739441,0.03463186323642731,53,1.3614495992660522,-4.0182576179504395,0.025687728077173233,1.2965644598007202,0.06488518416881561,0.8290430903434753,6.676651954650879,0.015705101191997528
SNA,l2,0,102,300,25,0.18427881598472595,1.6740655899047852,0.0,17,-1.01900053024292,-2.3695836067199707,-0.05994120612740517,-1.0113284587860107,-0.007672073319554329,0.5915729999542236,1.0376648902893066,17,-1.0503647327423096,-1.7287849187850952,-0.06178615987300873,-1.0383670330047607,-0.011997689493000507,0.9751902222633362,0.11681753396987915,8,-1.4931647777557373,-1.6806926727294922,-0.18664559721946716,-1.4806232452392578,-0.012541636824607849,1.066589593887329,0.1195574700832367,58,1.1658724546432495,-4.652396202087402,0.02010124921798706,1.0935238599777222,0.07234850525856018,0.8487548232078552,5.775439739227295,-0.023966578766703606
SNA,l2,0,102,625,25,0.20504888892173767,1.5477957725524902,0.0,17,-1.0308172702789307,-1.9449293613433838,-0.060636311769485474,-0.9687902927398682,-0.06202694773674011,0.5915729999542236,1.0376648902893066,17,-0.7693405151367188,-1.6777758598327637,-0.045255325734615326,-0.7611980438232422,-0.008142468519508839,0.9751902222633362,0.11681753396987915,8,-1.3944172859191895,-1.4908288717269897,-0.17430216073989868,-1.3606189489364624,-0.03379829600453377,1.066589593887329,0.1195574700832367,58,1.366108775138855,-4.079713821411133,0.023553598672151566,1.331152319908142,0.03495669364929199,0.8487548232078552,5.775439739227295,-0.018284667283296585
SNA,l2,0,103,300,25,0.2100047916173935,1.4838428497314453,0.04,18,0.36044079065322876,-0.7626544237136841,0.020024487748742104,0.32168132066726685,0.03875940665602684,0.6789384484291077,0.563137948513031,18,0.0020491331815719604,-1.0930900573730469,0.00011384073150111362,0.018235251307487488,-0.016186224296689034,0.9728112816810608,0.1074707955121994,7,-1.717140793800354,-1.7477178573608398,-0.24530582129955292,-1.6871201992034912,-0.030020607635378838,0.9381585121154785,0.10009744018316269,57,-0.7453945279121399,-4.887315273284912,-0.01307709701359272,-0.6634661555290222,-0.08192840218544006,0.8263466358184814,6.813250541687012,-0.0210004523396492
SNA,l2,0,103,625,25,0.491510808467865,1.0162477493286133,0.08,18,1.4567071199417114,-0.572872519493103,0.08092817664146423,1.4092925786972046,0.04741460829973221,0.6789384484291077,0.563137948513031,18,0.5363651514053345,-1.035510778427124,0.02979806438088417,0.49209290742874146,0.04427223280072212,0.9728112816810608,0.1074707955121994,7,-0.7145363092422485,-0.9649129509925842,-0.10207661241292953,-0.7060620188713074,-0.00847429595887661,0.9381585121154785,0.10009744018316269,57,0.5508260726928711,-4.903686046600342,0.009663615375757217,0.5274479985237122,0.02337755262851715,0.8263466358184814,6.813250541687012,0.01829362101852894
SNA,l2,0,104,300,25,0.15792740881443024,1.7680928707122803,0.04,18,-1.7652428150177002,-2.200479507446289,-0.09806904196739197,-1.7476112842559814,-0.017631538212299347,0.751716673374176,0.6993558406829834,18,-0.7093924283981323,-1.4045428037643433,-0.03941069170832634,-0.6933496594429016,-0.016042759642004967,0.9640074968338013,0.10099558532238007,7,-0.2571289539337158,-0.467541366815567,-0.03673270717263222,-0.24889972805976868,-0.008229203522205353,1.0026565790176392,0.08236871659755707,57,0.881019651889801,-4.254797458648682,0.0154564855620265,0.8997635841369629,-0.018743790686130524,0.9130821824073792,6.300127029418945,-0.018507448956370354
SNA,l2,0,104,625,25,0.5185129642486572,1.2704471349716187,0.04,18,-0.28193533420562744,-1.667906641960144,-0.01566307432949543,-0.28798115253448486,0.006045674905180931,0.751716673374176,0.6993558406829834,18,-0.014481857419013977,-0.933440089225769,-0.0008045476279221475,0.007348224520683289,-0.0218301173299551,0.9640074968338013,0.10099558532238007,7,0.4293400049209595,-0.32691752910614014,0.061334285885095596,0.4012823700904846,0.028057608753442764,1.0026565790176392,0.08236871659755707,57,2.957261085510254,-3.8877172470092773,0.05188177525997162,2.9185726642608643,0.038688525557518005,0.9130821824073792,6.300127029418945,0.030901826918125153
SNA,l2,0,105,300,25,0.07565097510814667,1.344728946685791,0.0,19,0.585167407989502,-0.6384040117263794,0.030798284336924553,0.6110644936561584,-0.025897109881043434,0.7002580761909485,0.9715806841850281,19,-1.7144933938980103,-2.2635340690612793,-0.09023649245500565,-1.6620911359786987,-0.05240239202976227,1.0016788244247437,0.11533525586128235,6,-0.8624633550643921,-1.1027127504348755,-0.14374388754367828,-0.845947265625,-0.01651606895029545,1.0510402917861938,0.1087721735239029,56,-5.4157843589782715,-7.807096481323242,-0.0967104360461235,-5.188146591186523,-0.2276378870010376,0.9131178855895996,6.284796714782715,-0.07407574355602264
SNA,l2,0,105,625,25,0.0363055020570755,1.4531651735305786,0.08,19,-0.452447772026062,-1.4617947340011597,-0.023813040927052498,-0.3606814742088318,-0.09176631271839142,0.7002580761909485,0.9715806841850281,19,-2.329056978225708,-2.762507915496826,-0.12258194386959076,-2.2746596336364746,-0.05439747869968414,1.0016788244247437,0.11533525586128235,6,-0.9864510893821716,-1.0681862831115723,-0.16440851986408234,-0.9659060835838318,-0.02054499089717865,1.0510402917861938,0.1087721735239029,56,-1.6743311882019043,-5.71522331237793,-0.02989877201616764,-1.4631778001785278,-0.2111533284187317,0.9131178855895996,6.284796714782715,-0.054422859102487564
