arm,iv,seed,task,N_abs_count,N_only_count,D_count,credit_N_only,credit_D_total,N_credit_per_unit,D_credit_per_unit
SNA,none,2,101,23,23,25,0.7567735138611639,0.4810970636946839,0.03290319625483321,0.019243882547787357
SNA,none,2,102,20,19,25,0.5605240519718506,0.3661644976685089,0.029501265893255295,0.014646579906740356
SNA,none,2,103,14,13,25,0.5111402235509407,0.5259012491412199,0.039318478734687745,0.021036049965648798
SNA,none,2,104,16,16,25,0.6176133876676679,0.6378005103692803,0.038600836729229246,0.025512020414771214
SNA,none,2,105,22,19,25,0.7643628583330005,0.5672026537372491,0.0402296241227895,0.022688106149489965
SNA,none,2,106,17,16,25,0.4457598442744167,0.6134711588452232,0.027859990267151045,0.024538846353808926
SNA,none,2,107,24,24,25,0.8231390223682604,0.7860189910217366,0.034297459265344186,0.03144075964086946
SNA,none,2,108,23,22,25,0.7235239404757372,0.762446069550143,0.03288745183980624,0.03049784278200572
SNA,none,2,109,19,19,25,0.44177099335894443,0.5507845182317075,0.023251104913628654,0.022031380729268298
SNA,none,2,110,23,21,25,0.7437831805655938,0.567799414322516,0.035418246693599706,0.022711976572900642
SNA,none,2,111,20,19,25,0.7998962518523578,0.9900115398862386,0.04209980272907146,0.03960046159544954
SNA,none,2,112,18,17,25,0.7121152825324624,0.5367637267744159,0.04188913426661543,0.021470549070976633
SNA,none,2,113,18,18,25,0.5759762950312637,0.6419135126140159,0.03199868305729243,0.025676540504560634
SNA,none,2,114,24,22,25,0.7210568742261331,0.5676454647567774,0.03277531246482423,0.022705818590271095
SNA,none,2,115,24,23,25,0.8118316769962656,0.5357874957010004,0.03529702943462024,0.021431499828040015
SNA,none,2,116,11,11,25,0.4034520226468717,0.7675338809195071,0.03667745660426106,0.030701355236780286
SNA,none,2,117,24,24,25,0.8216835943937362,0.4825889949139112,0.03423681643307234,0.019303559796556447
SNA,none,2,118,17,16,25,0.4971075616753954,0.7587407719599946,0.03106922260471221,0.030349630878399782
SNA,none,2,119,17,17,25,0.697021637750617,0.48538504973955465,0.041001272808859825,0.019415401989582186
