arm,wd_b,step,task,seed,unfit,eval_loss_exact,signal_var,residual_var,L1_strict_dead_frac,L1_submerged_frac,L1_alive,L1_n_invalid,L1_b_median_alive,L1_b_q25_alive,L1_b_q75_alive,L1_b_median_all,L1_b_maxabs,L1_wall_frac,L1_M_median_alive,L1_B_median_alive,L1_beta_median_alive,L1_kappa_median_alive,L1_sigma_median_alive,L1_margin_median_alive,L1_p_hat_median_alive,L1_p_hat_thin_frac,L1_p_hat_sat_frac,L1_eff_rank,L1_eff_rank_W,L1_w_norm_median,L1_wcos_mean,L2_strict_dead_frac,L2_submerged_frac,L2_alive,L2_n_invalid,L2_b_median_alive,L2_b_q25_alive,L2_b_q75_alive,L2_b_median_all,L2_b_maxabs,L2_wall_frac,L2_M_median_alive,L2_B_median_alive,L2_beta_median_alive,L2_kappa_median_alive,L2_sigma_median_alive,L2_margin_median_alive,L2_p_hat_median_alive,L2_p_hat_thin_frac,L2_p_hat_sat_frac,L2_eff_rank,L2_eff_rank_W,L2_w_norm_median,L2_wcos_mean
none,0.0,0,0,0,0.869855713384063,2.437358064796464,1.4999999999999998,1.3047835700760944,0.29,0.29,71,0,0.0,0.0,0.0,0.0,0.0,0.8432448962687684,1.6402922399556927,0.0,1.6402922399556927,2.0283744922905496,0.358057896772776,0.7267302433028817,0.9375,0.1690140845070422,0.5633802816901409,6.318339151052514,19.44117252889429,1.439842618688918,0.1809699056198669,0.23,0.23,77,0,0.0,0.0,0.0,0.0,0.0,0.9441040615811984,1.6925642427778405,0.0,1.6925642427778405,1.8825282853580467,0.3112817928745547,0.6085646981612471,0.96875,0.1558441558441558,0.5324675324675324,6.583259018759178,80.11363021200583,1.4140110488187336,0.0801099030915303
none,0.0,0,0,1,0.9998391018372664,3.412262474224528,1.5625,1.562248596620729,0.26,0.26,74,0,0.0,0.0,0.0,0.0,0.0,0.7103202981391954,0.6092404101773197,0.0,0.6092404101773196,2.001224818030256,0.3442666571687334,0.6941608060151339,0.71875,0.2432432432432432,0.3648648648648648,7.847916341337134,19.429232714305,1.4045970247308142,0.1809709276002608,0.3,0.3,70,0,0.0,0.0,0.0,0.0,0.0,0.6025982072897077,0.7370303694937586,0.0,0.7370303694937579,1.903485649626832,0.3018368397853772,0.5825678631564207,0.734375,0.1285714285714285,0.3571428571428571,8.647357194378866,80.20575000388943,1.4173795657560455,0.0803663945685234
none,0.0,0,0,2,0.9159502087084764,1.827522712731055,1.4677734375,1.3444073864148829,0.29,0.29,71,0,0.0,0.0,0.0,0.0,0.0,0.804292280413565,1.220736044407838,0.0,1.220736044407838,1.9799659510540604,0.3399992909143586,0.6740399673581123,0.875,0.2253521126760563,0.4507042253521127,6.823354600828104,19.581636142174474,1.4256510684841084,0.1745502257236968,0.27,0.27,73,0,0.0,0.0,0.0,0.0,0.0,0.7724698684640033,1.2836366506740322,0.0,1.2836366506740329,1.9012824843685892,0.3064055160120392,0.5792110420742782,0.875,0.2054794520547945,0.4657534246575342,7.45143160400426,80.32693940673843,1.4178894636657338,0.0806605919105912
none,0.0,0,0,3,1.1049821812445066,9.990206954869782,1.6835937499999998,1.8603410942046184,0.22,0.22,78,0,0.0,0.0,0.0,0.0,0.0,0.6219510602946567,0.5677916097711224,0.0,0.5677916097711224,1.9727985164057704,0.3466632607260345,0.6612115474417806,0.703125,0.2948717948717949,0.3205128205128205,7.643129576337748,19.463274891456987,1.4108506539727204,0.1799498358780701,0.25,0.25,75,0,0.0,0.0,0.0,0.0,0.0,0.8912240090691378,1.7238432789666804,0.0,1.7238432789666809,1.9291258009632573,0.3153962393379337,0.6076429839832862,0.96875,0.1333333333333333,0.5733333333333334,7.946223455119341,79.86994391644947,1.3993961828922603,0.0800000600012324
none,0.0,0,0,4,0.9186025255153484,3.491550744938195,1.3662109375000002,1.255004817574192,0.2,0.2,80,0,0.0,0.0,0.0,0.0,0.0,0.4919276425061532,0.5982453504265662,0.0,0.5982453504265662,1.9979243850986543,0.3626025153874481,0.7217702213674784,0.71875,0.125,0.3125,9.685767377739136,19.474346558555844,1.3988015731678471,0.1825265143594307,0.23,0.23,77,0,0.0,0.0,0.0,0.0,0.0,0.6263581050416401,0.905136064742242,0.0,0.9051360647422424,1.895955620883748,0.3169704725718946,0.6029948370388996,0.8125,0.2207792207792207,0.3506493506493506,10.75168307415573,80.66036331948905,1.4095959464124763,0.0797497812338348
none,0.0,0,0,5,1.0486694950053144,10.445091407937449,1.0771484375000004,1.1295727079988889,0.26,0.26,74,0,0.0,0.0,0.0,0.0,0.0,0.8084121327325813,1.2125048843730304,0.0,1.2125048843730302,1.980463743728965,0.3503703589281526,0.6915038395673037,0.875,0.1621621621621621,0.4594594594594595,7.100554168284366,19.40322617913681,1.4241767060830055,0.1819054530128675,0.27,0.27,73,0,0.0,0.0,0.0,0.0,0.0,0.8215973138803367,1.274671190675983,0.0,1.2746711906759831,1.8754117215141344,0.3396764300306123,0.6480871670048135,0.875,0.136986301369863,0.4383561643835616,7.79011359627238,80.25849437048578,1.4135370930064308,0.0797436058681706
none,0.0,0,0,6,0.788122470496414,0.9843409349087828,1.2333984374999996,0.9720690236689166,0.11,0.11,89,0,0.0,0.0,0.0,0.0,0.0,0.6135948576653751,0.4167630036382148,0.0,0.4167630036382148,1.9768762433474865,0.3465586282104807,0.6732409372925757,0.6875,0.2247191011235955,0.3258426966292135,10.262626615118322,19.58284411728492,1.420865626815118,0.176982328592475,0.13,0.13,87,0,0.0,0.0,0.0,0.0,0.0,0.5234177809566117,0.6802129211906782,0.0,0.6802129211906781,1.9192290497951727,0.3342589148927915,0.646091663380064,0.6875,0.1839080459770115,0.2988505747126437,11.015522988826891,80.41550604601932,1.4177843384966708,0.0816329747555259
none,0.0,0,0,7,1.16090752153706,1.5337138354886843,1.2499999999999998,1.4511344019213246,0.21,0.21,79,0,0.0,0.0,0.0,0.0,0.0,0.6878822738408644,0.9627222517069318,0.0,0.9627222517069316,1.979044694667556,0.3561963487868067,0.6839439347386361,0.8125,0.2151898734177215,0.4430379746835443,7.382890481566308,19.421774396960828,1.413486667809317,0.1800839016473812,0.29,0.29,71,0,0.0,0.0,0.0,0.0,0.0,0.8763321473804798,1.0522823993897743,0.0,1.0522823993897732,1.906768081967045,0.3043199688848066,0.5746870085768822,0.8125,0.2253521126760563,0.4225352112676056,7.905667484864213,81.03654183370892,1.4054493754875406,0.0786659086552171
none,0.0,0,0,8,1.2690509740049134,2.9107566531262496,1.3505859375,1.713962399461714,0.23,0.23,77,0,0.0,0.0,0.0,0.0,0.0,0.6941320968581881,0.6709229393767285,0.0,0.6709229393767285,2.0084492998620966,0.349083650276262,0.6731674815528095,0.71875,0.2467532467532467,0.3506493506493506,8.908314188721754,19.41949834081563,1.4095452618848432,0.1811174691270977,0.21,0.21,79,0,0.0,0.0,0.0,0.0,0.0,0.6686986572822239,0.9635703146124204,0.0,0.9635703146124196,1.901978860272882,0.2836207736652958,0.5385132492720724,0.8125,0.1392405063291139,0.4050632911392405,10.109270164183627,80.23276256056658,1.404310782303854,0.0808622757904582
none,0.0,0,0,9,0.833584970096284,1.4903016780205038,1.359375,1.133154568724636,0.19,0.19,81,0,0.0,0.0,0.0,0.0,0.0,0.6096759042786704,0.1366283823632263,0.0,0.1366283823632263,1.992597467184246,0.3521878230242978,0.6932681985199453,0.53125,0.3086419753086419,0.2962962962962963,9.166449771348416,19.35094502780354,1.4415648518882265,0.1847168694802006,0.13,0.13,87,0,0.0,0.0,0.0,0.0,0.0,0.6661211254890548,0.8367701352037886,0.0,0.8367701352037886,1.8604046861060768,0.2917308949662724,0.5450371333464639,0.78125,0.1724137931034483,0.3793103448275862,9.820885545714727,80.34881513497636,1.418890840642788,0.080538694014512
