arm,seed,block,task_lo,task_hi,n_task_ends,mean_log10_unfit,log10_mean_unfit,floor,floor_frac,eval_loss_exact,signal_var,residual_var,L1_strict_dead_frac,L1_submerged_frac,L1_alive,L1_n_invalid,L1_b_median_alive,L1_b_q25_alive,L1_b_q75_alive,L1_b_median_all,L1_b_maxabs,L1_wall_frac,L1_M_median_alive,L1_B_median_alive,L1_beta_median_alive,L1_kappa_median_alive,L1_sigma_median_alive,L1_margin_median_alive,L1_p_hat_median_alive,L1_p_hat_thin_frac,L1_p_hat_sat_frac,L1_eff_rank,L1_eff_rank_W,L1_w_norm_median,L1_wcos_mean,L2_strict_dead_frac,L2_submerged_frac,L2_alive,L2_n_invalid,L2_b_median_alive,L2_b_q25_alive,L2_b_q75_alive,L2_b_median_all,L2_b_maxabs,L2_wall_frac,L2_M_median_alive,L2_B_median_alive,L2_beta_median_alive,L2_kappa_median_alive,L2_sigma_median_alive,L2_margin_median_alive,L2_p_hat_median_alive,L2_p_hat_thin_frac,L2_p_hat_sat_frac,L2_eff_rank,L2_eff_rank_W,L2_w_norm_median,L2_wcos_mean,unfit
both,0,1,1,50,50,-2.7728579510874187,-2.7171510332502398,1e-23,0.0,0.0059695283825000325,2.02490234375,0.003569411838781018,0.0008,0.0008,99.92,0.0,-0.025004934835305876,-0.12561570910736916,0.09641096930950876,-0.02522456898732342,0.7405021506547927,0.16567494427556403,-0.00039496129628442786,-0.06783974588347934,-0.06685343565995276,2.0483236730110805,0.361800082395496,0.5974032489268575,0.4740625,0.10990909090909091,0.010408080808080809,16.99816482202755,19.30003586262395,1.5211296071431684,0.18529453875059404,0.001,0.001,99.9,0.0,-0.07584464263636614,-0.1393143814615905,-0.030406476242933387,-0.07597003702539946,0.4416109022498131,0.11406066358530369,0.005866080135451728,-0.20188724832452976,-0.20199840988785783,1.9874105265242266,0.36652306663782774,0.638759853523229,0.4075,0.10594545454545454,0.0,22.477857092021722,79.58423459623774,1.490743834057383,0.08317442018789775,0.00191800160718018
both,0,2,51,100,50,-2.650719062527382,-2.5759273310712505,1e-23,0.0,0.0047847853378941855,1.5198046875,0.003715259182518116,0.0014000000000000002,0.0014000000000000002,99.86,0.0,0.11149423552909862,-0.031145205677148624,0.323984000608325,0.1108411727682687,1.046329698562622,0.2064427836477118,-0.0006954417893962306,0.2546723392670381,0.25122896887831186,2.048787760138852,0.41169680554615296,0.6425079782557441,0.579375,0.04464242424242423,0.056466666666666665,14.011728722165692,19.011857649722053,1.7435690162597728,0.19243533225840326,0.0013999999999999998,0.0013999999999999998,99.86,0.0,-0.12444187559187408,-0.18346456691622734,-0.07601257327944036,-0.12460611559450623,0.5597407013177872,0.13109805682811596,0.007499184508233637,-0.24124334458801586,-0.2421793035848162,1.8991939270973228,0.5292076629791811,0.8543491520618776,0.4078125,0.08378251906823334,0.0,22.61969228770438,78.45406341513176,1.6306572456805242,0.0901145000018839,0.002655049784710632
both,0,3,101,150,50,-2.602792870947393,-2.537168654071093,1e-23,0.0,0.005135513735402359,1.41193359375,0.00419524147305958,0.0008,0.0008,99.92,0.0,0.23367029309272766,0.07233351639239112,0.44585819855332376,0.233305973559618,1.4430947804450989,0.22653118777890943,0.001526657399547846,0.41825860682611027,0.4222542539593595,2.0332980844365753,0.5243126080679903,0.7419267352414317,0.6471875,0.018818181818181817,0.04003636363636364,12.874499163556923,18.619115026873207,1.982177968741002,0.20287296357416687,0.0004,0.0004,99.96,0.0,-0.12921214841306206,-0.18077726662158966,-0.09124409634619948,-0.1292407780140638,0.5125984001159668,0.11259825370568433,0.0065653291726602446,-0.1956640428989652,-0.19622651379222283,1.7329348794890571,0.6831324318409747,1.0317320665060883,0.44625,0.026432323232323234,0.0,22.717714794053176,77.6882503249348,1.669962351365823,0.09968833109954091,0.0029028951242374003
both,0,4,151,200,50,-2.6075501376598065,-2.485965783820175,1e-23,0.0,0.00470394166176814,1.52810546875,0.004013157315829548,0.0,0.0,100.0,0.0,0.2780378073453903,0.13662881802767513,0.4501693703234196,0.2780378073453903,1.3416925442218781,0.2094816613135251,0.0033284902700344943,0.41424172253778074,0.4153520174509039,2.0410343201353798,0.6874538539892603,1.019753974126652,0.6490625,0.009000000000000001,0.03540000000000001,13.452174200401503,18.294362154192562,2.2207896689105437,0.2175687848938885,0.0,0.0,100.0,0.0,-0.14243847504258153,-0.18052287138998505,-0.11006691623479124,-0.14243847504258153,0.38526123464107515,0.11208100764353984,-0.0025101022151474144,-0.18667041262612574,-0.19329710606937017,1.7230734300204296,0.7847651256020062,1.1795548702175669,0.453125,0.014199999999999999,0.0,23.754677112136598,77.93993686842006,1.6459998606539967,0.09457000865726607,0.0032661356362569307
both,0,5,201,250,50,-2.6651498071077384,-2.5854978307239174,1e-23,0.0,0.004904793662619242,1.62572265625,0.0038974661486564422,0.0002,0.0002,99.98,0.0,0.197670781314373,0.08778303336352106,0.3156890416145325,0.19758246362209317,0.9064614129066467,0.13221103095629855,0.001342877971964376,0.2554214375722873,0.25824985209619195,2.0540151675995597,0.7589035261137181,1.3151253987289966,0.591875,0.0076,0.02540606060606061,14.747498319909333,18.218431517504946,2.3753509209455133,0.2226451587610874,0.0,0.0,100.0,0.0,-0.13049709051847455,-0.1667610655725002,-0.10058481745421882,-0.13049709051847455,0.3420326671004295,0.10319173615364187,-0.0028873958349480483,-0.18137875494767258,-0.18820639574612558,1.8349169287102296,0.7301318949363546,1.1983937301103935,0.4371875,0.012200000000000003,0.0,24.40726103764125,78.47825750169274,1.6339546377323868,0.08891456353842273,0.002597180714138642
both,0,6,251,300,50,-2.8074814546498943,-2.7437641540292796,1e-23,0.0,0.004594492251379544,2.12875,0.0035388480654056863,0.0012,0.0012,99.88,0.0,0.1495076901465654,0.06633826886303719,0.24433238193392753,0.1492612964659929,0.5980750423669815,0.09415573812132046,1.5573452266409715e-05,0.17583967400686068,0.18311624931884388,2.0430514456029796,0.8328706326671287,1.4726251469075213,0.555625,0.0026,0.02382424242424243,15.198871690976484,18.169603770692827,2.5304808845895006,0.22878361280725304,0.0,0.0,100.0,0.0,-0.11110245727002617,-0.14497989214956758,-0.0847528766095638,-0.11110245727002617,0.27770947545766833,0.08611403333902717,0.0017328650873208924,-0.15971689666817895,-0.16146201342870356,1.879550242642799,0.7197204154666105,1.2286959128290997,0.4396875,0.009000000000000001,0.0,24.440037304117926,78.56438116059641,1.623090324285195,0.08926218955918368,0.0018039971453210303
both,0,7,301,350,50,-2.678990819487588,-2.5528122552427615,1e-23,0.0,0.004001647831060784,1.35666015625,0.0033604845334300457,0.0,0.0,100.0,0.0,0.11600411549210544,0.03879576507955785,0.19521026585251092,0.11600411549210544,0.5183616369962692,0.07437298617774568,0.0007172469823769939,0.13511173795343823,0.13612391882718927,2.052306621052634,0.9374712666064836,1.6457519812046666,0.5365625,0.004,0.0166,15.44602554312509,18.166228878409857,2.679629535996414,0.2327572548439035,0.0,0.0,100.0,0.0,-0.10010697975754734,-0.13001713462173936,-0.07685651995241638,-0.10010697975754734,0.24966936618089675,0.08069597148964222,0.003457169522920932,-0.15123256434096974,-0.15269211691541837,1.9349914148421485,0.6734762486944791,1.2028617072936347,0.43375,0.0098,0.0,25.01657322893026,78.61869672521784,1.610292342596057,0.08942934528729142,0.002800191576019676
both,0,8,351,400,50,-2.674756780366235,-2.62791997070903,1e-23,0.0,0.0044893245060134875,1.618125,0.0038184264727260143,0.0004,0.0004,99.96,0.0,0.12013109587132927,0.04002380657009776,0.20606427699327468,0.12008166074752805,0.5804013937711716,0.07159690584293509,0.0016084542229108034,0.12400063626357755,0.12837675521754252,2.0593708301680347,0.9929403189040167,1.7481815826706588,0.530625,0.0048000000000000004,0.01920808080808081,15.414638721037141,18.14017884912859,2.812507002802749,0.2389845122593319,0.0,0.0,100.0,0.0,-0.11384705491363999,-0.15000771321356293,-0.08620682058855887,-0.11384705491363999,0.28606612741947174,0.09096396897952318,-0.00034076505278791367,-0.1689198186815187,-0.17440273241866955,1.939372048217037,0.6847009857454012,1.1998821988628159,0.43125,0.013400000000000002,0.0,24.94737342287816,78.24881830497381,1.6212649707150402,0.09081467493116181,0.002355483298829804
both,0,9,401,450,50,-2.7254434218623436,-2.6056267129445208,1e-23,0.0,0.00571401910606569,1.84978515625,0.004938551855123304,0.0,0.0,100.0,0.0,0.1001621417701244,0.02569051625017888,0.17366464462131262,0.1001621417701244,0.5241963124275207,0.05929230572247809,0.0006050265276103318,0.09585850286372395,0.09888023779889556,2.0678080291914243,1.0555289360999296,1.871290113615105,0.51375,0.003,0.016800000000000002,15.578884710860423,18.138513344849713,2.9506598067575656,0.24301083842192156,0.0,0.0,100.0,0.0,-0.10118403717875477,-0.13013123113662,-0.07851284760981794,-0.10118403717875477,0.27770735502243044,0.07926378535700775,-0.000356314978864046,-0.1535538334744176,-0.15706846222782508,1.9801724691681915,0.6849802821254061,1.2539445876726942,0.428125,0.012600000000000002,0.0,25.170163904181635,77.80059442487698,1.6290505765668377,0.09325522082106165,0.002479552379747658
both,0,10,451,500,50,-2.789625354513142,-2.7186239158537053,1e-23,0.0,0.0034632628780294533,1.5343359375,0.0028775313763820458,0.0,0.0,100.0,0.0,0.08086451072245833,0.004818813286547078,0.14808124270290132,0.08086451072245833,0.6046271824836731,0.05079532354320127,-0.0005176994999773041,0.07385657212825264,0.07381340988864483,2.0880481992250783,1.0673314757454586,2.0139019871409984,0.5028125,0.0,0.0172,15.87921450512102,18.20267940508795,2.9992642047874245,0.24018188325706422,0.0,0.0,100.0,0.0,-0.09742074154317376,-0.12426811933517452,-0.07510206136852499,-0.09742074154317376,0.22676725685596466,0.07654951246126966,-9.157427101650625e-05,-0.14930265375568044,-0.1545177662361542,2.0464660235785432,0.6751131923738172,1.260506696242368,0.423125,0.0164,0.0,25.42266072072742,77.33823703611134,1.64435943153625,0.09766948956666749,0.001911507842376772
