arm,seed,excluded,detected_step,detected_task,nonfinite_tensors,arm_status
none,0,0,,,,COMPLETE
none,1,0,,,,COMPLETE
none,2,0,,,,COMPLETE
none,3,0,,,,COMPLETE
none,4,0,,,,COMPLETE
none,5,0,,,,COMPLETE
none,6,0,,,,COMPLETE
none,7,0,,,,COMPLETE
none,8,0,,,,COMPLETE
none,9,0,,,,COMPLETE
bwd,0,0,,,,COMPLETE
bwd,1,0,,,,COMPLETE
bwd,2,0,,,,COMPLETE
bwd,3,0,,,,COMPLETE
bwd,4,0,,,,COMPLETE
bwd,5,0,,,,COMPLETE
bwd,6,0,,,,COMPLETE
bwd,7,0,,,,COMPLETE
bwd,8,0,,,,COMPLETE
bwd,9,0,,,,COMPLETE
cen,0,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,1,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,2,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,3,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,4,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,5,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,6,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,7,1,3271000,328,net.Ws.1;net.Ws.2;net.bs.1;net.bs.2;net.v;net.c;running_mean.layer2,COMPLETE_WITH_EXCLUSIONS
cen,8,0,,,,COMPLETE_WITH_EXCLUSIONS
cen,9,0,,,,COMPLETE_WITH_EXCLUSIONS
both,0,0,,,,COMPLETE
both,1,0,,,,COMPLETE
both,2,0,,,,COMPLETE
both,3,0,,,,COMPLETE
both,4,0,,,,COMPLETE
both,5,0,,,,COMPLETE
both,6,0,,,,COMPLETE
both,7,0,,,,COMPLETE
both,8,0,,,,COMPLETE
both,9,0,,,,COMPLETE
