arm,seed,step,L1_strict_dead_frac,L1_submerged_frac,L1_M_median_alive,L1_B_median_alive,L1_sigma_median_alive,L2_strict_dead_frac,L2_submerged_frac,L2_M_median_alive,L2_B_median_alive,L2_sigma_median_alive,task_boundary,side
both,0,10000,0.01,0.01,0.1503293390060496,0.008363591810811,0.3660108952595948,0.0,0.0,-0.0625292416026497,-0.015596040071458,0.3272254540870208,1,post
both,0,10000,0.0,0.0,0.0106603496205048,0.0087583952311073,0.3654349465238192,0.0,0.0,-0.0010112511743953,-0.0156447807444315,0.3013141466750837,1,pre
both,0,20000,0.0,0.0,-0.1089270907314513,-0.0261864072709889,0.36657287442824,0.02,0.02,0.1423301709728497,-0.046661097257247,0.3092618825186959,2,post
both,0,20000,0.0,0.0,-0.0328267697342308,-0.0261864072709889,0.3665728744282401,0.0,0.0,-0.0039198162643081,-0.0441436598197211,0.3244240724180666,2,pre
both,0,30000,0.02,0.02,0.065656473644062,-0.0648342065888648,0.3697152035228268,0.02,0.02,0.0187619504453612,-0.0321579068641247,0.3150357445170488,3,post
both,0,30000,0.0,0.0,-0.0258732820577526,-0.0689072576571006,0.3695310172054376,0.0,0.0,-0.0039421719582497,-0.035647075594975,0.2940955365713791,3,pre
both,0,40000,0.03,0.03,-0.035314385038562,0.0029782280885515,0.365149741230559,0.02,0.02,0.1031837090384489,-0.0698458992839573,0.3075720733266912,4,post
both,0,40000,0.0,0.0,-0.0018039683049278,-0.0077867375446579,0.3648800853278818,0.0,0.0,0.0138763328679819,-0.0758641670253013,0.3048576068414043,4,pre
both,0,50000,0.07,0.07,0.0622359054820434,-0.1315092961116927,0.3805319205439906,0.01,0.01,0.0926815675217681,-0.0550483600256637,0.2931183242065515,5,post
both,0,50000,0.0,0.0,0.0057025743576069,-0.1398638147876895,0.3763352784442106,0.0,0.0,-0.0093945790680691,-0.0522614287960832,0.2895478069580506,5,pre
both,0,60000,0.03,0.03,0.1450160736043646,-0.1309764863157804,0.366725488107862,0.0,0.0,-0.1877053685610779,-0.1123756486515049,0.3063449852048943,6,post
both,0,60000,0.0,0.0,0.0006218496201207,-0.1460356056902574,0.3650448468990033,0.0,0.0,-0.0015165542863754,-0.1149957863517242,0.3040266469771411,6,pre
both,0,70000,0.05,0.05,0.1729066513868258,-0.1589671725064481,0.3644363253714009,0.05,0.05,0.0078224087051051,-0.0678893834846104,0.311366793188765,7,post
both,0,70000,0.0,0.0,-0.0011785587644981,-0.1659045806892418,0.3615428038979437,0.0,0.0,-0.0129210471710629,-0.0741295868944843,0.2892782672000117,7,pre
both,0,80000,0.02,0.02,0.0611713108254573,-0.1608810522264103,0.3652385922005578,0.07,0.07,-0.0301727904959195,-0.1259868289697889,0.3203107542167457,8,post
both,0,80000,0.0,0.0,0.0244492645433526,-0.1608810522264103,0.3616901236290993,0.0,0.0,-0.0190742418115459,-0.1423767611828042,0.3068463901132341,8,pre
