arm,seed,t,W_S,D_S,c_S,sigma,n1,hit999
LL_e8,0,2,177.5424043708367,238.44764272712882,-0.2762429431396602,24.414266483096448,3101.157858966367,
LL_e8,0,3,254.93005404849475,237.71949346062829,-0.32660197779785305,28.0630634645911,4502.278869041351,
LL_e8,0,4,286.2071387260433,258.19558951831925,-0.28166750928547607,31.45047877405269,6066.246717264279,
LL_e8,0,5,327.0328480826718,263.60368974803623,-0.32467064875903623,33.583262830536256,7543.348885480107,
LL_e8,0,6,347.0728760024126,280.165372394755,-0.23272031164940624,38.160300884438996,9093.955360266964,
LL_e8,0,7,392.03800094185715,293.5186318736848,-0.2710472873718965,40.41961332527504,10784.753502213436,
LL_e8,0,8,421.26940384799394,299.20554640941646,-0.24377863821924156,44.368051252724534,12488.26694458094,
LL_e8,0,9,453.3620582289488,306.0179853316648,-0.26504403559425765,44.61230196895829,14214.858411210182,
LL_e8,0,10,475.01722527446026,332.1008146422128,-0.27056195110177966,49.03483120368105,15961.360537075401,
LL_e8,0,11,500.5677453908954,331.6150501692011,-0.33512449268466554,48.693597561586046,17593.038974547217,
LL_e8,0,12,499.27757213676244,328.93253791028116,-0.30856667762961737,48.825629849458124,19275.6699951951,
LL_e8,0,13,506.08668977326903,327.26351339219053,-0.25037877202711045,51.56997402011101,20985.389767762143,
LL_e8,0,14,529.422159925316,340.65385599937935,-0.22954553277326847,54.01992711222311,22942.037345349534,
LL_e8,0,15,559.9427979513687,350.24732949392984,-0.2396053914602574,55.777936829500405,24694.633091385746,
LL_e8,0,16,585.0017465001382,328.3766805641433,-0.2617232563386438,57.67548960506041,26212.922315151445,
LL_e8,0,17,591.1884005945582,349.63595693435764,-0.2420473633995456,59.476372316634766,27701.659172580527,
LL_e8,0,18,609.6608054899998,367.05118588535913,-0.30846017805326353,58.31966625603759,29304.827226324855,
LL_e8,0,19,606.927059873143,339.8990931979328,-0.19455483449285504,61.95942321103485,31045.259156494823,
LL_e8,0,20,635.3116370167346,363.9559472057402,-0.2564487692057932,63.77343927545025,32578.916466708375,
LL_e8,1,2,166.49933779348865,236.81995905879242,-0.27146600951606,24.046393526837278,2822.933342265674,
LL_e8,1,3,249.79534438315864,249.6060651583602,-0.31248580249504876,28.310572082955055,4368.875074599287,
LL_e8,1,4,292.80309365088584,264.4477881088293,-0.30804739728104874,31.88584829651083,5900.744585768271,
LL_e8,1,5,328.57475233066594,282.33455965476014,-0.29102088918567265,35.67012271606359,7526.541286707425,
LL_e8,1,6,365.6218197602284,279.6686843977763,-0.29528135739944905,37.50786471554919,9119.133379464094,
LL_e8,1,7,389.2391226454016,296.15484651734437,-0.27099712562381945,40.605386341632325,10660.495208331475,
LL_e8,1,8,420.4002519958003,297.85868146170486,-0.25485100200953376,43.04441666278555,12333.720071566087,
LL_e8,1,9,449.03379605146614,318.5688535007955,-0.2573203753602148,46.07073855399847,14120.31357148881,
LL_e8,1,10,479.06058161144955,319.225072910925,-0.293206940497555,46.881630033250616,15717.65215348062,
LL_e8,1,11,491.6548571970694,304.4089106481746,-0.2042278998079611,49.88305493098062,17556.000097809236,
LL_e8,1,12,522.7409548578003,328.09931373413133,-0.2646953225528771,51.62680739130388,19310.477562949643,
LL_e8,1,13,538.6195075032992,340.0566068125874,-0.22022698842613803,54.812009560829985,21123.85077320193,
LL_e8,1,14,570.153860877117,341.225435355092,-0.2438027301385126,55.37027485037373,22782.849818211092,
LL_e8,1,15,588.7665863463528,368.1179908854362,-0.2885971049182465,57.34397664543873,24443.755255159187,
LL_e8,1,16,597.5436642517816,367.2962049013271,-0.23790296879824477,59.347671374560306,26108.816983445075,
LL_e8,1,17,622.5248406139938,363.2065159928559,-0.25195476847949855,60.94479288559299,27696.397836030133,
LL_e8,1,18,636.804243893687,356.16666581555126,-0.2686411316109313,61.91474434820097,29243.070133955353,
LL_e8,1,19,640.713808649786,357.39496747816685,-0.2364463354916817,62.46092471301242,30788.767445272806,
LL_e8,1,20,655.7123241693079,357.4170346824692,-0.23445004836579003,63.45030556832208,32539.100164997883,
LL_e8,2,2,179.18670061344156,231.23192010071767,-0.27896363269368174,24.589700853058716,3122.4902073245294,
LL_e8,2,3,249.91817075365017,238.3162894046094,-0.2539773582013503,29.312551555530337,4647.073936448478,
LL_e8,2,4,298.3289808530115,249.19049922532915,-0.25654828978577093,33.1097521801488,6212.974186650518,
LL_e8,2,5,336.08347529683203,271.1242637287697,-0.28699425364034176,35.71976312785263,7770.733807902627,
LL_e8,2,6,366.27641898010177,276.5307651949319,-0.23212564009092557,38.65528016610943,9451.04213590001,
LL_e8,2,7,404.48139610661343,288.25735551100894,-0.2290199697451661,41.58756848439923,11130.840773640084,
LL_e8,2,8,439.6503795626789,317.13718885851387,-0.24882758203236668,45.65512405871498,12920.824342677079,
LL_e8,2,9,473.79388909849376,319.65180001879077,-0.3022409369910376,46.49216927557276,14626.04135359347,
LL_e8,2,10,484.8811248803544,299.3500348123587,-0.2520805876587014,47.31707434627034,16258.574572685993,
LL_e8,2,11,501.5391974802518,328.0637618828805,-0.2068394717674632,49.9948231213225,18126.92241395075,
LL_e8,2,12,539.5386677893816,303.584331613069,-0.22837260329999204,53.49884095837349,19895.487760603668,
LL_e8,2,13,555.3851073090159,345.11946857176105,-0.2675421019252827,55.648101691253544,21596.422975409216,
LL_e8,2,14,570.0861525238762,341.38420310363296,-0.2513050919139631,55.82975385177858,23220.29835527605,
LL_e8,2,15,586.2799691018231,351.9988524417097,-0.22319671727398652,58.40059436760802,24823.540358731647,
LL_e8,2,16,612.7848206398451,344.0333589024027,-0.26369465206225867,58.46858356578427,26647.850920993777,
LL_e8,2,17,618.6120016260137,369.4801831370934,-0.24633278181327348,61.477074131693016,28198.91539781208,
LL_e8,2,18,637.6443922741298,352.43285871185026,-0.22302113514667926,62.26037810852364,29781.790470305292,
LL_e8,2,19,656.1719460388201,348.76770860712253,-0.25075623101490646,64.10087542038437,31429.00292932575,
LL_e8,2,20,661.3838635504501,349.4020772176203,-0.21140743773582069,65.03211994496417,33196.75946514602,
LL_e8,3,2,176.29230098398307,234.79010061659412,-0.22539634233508826,25.391359275355757,3200.688311572444,
LL_e8,3,3,259.89670446019466,241.2401558155725,-0.291750393527405,29.001832934904748,4850.431739908375,
LL_e8,3,4,298.5951383349464,256.7995007212741,-0.2760928672845277,32.81143718562278,6291.316351541891,
LL_e8,3,5,335.8034317030222,285.7427261551587,-0.2928663230124884,36.42553368339289,7786.423947536878,
LL_e8,3,6,371.7658112709477,287.01482788373625,-0.27857272403727923,38.75413506077395,9404.514336285509,
LL_e8,3,7,401.4207629462548,293.9609423018914,-0.2971153623657699,40.56818382020553,11176.868756097225,
LL_e8,3,8,421.2258720104174,296.13739430825467,-0.24488846971939715,44.23923668077963,12838.550251139917,
LL_e8,3,9,451.7006282281092,327.24944370255895,-0.25934809320079477,46.3761055803364,14720.88023640025,
LL_e8,3,10,484.20307603301865,314.39630433964766,-0.25237950369390766,48.928230338997444,16460.499681472596,
LL_e8,3,11,506.4161871538986,320.7491970671208,-0.2193447752709721,51.30382372582517,18218.999406586543,
LL_e8,3,12,536.7307743582434,334.3245284584688,-0.2964494359361878,52.3201861787017,19907.41933023352,
LL_e8,3,13,541.721052891338,321.3774606817123,-0.2419074802699414,53.621073509981045,21580.307555982123,
LL_e8,3,14,559.0299356716384,339.14079223632837,-0.24643210493280446,55.554526322894944,23419.120023902367,
LL_e8,3,15,578.0042315768696,338.3819823487544,-0.22567703301484246,56.57549272468431,25073.16622571915,
LL_e8,3,16,600.2604627048731,362.1595951499838,-0.21152844385148367,58.88103446808637,26953.55237041666,
LL_e8,3,17,632.0631473029382,349.49926453438957,-0.2407926191687811,61.12255147867605,28573.39610514079,
LL_e8,3,18,644.4134384042227,355.36389387487515,-0.2619277837813106,63.52762857481693,30018.81185701483,
LL_e8,3,19,649.2985346196949,368.4494888953639,-0.27602974651730755,62.369251486409496,31643.35642650676,
LL_e8,3,20,652.129105690652,349.8824222390241,-0.24969245057291067,64.632519557291,33070.88734128732,
LL_e8,4,2,166.38183640391318,224.8857798977667,-0.24725529678473165,23.37779982059822,3175.353002097603,
LL_e8,4,3,244.44523228364423,238.4213164151755,-0.3452359573201384,26.877339738849486,4606.895798652733,
LL_e8,4,4,276.3274032047181,250.7016137821374,-0.2949355246844372,30.522951459358396,6050.811058415199,
LL_e8,4,5,313.5990876472311,272.580293942166,-0.32484435498859326,33.47910185432326,7735.332633171854,
LL_e8,4,6,342.2110581363744,273.0319479610444,-0.254377416053801,37.01636853443715,9320.444712709766,
LL_e8,4,7,379.6308380461501,300.24138628000065,-0.2844182243437907,38.89092897530162,11007.655578488098,
LL_e8,4,8,411.61630077411826,292.5047072435467,-0.27668445753201665,41.56778025404218,12643.80690547672,
LL_e8,4,9,434.00636906135543,316.7693156575388,-0.3081796602561597,44.214948461246294,14335.198930414597,
LL_e8,4,10,451.62740136116014,302.11256779280336,-0.2509054151464771,46.46134875154514,15914.372588387596,
LL_e8,4,11,476.2048744478784,303.7046353682073,-0.252945963317657,47.387185833126296,17473.598452819904,
LL_e8,4,12,495.82522175294815,319.45201880895036,-0.2720229543594519,48.33174187383671,19094.92339085954,
LL_e8,4,13,511.585303765861,327.44119722655364,-0.3203054752137981,49.8655003630015,20678.047126374622,
LL_e8,4,14,511.4937840028758,329.9388714045804,-0.24175562440561393,51.70395101325376,22304.3658466186,
LL_e8,4,15,537.4824447430129,324.38049296047546,-0.2804843003901207,52.084753108747954,24111.04415152932,
LL_e8,4,16,544.3398467888229,321.08184639587705,-0.22874211035425834,53.34212111828735,25758.49893147371,
LL_e8,4,17,565.1914782161654,335.7546128087979,-0.23640775485575408,55.58860023033202,27366.642314386576,
LL_e8,4,18,585.1909316315645,330.9031284574267,-0.24722982394671683,56.916391028177635,28905.775022764858,
LL_e8,4,19,596.8227492512314,346.7402701608311,-0.21028622777462697,58.40377065877071,30590.707742766463,
LL_e8,4,20,624.0127414176167,342.92353236686426,-0.24429884139897315,60.77653625131391,32188.034650482805,
LL_e8,5,2,162.2779551002989,232.15976693459893,-0.24964297479229813,24.060561568065893,2930.7333492825537,
LL_e8,5,3,247.83459687261958,241.61724649760612,-0.3263730786063932,27.440358059906437,4416.0838593851195,
LL_e8,5,4,284.1015925473855,268.499058532436,-0.28568588522608646,32.91377411791936,6108.91060146794,
LL_e8,5,5,330.4854664170341,261.13427142977184,-0.29203058740545296,34.356746025505274,7710.595249408064,
LL_e8,5,6,356.37990990653765,282.1145875721555,-0.23494437618903233,38.72209204984131,9295.754028760359,
LL_e8,5,7,399.19002871645256,287.6392446417021,-0.2285509139891556,41.81081328762595,10955.38278587961,
LL_e8,5,8,435.43465599707974,311.50282951297487,-0.2754856811228938,44.44331606871023,12515.094797536807,
LL_e8,5,9,460.33040051072163,319.5598392847159,-0.3152796148728072,45.34366678691096,14197.006861763513,
LL_e8,5,10,470.38850489432815,309.88236334213434,-0.24610785070824823,47.83401167796009,15879.773012315594,
LL_e8,5,11,495.52452303413946,329.1219802990902,-0.2495977783288052,50.60363152613779,17572.5404118219,
LL_e8,5,12,521.9703245933159,333.06800515801274,-0.3047173840158146,50.539013749295435,19198.03869973465,
LL_e8,5,13,526.722030392105,325.75650987075716,-0.24814839517709922,52.28467425732519,20753.971172069163,
LL_e8,5,14,546.2574889010027,326.1175730209437,-0.25518134463992614,53.783591658135336,22378.713631778515,
LL_e8,5,15,560.2069079423501,339.5905665676828,-0.24595911891057815,55.63176985056013,23984.01486560351,
LL_e8,5,16,579.2844934431544,339.93118514356087,-0.25560334413385594,55.53228508550434,25597.14701988769,
LL_e8,5,17,591.9953689575608,345.5939499663246,-0.23198204550203955,58.23643618364572,27371.44787023392,
LL_e8,5,18,612.3489800986442,358.98457715816807,-0.22156726233074228,59.91794678046628,29035.35472729729,
LL_e8,5,19,637.5183662869947,380.5846807515376,-0.3252235059631364,59.75727177078856,30663.95126106192,
LL_e8,5,20,627.2611797779762,354.4484403367078,-0.23700117884522193,60.10655197239407,32295.093505232897,
LL_e8,6,2,171.04466647087395,226.92845826879108,-0.29949764160749875,23.38701140096033,2808.9194578328356,
LL_e8,6,3,239.7975387905161,241.1730534850693,-0.33040109887221564,26.982606011054514,4317.2318715874535,
LL_e8,6,4,278.30077794392037,242.09626363308092,-0.283440978621064,30.433229077442085,5853.6309065385,
LL_e8,6,5,312.8384951620551,281.7822320454549,-0.2706570597912293,34.86545974762221,7353.906327984128,
LL_e8,6,6,359.93200712594756,283.33477345969953,-0.3057391436514606,37.64612800292247,8996.650471096556,
LL_e8,6,7,384.0186470156591,305.1045396412757,-0.2945546032332783,39.827024775475394,10679.994707438715,
LL_e8,6,8,414.1686018394932,313.3835308026616,-0.27217564557748286,42.658699290481636,12271.893610952675,
LL_e8,6,9,446.19675498023173,309.3249946889373,-0.24126433144500514,45.88434365589127,14041.916324444937,
LL_e8,6,10,477.67665074869115,318.90592047676034,-0.2867841934575654,47.12502043616969,15702.302405034883,
LL_e8,6,11,492.44497419394264,356.75417819351446,-0.3134049795743633,49.983255171099024,17431.322776011206,
LL_e8,6,12,509.5650037886922,339.1117561727004,-0.285452932068147,50.799227002508204,19148.098186015763,
LL_e8,6,13,525.3580092795795,329.00198178080365,-0.26468579576348683,52.338833596220226,20775.8074541875,
LL_e8,6,14,541.05889750578,341.1595338365752,-0.2499480825780011,53.75800829942119,22546.62261195967,
LL_e8,6,15,562.903210220168,348.7322802543014,-0.25404177483038476,54.673545517403895,24213.29762820202,
LL_e8,6,16,582.010434757662,347.07147389497294,-0.25906851207854253,56.80961034749589,25834.131650013525,
