arm,seed,task,cap_on,med_K_l1,med_K_l2,med_U_l1,med_U_l2,med_b1,med_b2,med_d_l1,med_d_l2,med_gate_mean_l1,med_gate_mean_l2,med_gate_rms_l1,med_gate_rms_l2,med_lowgate_l1,med_lowgate_l2,med_pplus_l1,med_pplus_l2,med_q_l1,med_q_l2,med_row_mean_l1,med_row_mean_l2,med_row_norm_l1,med_row_norm_l2,med_sigma_l1,med_sigma_l2,med_v_norm_l1,med_v_norm_l2,med_wt_norm_l1,med_wt_norm_l2,med_zbar_l1,med_zbar_l2,memo_acc,online_acc,rem_par,rem_perp,rows_par,rows_perp
cap_perp,5,1,0,3.119914665711576,3.4091439379626474,3.6926695108413696,8.555464744567871,0.0070972812827676535,0.036960702389478683,0.027947644040399813,0.19292272489148418,0.7586572208534925,0.6156250006364037,0.8198410453165351,0.7597273574161401,0.00875,0.0,0.5308333333333333,0.5729166666666666,0.004079633682975495,0.11468190759400675,0.0021943664073283305,0.004588291954132728,3.380089641425016,1.7397637872232377,1.1928305715862866,2.293007095654073,3.380082452795314,1.7279436449498393,3.373840308258587,1.731495224093786,0.03810708578055104,0.4442581153216694,1.0,0.8273229166666667,0.0,0.0,0,0
cap_perp,5,2,1,3.0485282283372515,3.4180821140403213,3.563935875892639,6.474420547485352,0.016512786503881216,0.014153286814689636,-0.551378138559302,-0.27001849227068153,0.5219402663477619,0.45662500089965763,0.6514384843000733,0.634242624404443,0.08208333333333334,0.0,0.29166666666666663,0.39625,-0.15665824198229414,-0.1283374457003751,-0.0013189809122900907,-0.0001921674839104526,3.39157180431659,2.135980564910308,1.4704898460942877,2.031053079955224,3.3800827314994324,2.129900566589848,3.3837680319848245,2.115511974990078,-0.8629483169410378,-0.5371132852075,0.9975000023841858,0.7904479166666667,0.0,159.61095929145813,0,508964
cap_perp,5,3,1,3.0055959345090013,3.5129598138289198,3.4272289276123047,5.900277614593506,0.042239440605044365,-0.007169623393565416,-0.7928501662467189,-0.4043378436259034,0.4343109801084696,0.4067500009822349,0.5728313082327159,0.5893678476650904,0.15,0.0,0.20708333333333334,0.3408333333333333,-0.22406253881032262,-0.1688164462745031,-0.004454394891528251,0.0030276557628531008,3.392516952575371,2.4199377826276125,1.560695078319105,1.8456490982742353,3.3800826696439836,2.389679080269862,3.383258472434666,2.415116203698658,-1.2820635401046214,-0.8812593863314638,0.9950000047683716,0.8188854166666667,0.0,143.6848955154419,0,470179
cap_perp,5,4,1,3.0702034667745774,3.616782932023277,3.613916754722595,5.961870908737183,0.03264287859201431,-0.008188111474737525,-0.8053556631153845,-0.4067323447817829,0.4183624851567811,0.3970000009983778,0.5571211759500938,0.5802581277624208,0.1695833333333333,0.0,0.20708333333333334,0.32999999999999996,-0.24840969145361586,-0.1413764150935507,-0.003278289359068553,-0.0005831014312570915,3.3909859993733917,2.6631091965719778,1.6603964987309339,1.9376382259360545,3.3800826298568443,2.6481366856643844,3.375623229987892,2.649872858823082,-1.4054154774453491,-0.7764865287133338,0.9983333349227905,0.8200104166666666,0.0,129.8207550048828,0,432656
cap_perp,5,5,1,3.1246899420044176,3.44001273405995,3.4024258852005005,5.51070237159729,0.026803727261722088,-0.022977564483880997,-0.9431791387702688,-0.4887258206305601,0.3714167287286061,0.3737500010368725,0.5162779302302374,0.5577813890513148,0.19958333333333333,0.0,0.17666666666666667,0.3041666666666667,-0.2903369621230244,-0.14101226261146227,-0.005451817183440226,-0.00025462246732786296,3.39445603796839,2.808533906998721,1.6868195481751362,1.7906633467072925,3.3800825840015882,2.7676907684195378,3.374621851546559,2.7749691380506,-1.600251933215186,-0.9447972735731551,1.0,0.8212708333333333,0.0,113.23373937606812,0,459199
cap_perp,5,6,1,3.017044461760582,3.5240897373197617,3.3645836114883423,5.907622814178467,0.05113493837416172,-0.01155912084504962,-0.928990515235051,-0.4059524088597135,0.38337861053061106,0.4048750009853393,0.5307184036144295,0.5875747536322173,0.19625,0.0,0.17958333333333334,0.33875,-0.27642759356252034,-0.11875281679564467,-0.00537991042161171,-0.004743503462232184,3.3879695469778506,2.9318961006595066,1.6705561360033654,1.7651892269677276,3.3800493657996933,2.9198452203111875,3.3820468984438836,2.909724886042664,-1.5437968272001794,-0.682910479819208,0.9991666674613953,0.83684375,0.0,128.57962465286255,0,448420
cap_perp,5,7,1,3.0679090254839148,3.6089485530471674,3.4349992275238037,5.960977554321289,0.06480974704027176,-0.01810683123767376,-0.9949499731231688,-0.45468320762319736,0.3553355781778858,0.3910000010083119,0.5044527005803698,0.574539259683175,0.21,0.0,0.16041666666666665,0.32333333333333336,-0.2840038728261699,-0.13759167043247855,-0.005337033775093432,-0.00513314729789272,3.3949116964637476,3.0844737088501284,1.6654174592760924,1.83499308853202,3.380075073187412,3.0595439805859574,3.378327787340797,3.0687407667507776,-1.6364430541560675,-0.8149375157498677,1.0,0.8402291666666667,0.0,114.18666696548462,0,444520
cap_perp,5,8,1,3.097900343411906,3.600188900824553,3.070217490196228,5.488277435302734,0.06515944749116898,-0.038417741656303406,-1.0943381576228255,-0.6441349091854331,0.31876780057928655,0.32837500111199913,0.460361345844217,0.5110434692059949,0.24041666666666667,0.0,0.12375,0.25375,-0.3218225652803436,-0.17651748839967218,-0.007278375790934656,-0.004921195622882806,3.397861606116776,3.2033821293642175,1.6660225895153409,1.8117081677305467,3.3800826215610353,3.171990725547226,3.3813331776492284,3.1863159947708355,-1.8226413438267386,-1.1646520984192223,0.9991666674613953,0.82690625,0.0,140.60147428512573,0,413137
cap_perp,5,9,1,3.027712898918752,3.787127368676375,3.114599347114563,5.6691975593566895,0.06853726878762245,-0.04146094061434269,-1.1835966380457865,-0.7580013216734597,0.2734818322099818,0.2908750011740873,0.4275206496721107,0.46900139322000756,0.28208333333333335,0.0,0.10708333333333334,0.21208333333333335,-0.3699333535293633,-0.1938447845355914,-0.008033203636847083,-0.00137130091432482,3.3965916072352664,3.271487744988579,1.6880486813206006,1.7119782936622032,3.380042664382294,3.249341710826654,3.3781299700915914,3.2523249808459047,-2.1050571949159105,-1.3810226972121744,1.0,0.8259270833333333,0.0,123.7539074420929,0,409413
cap_perp,5,10,1,2.9893342183199176,3.6624530707113996,3.2041529417037964,6.10291862487793,0.09033050760626793,-0.046970855444669724,-1.1104836766305797,-0.49096885090708986,0.32628062583900524,0.3737500010368725,0.46428190335178476,0.5577367658237534,0.24916666666666668,0.0,0.12041666666666667,0.3041666666666667,-0.3456581524933341,-0.14533757815608256,-0.008971625783939537,-0.004158804858452641,3.4109005612023253,3.3778108547646246,1.6684218019116885,1.8393087255046434,3.380079401458657,3.3414216142158693,3.384748305136029,3.367226515030282,-1.9011828973516822,-0.8429972889057049,1.0,0.82809375,0.0,113.59843802452087,0,415272
cap_perp,5,11,1,3.120342470955051,3.6536351164524214,3.3128271102905273,6.208842754364014,0.1120748370885849,-0.05667175352573395,-1.0459764385160109,-0.5491098084384595,0.34576494579647266,0.35725000106419125,0.4853928182071208,0.5412711145295653,0.2125,0.0,0.14166666666666666,0.28583333333333333,-0.3142394698569193,-0.17510012133023492,-0.007094396832313275,-0.006502471208805219,3.398352955501405,3.470171605565496,1.661158937894425,1.974237008836464,3.3800827339851285,3.4562678959093,3.381444225988125,3.455305810969908,-1.697947028602163,-1.0565691100774954,0.9991666674613953,0.8239791666666667,0.0,127.7493724822998,0,433605
cap_perp,5,12,1,3.0483037827936106,3.541040235674008,3.154109835624695,5.897831201553345,0.11653010919690132,-0.0677400715649128,-1.1007753338754738,-0.3668145748465712,0.31001104748593206,0.4150000009685755,0.4720371266153782,0.5970746109130391,0.24041666666666667,0.0,0.12333333333333332,0.35,-0.3292003744738006,-0.11200700167580663,-0.007839245450402512,-0.0011374749307287858,3.4074946775967945,3.5550920130713264,1.6477113277943953,1.9043923676476102,3.3800825118542646,3.5448985698595274,3.377305933590944,3.5399797129251116,-1.88686086741344,-0.7113975794799625,0.9991666674613953,0.8298645833333333,0.0,116.47986507415771,0,383409
cap_perp,5,13,1,3.1284112928050947,3.5392488890625033,3.1801587343215942,5.838082790374756,0.11648403480648994,-0.07444468513131142,-1.0927154182542607,-0.6959955026911857,0.3096776328053511,0.32162500112317505,0.45864997740221614,0.5037717654493732,0.26041666666666663,0.0,0.12,0.24625,-0.35298691694036954,-0.23985798895805832,-0.007097196712655579,-0.0015622768586035817,3.4057365915375435,3.674123475847968,1.661841008186364,2.0121467114664267,3.380082676349966,3.6522816641283855,3.376514099568274,3.6519641902494193,-1.9626382896412786,-1.4784429869571856,1.0,0.8291145833333333,0.0,127.0839614868164,0,427412
cap_perp,5,14,1,3.0988780294889473,3.5961077415914056,3.132777214050293,6.616690635681152,0.12302889674901962,-0.07149316370487213,-1.0421469636885778,-0.47598056243361564,0.3447756939544706,0.3793750010275592,0.49279641229044036,0.5632705850640483,0.20750000000000002,0.0,0.14416666666666667,0.3104166666666667,-0.3141241633394933,-0.15242374402254188,-0.008368927183631624,-0.0033690445887623356,3.396155604649305,3.741318802454218,1.62167691810763,2.0611185352607553,3.379412665230556,3.732051115413621,3.383900650048857,3.729828940889696,-1.6922342505057653,-0.9706077065047187,1.0,0.83465625,0.0,100.84185791015625,0,398746
cap_perp,5,15,1,3.023013425169858,3.80764778313408,3.1516391038894653,5.981891393661499,0.12724805623292923,-0.08252081274986267,-1.147805507645134,-1.1355486033934432,0.29189414960697835,0.204250001317511,0.4426720413491417,0.353045140115152,0.2525,0.0,0.12125,0.11583333333333333,-0.3651010441795296,-0.39095093662454555,-0.007191424665947719,0.001776499376865104,3.396376793277329,3.8761345090375197,1.6578171235401928,2.1226663058330546,3.3800493082097693,3.831972759516346,3.378148022702657,3.855379915205945,-1.9909527939235947,-2.465680868377288,0.9983333349227905,0.8330729166666667,0.0,160.72627449035645,0,409473
