arm,leak,p_mid,dz_per_task,se,n
LR03,0.3,0.005,0.1819920283468438,0.04071282572572407,68
LR03,0.3,0.01414213562373095,0.1971190706407434,0.015936417790490254,566
LR03,0.3,0.026457513110645908,0.12068699572824694,0.009692903991321711,1739
LR03,0.3,0.041833001326703784,0.08534471885852703,0.009720061125049395,1924
LR03,0.3,0.05916079783099616,0.08668957538025217,0.009034725805896903,2419
LR03,0.3,0.08366600265340757,0.05889544494934753,0.00819391490151647,3200
LR03,0.3,0.11832159566199232,0.006070008970024628,0.008194185459410405,3220
LR03,0.3,0.16733200530681513,-0.05244433286405972,0.008144834674297401,3475
LR03,0.3,0.23664319132398465,-0.09119960513140614,0.00919622732224691,2792
LR03,0.3,0.33466401061363027,-0.13704813963786713,0.010456904568690997,2286
LR03,0.3,0.469041575982343,-0.19744909647655953,0.013135537920569816,1393
LR03,0.3,0.7416198487095663,-0.23533701011514338,0.014827720907981505,918
LR,0.1,0.005,0.08205354468012974,0.010005593256216203,2663
LR,0.1,0.01414213562373095,0.08288725159430514,0.009004188314869441,3837
LR,0.1,0.026457513110645908,0.04824080350903164,0.008977232766653057,3962
LR,0.1,0.041833001326703784,0.013431220709635603,0.012285231910454296,2450
LR,0.1,0.05916079783099616,-0.01776107126068153,0.012855716135448609,2195
LR,0.1,0.08366600265340757,-0.08869201458050505,0.013327444462446793,2036
LR,0.1,0.11832159566199232,-0.09896900143828845,0.015973385274913005,1576
LR,0.1,0.16733200530681513,-0.14101065603364948,0.017154516629464114,1422
LR,0.1,0.23664319132398465,-0.19052096491305132,0.021320104542665436,1024
LR,0.1,0.33466401061363027,-0.19249718904410382,0.022123543850780285,927
LR,0.1,0.469041575982343,-0.24393649284440266,0.02441926065692943,697
LR,0.1,0.7416198487095663,-0.15777403187022115,0.01739988822805123,1211
LR001,0.01,0.005,-0.002695662253352569,0.007356956026017058,6197
LR001,0.01,0.01414213562373095,0.03781388981539637,0.008792970076663393,4165
LR001,0.01,0.026457513110645908,-0.003208398472791858,0.010771893031768766,3041
LR001,0.01,0.041833001326703784,-0.046602657122356825,0.01604894216007309,1627
LR001,0.01,0.05916079783099616,-0.056125388975880264,0.018716382821052095,1218
LR001,0.01,0.08366600265340757,-0.06471215818034302,0.01955126589313118,1229
LR001,0.01,0.11832159566199232,-0.09492305375687816,0.023302563867091453,893
LR001,0.01,0.16733200530681513,-0.16277277432298357,0.02382587576767968,875
LR001,0.01,0.23664319132398465,-0.1200990798145382,0.028462405377659133,685
LR001,0.01,0.33466401061363027,-0.18363770836964616,0.02782817008987118,692
LR001,0.01,0.469041575982343,-0.22390360698853803,0.030241414827184534,593
LR001,0.01,0.7416198487095663,-0.062275914635054046,0.010666443475687981,2785
R,0.0,0.005,0.02207061630450783,0.003602176543506255,8561
R,0.0,0.01414213562373095,0.04898642391346503,0.00962599941319008,3118
R,0.0,0.026457513110645908,0.028597444826270732,0.01232526997730391,2323
R,0.0,0.041833001326703784,-0.008015350812594338,0.017372643259732395,1371
R,0.0,0.05916079783099616,-0.03910579685399361,0.019206206274715882,1120
R,0.0,0.08366600265340757,-0.08481748961608186,0.021253462516310745,1049
R,0.0,0.11832159566199232,-0.10800527508445498,0.023670284146338993,879
R,0.0,0.16733200530681513,-0.10596983053831388,0.023089527201027443,840
R,0.0,0.23664319132398465,-0.15987684546800734,0.02715251988289222,702
R,0.0,0.33466401061363027,-0.2309178390967902,0.02470822804120537,738
R,0.0,0.469041575982343,-0.22159483037521924,0.029954072422675553,568
R,0.0,0.7416198487095663,-0.06460233591148075,0.0106357201158047,2731
