arm,leak,n,zero_crossing,odds,slope_dF_dlnp,saturation,frac_units_below,pooled_pos
LR03,0.3,24000,0.12265288052695109,0.13979971872549,-0.1688367015698303,-0.23533701011514338,0.49333333333333335,0.1752113277402642
LR,0.1,24000,0.048565729075768845,0.05104475480853942,-0.09000192987907432,-0.24393649284440266,0.53025,0.11790939101279786
LR001,0.01,24000,0.025192596958032113,0.025843666019991756,-0.06549090182232645,-0.22390360698853803,0.486625,0.1566892493751389
R,0.0,24000,0.03784078083054399,0.039329021721798266,-0.07991523730460155,-0.2309178390967902,0.59675,0.15359265558657845
