step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
50000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.28,0.00242424,0.3,13.8275,5.22938,0.184698,0.499101,0.00020202,0.00176192,0.00254538,0.692205,19.2303,0.11416,0.28,2.04188e-05
60000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.18,0.00161616,0.16,14.8201,5.64928,0.187443,0.501283,0,8.45869e-06,0.00028025,0.0301827,19.0865,0.132517,0.18,1.78758e-06
60000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.24,0.00141414,0.29,14.6298,6.30692,0.188943,0.499535,0,7.84691e-06,4.48452e-05,0.174978,19.0881,0.128964,0.24,2.54858e-07
60000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.42,0.00161616,0.35,14.9151,4.94549,0.188123,0.499263,0,0.0034859,0.0120016,0.290453,18.9931,0.138278,0.42,6.47646e-05
60000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.11,0.0030303,0.13,14.3697,6.11331,0.186895,0.502414,0,5.53431e-05,0.00134686,0.0410905,19.2062,0.101806,0.11,9.41181e-06
60000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.28,0.0020202,0.32,13.8646,4.94337,0.184436,0.499374,0.00020202,2.9671e-05,8.00151e-05,0.370817,19.2362,0.118609,0.28,5.77226e-07
70000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.22,0.00181818,0.21,16.7099,6.28769,0.187182,0.500475,0,0.00026561,0.000656385,0.404656,19.0098,0.133923,0.22,5.24515e-06
70000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.38,0.00121212,0.36,15.9521,6.09478,0.190574,0.499081,0,0.00666519,0.036907,0.180594,19.0443,0.134879,0.38,0.000191867
70000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.44,0.00121212,0.4,13.3967,5.22375,0.189807,0.499667,0,0.0101107,0.0370556,0.272851,18.931,0.140897,0.44,0.000195934
70000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.22,0.00222222,0.21,15.344,6.2848,0.18856,0.502545,0,0.000280815,0.0048452,0.0579573,19.1188,0.10626,0.22,4.01682e-05
70000,A_w100_T10000_std_lr0.01_cbp1e-5_s4,0.4,0.0020202,0.38,12.8281,5.20306,0.187718,0.49901,0.00040404,0.14024,0.275528,0.508987,19.1102,0.122233,0.4,0.00200487
80000,A_w100_T10000_std_lr0.01_cbp1e-5_s0,0.23,0.00262626,0.26,16.9653,6.44261,0.189135,0.499707,0,5.34473e-07,6.53935e-06,0.0817319,18.9272,0.126511,0.23,3.42219e-08
80000,A_w100_T10000_std_lr0.01_cbp1e-5_s1,0.4,0.00121212,0.37,13.6796,5.93314,0.190997,0.501747,0.00020202,0.0192597,0.0448058,0.429849,19.044,0.148714,0.4,0.000306085
80000,A_w100_T10000_std_lr0.01_cbp1e-5_s2,0.43,0.00161616,0.41,14.3399,5.43923,0.186555,0.500596,0,0.000799309,0.00256946,0.31108,18.9913,0.136068,0.43,1.4503e-05
80000,A_w100_T10000_std_lr0.01_cbp1e-5_s3,0.2,0.00242424,0.35,14.5874,4.88385,0.187272,0.501768,0,1.75626e-07,3.57718e-06,0.0490962,19.1575,0.110962,0.2,1.87255e-08
