exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id
A,5,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s0
A,5,10000,std,,1,0.01,1,0,leaky0.01,"{'name': 'leaky', 'alpha': 0.01}",A_w5_T10000_std_lr0.01_leaky0.01_s0
A,5,10000,std,,1,0.01,1,0,leaky0.1,"{'name': 'leaky', 'alpha': 0.1}",A_w5_T10000_std_lr0.01_leaky0.1_s0
A,5,10000,std,,1,0.01,1,0,leaky0.3,"{'name': 'leaky', 'alpha': 0.3}",A_w5_T10000_std_lr0.01_leaky0.3_s0
A,5,10000,std,,1,0.01,1,0,snpS1e-4P0,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.0}",A_w5_T10000_std_lr0.01_snpS1e-4P0_s0
A,5,10000,std,,1,0.01,1,0,snpS0P1e-3,"{'name': 'snp', 'shrink': 0.0, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS0P1e-3_s0
A,5,10000,std,,1,0.01,1,0,snpS1e-4P1e-3,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s0
A,5,10000,std,,1,0.01,1,0,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-4_s0
A,5,10000,std,,1,0.01,1,0,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-5_s0
A,5,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s1
A,5,10000,std,,1,0.01,1,1,leaky0.01,"{'name': 'leaky', 'alpha': 0.01}",A_w5_T10000_std_lr0.01_leaky0.01_s1
A,5,10000,std,,1,0.01,1,1,leaky0.1,"{'name': 'leaky', 'alpha': 0.1}",A_w5_T10000_std_lr0.01_leaky0.1_s1
A,5,10000,std,,1,0.01,1,1,leaky0.3,"{'name': 'leaky', 'alpha': 0.3}",A_w5_T10000_std_lr0.01_leaky0.3_s1
A,5,10000,std,,1,0.01,1,1,snpS1e-4P0,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.0}",A_w5_T10000_std_lr0.01_snpS1e-4P0_s1
A,5,10000,std,,1,0.01,1,1,snpS0P1e-3,"{'name': 'snp', 'shrink': 0.0, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS0P1e-3_s1
A,5,10000,std,,1,0.01,1,1,snpS1e-4P1e-3,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s1
A,5,10000,std,,1,0.01,1,1,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-4_s1
A,5,10000,std,,1,0.01,1,1,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-5_s1
A,5,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s2
A,5,10000,std,,1,0.01,1,2,leaky0.01,"{'name': 'leaky', 'alpha': 0.01}",A_w5_T10000_std_lr0.01_leaky0.01_s2
A,5,10000,std,,1,0.01,1,2,leaky0.1,"{'name': 'leaky', 'alpha': 0.1}",A_w5_T10000_std_lr0.01_leaky0.1_s2
A,5,10000,std,,1,0.01,1,2,leaky0.3,"{'name': 'leaky', 'alpha': 0.3}",A_w5_T10000_std_lr0.01_leaky0.3_s2
A,5,10000,std,,1,0.01,1,2,snpS1e-4P0,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.0}",A_w5_T10000_std_lr0.01_snpS1e-4P0_s2
A,5,10000,std,,1,0.01,1,2,snpS0P1e-3,"{'name': 'snp', 'shrink': 0.0, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS0P1e-3_s2
A,5,10000,std,,1,0.01,1,2,snpS1e-4P1e-3,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s2
A,5,10000,std,,1,0.01,1,2,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-4_s2
A,5,10000,std,,1,0.01,1,2,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-5_s2
A,5,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s3
A,5,10000,std,,1,0.01,1,3,leaky0.01,"{'name': 'leaky', 'alpha': 0.01}",A_w5_T10000_std_lr0.01_leaky0.01_s3
A,5,10000,std,,1,0.01,1,3,leaky0.1,"{'name': 'leaky', 'alpha': 0.1}",A_w5_T10000_std_lr0.01_leaky0.1_s3
A,5,10000,std,,1,0.01,1,3,leaky0.3,"{'name': 'leaky', 'alpha': 0.3}",A_w5_T10000_std_lr0.01_leaky0.3_s3
A,5,10000,std,,1,0.01,1,3,snpS1e-4P0,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.0}",A_w5_T10000_std_lr0.01_snpS1e-4P0_s3
A,5,10000,std,,1,0.01,1,3,snpS0P1e-3,"{'name': 'snp', 'shrink': 0.0, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS0P1e-3_s3
A,5,10000,std,,1,0.01,1,3,snpS1e-4P1e-3,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s3
A,5,10000,std,,1,0.01,1,3,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-4_s3
A,5,10000,std,,1,0.01,1,3,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-5_s3
A,5,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w5_T10000_std_lr0.01_s4
A,5,10000,std,,1,0.01,1,4,leaky0.01,"{'name': 'leaky', 'alpha': 0.01}",A_w5_T10000_std_lr0.01_leaky0.01_s4
A,5,10000,std,,1,0.01,1,4,leaky0.1,"{'name': 'leaky', 'alpha': 0.1}",A_w5_T10000_std_lr0.01_leaky0.1_s4
A,5,10000,std,,1,0.01,1,4,leaky0.3,"{'name': 'leaky', 'alpha': 0.3}",A_w5_T10000_std_lr0.01_leaky0.3_s4
A,5,10000,std,,1,0.01,1,4,snpS1e-4P0,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.0}",A_w5_T10000_std_lr0.01_snpS1e-4P0_s4
A,5,10000,std,,1,0.01,1,4,snpS0P1e-3,"{'name': 'snp', 'shrink': 0.0, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS0P1e-3_s4
A,5,10000,std,,1,0.01,1,4,snpS1e-4P1e-3,"{'name': 'snp', 'shrink': 0.0001, 'perturb': 0.001}",A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s4
A,5,10000,std,,1,0.01,1,4,cbp1e-4,"{'name': 'cbp', 'rho': 0.0001, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-4_s4
A,5,10000,std,,1,0.01,1,4,cbp1e-5,"{'name': 'cbp', 'rho': 1e-05, 'maturity': 100, 'decay': 0.99}",A_w5_T10000_std_lr0.01_cbp1e-5_s4
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0
A,100,10000,std,,1,0.01,1,0,leaky0.01,"{'name': 'leaky', 'alpha': 0.01}",A_w100_T10000_std_lr0.01_leaky0.01_s0
