step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
0,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s0,0,0,0,70.7718,27.2184,0.17443,0.500481,0,1.30035,74.4272,0.0174715,20.4394,0.089527,0,1.75909
0,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s1,0,0,0,71.085,27.2055,0.17666,0.500856,0,0.634866,45.3322,0.0140048,20.4026,0.0876917,0,0.913683
0,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s2,0,0,0,71.0282,27.4513,0.174286,0.498855,0,3.11847,180.966,0.0172324,20.4291,0.0873409,0,3.43007
0,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s3,0,0,0,70.9327,27.1477,0.176683,0.497239,0,0.660391,42.6023,0.0155013,20.4423,0.096662,0,0.99183
0,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s4,0,0,0,71.1018,27.6046,0.175781,0.500491,0,2.56912,154.468,0.0166321,20.4578,0.092008,0,2.91547
0,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s0,0,0,0,65.8976,23.6223,0.176416,0.49797,0.00020202,1.07457,46.3053,0.0232061,20.4214,0.096412,0,0.924957
0,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s1,0,0,0,66.465,24.5588,0.174385,0.500529,0,2.32068,79.9039,0.0290434,20.5059,0.09029,0,1.52058
0,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s2,0,0,0,65.4106,24.0263,0.173747,0.500645,0,2.57095,110.166,0.0233369,20.4765,0.0884315,0,1.84307
0,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s3,0,0,0,64.7444,23.9485,0.175108,0.498788,0,3.62228,77.1231,0.0469674,20.4029,0.0899602,0,1.32804
0,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s4,0,0,0,66.8658,24.4542,0.175991,0.500327,0,45.0124,484.532,0.0928987,20.3948,0.0903931,0,8.109
10000,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s0,0,0,0,78.4707,33.2473,0.173611,0.503078,0,0.0154211,3.26262,0.00472661,20.4685,0.0859007,0,0.0835427
10000,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s1,0,0,0,76.9336,31.6398,0.174328,0.499096,0.00020202,0.0113011,2.08433,0.00542192,20.4901,0.0928454,0,0.0713266
10000,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s2,0,0,0,77.1014,31.6347,0.174862,0.500183,0,0.0169571,3.29467,0.00514684,20.4596,0.0931198,0,0.0770215
10000,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s3,0,0,0,77.7427,33.1662,0.172512,0.497989,0,0.0263933,3.23224,0.00816565,20.5062,0.0883773,0,0.0902285
10000,B_w100_K10000_c0.0_lr0.01_snpS0P1e-3_s4,0,0,0,78.2836,32.9008,0.174799,0.502588,0.00020202,0.0193464,2.98045,0.00649111,20.4518,0.0911589,0,0.087804
10000,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s0,0,0,0,80.3016,32.7808,0.178698,0.515142,0,0.0116045,2.75501,0.00421214,20.3618,0.111238,0,0.0747995
10000,B_w100_K10000_c2.0_lr0.01_snpS0P1e-3_s1,0,0,0,80.3945,34.4054,0.176269,0.510986,0,0.0138824,2.72283,0.00509853,20.421,0.101396,0,0.074713
