step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
0,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.4,0,0.2,1.82804,1.55535,0.223209,0.46,0,113.285,64.929,1.74476,4.73645,0.356372,0.4,8.09652
0,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.2,0,0.2,2.35741,2.30647,0.135152,0.5,0,34.3048,103.167,0.332519,4.92291,0.309386,0.2,3.05425
0,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.6,0,0.6,1.96811,1.88248,0.198467,0.5,0,0.698525,4.11216,0.169868,4.76964,0.335994,0.6,0.912856
0,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.4,0.1,0.2,1.91915,2.61144,0.161373,0.45,0,55.6804,73.4767,0.757797,4.90449,0.343714,0.4,4.83624
0,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.2,0,0.2,3.32572,1.78232,0.176737,0.52,0,6.22817,22.3067,0.279206,4.86496,0.375398,0.2,4.01161
10000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.6,0.1,0.6,1.36102,1.07575,0.240091,0.47,0,0.474994,28.2435,0.0168178,3.46052,0.852229,0.6,1.02659
10000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.4,0,0.4,2.18479,1.4316,0.196775,0.48,0,0.942549,20.8073,0.0452989,4.01087,0.527173,0.4,0.344833
10000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.6,0,0.6,1.63374,1.5094,0.168173,0.5,0,1.86366,9.23166,0.201877,4.01866,0.589993,0.6,0.305593
10000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.4,0,0.4,2.88131,2.14855,0.205646,0.45,0,5.38531,36.0546,0.149366,3.71951,0.674548,0.4,1.04469
10000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.2,0,0.2,3.09539,1.75838,0.281039,0.5,0,1.06963,19.5142,0.0548127,4.19095,0.463196,0.2,0.312433
20000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.4,0,0.2,1.66054,1.19298,0.243073,0.48,0,0.137352,9.16993,0.0149786,3.27975,0.752219,0.4,0.609284
20000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.2,0,0.2,3.03037,1.67092,0.291368,0.46,0,2.7474,15.8494,0.173344,3.71725,0.506277,0.2,0.256026
20000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.6,0,0.6,1.55914,1.29576,0.201237,0.48,0,2.2309,12.1122,0.184186,3.08901,0.793611,0.6,0.470926
20000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.4,0,0.4,2.45584,1.64557,0.309745,0.5,0,1.52017,17.7243,0.0857675,3.27911,0.725186,0.4,0.892219
20000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.2,0,0.2,3.09063,1.76189,0.230548,0.48,0,0.832683,9.20044,0.0905048,4.0273,0.457451,0.2,0.251278
30000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.4,0,0.4,1.81263,1.23792,0.26098,0.46,0,6.73372,31.1015,0.216508,3.19884,0.725063,0.4,0.897416
30000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.6,0,0.6,1.95309,1.95974,0.268204,0.63,0.1,0.769387,13.8501,0.0555508,3.28238,0.590814,0.6,0.24606
30000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.4,0,0.4,2.61021,1.77563,0.23291,0.54,0,0.739978,16.337,0.0452947,2.91175,0.678708,0.4,0.221931
30000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.4,0,0.4,2.70851,1.95951,0.41221,0.65,0,0.81481,19.77,0.0412145,2.97307,0.655924,0.4,0.746581
30000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.2,0,0.2,2.82748,1.7716,0.225937,0.51,0,2.28212,9.96291,0.229062,3.98049,0.447937,0.2,0.189463
40000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.6,0,0.6,1.57768,1.13832,0.191419,0.45,0,1.03721,30.8296,0.0336434,2.42297,0.865213,0.6,0.881825
40000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.6,0,0.6,1.67579,1.27895,0.374265,0.75,0,0.109057,4.49537,0.0242599,2.44247,0.839628,0.6,0.271328
40000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.6,0,0.4,2.39351,1.99927,0.259693,0.45,0,0.578385,14.354,0.0402943,2.90144,0.684461,0.6,0.353833
40000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.2,0,0.2,2.79789,1.59382,0.349204,0.49,0,12.7302,59.5968,0.213606,2.98023,0.820505,0.2,0.99679
40000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.4,0,0.4,2.57416,2.29278,0.208647,0.48,0,0.254274,20.5057,0.0124002,3.5909,0.435431,0.4,0.404144
50000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.6,0,0.6,1.85328,1.86228,0.206251,0.43,0,2.37081,23.9878,0.0988338,2.28618,0.550243,0.6,0.413849
50000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.6,0,0.6,1.85423,1.58296,0.266886,0.56,0,0.122941,5.62016,0.021875,2.48265,0.687265,0.6,0.277745
50000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.6,0,0.6,1.80952,1.43498,0.350896,0.47,0,11.9603,35.9768,0.332443,2.39639,0.78805,0.6,0.555343
50000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.4,0,0.4,2.58455,2.1419,0.350376,0.46,0,0.394797,22.4773,0.0175643,4.09669,0.431592,0.4,1.00226
50000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.2,0,0.2,3.11993,2.28155,0.269901,0.49,0,6.11267,34.4955,0.177202,3.77312,0.540851,0.2,0.477331
60000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.4,0,0.4,2.56888,1.7059,0.322508,0.43,0,3.27508,27.7579,0.117987,2.61115,0.772892,0.4,0.839447
60000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.6,0,0.6,1.85459,1.66707,0.366155,0.76,0.1,2.30282,11.8867,0.193731,2.01304,0.798573,0.6,0.305386
60000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s2,0.6,0,0.6,1.82991,1.46827,0.335527,0.46,0,1.34908,27.6881,0.0487242,2.2897,0.686976,0.6,0.548548
60000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s3,0.4,0,0.4,2.73646,1.99933,0.320513,0.53,0,0.295085,20.7164,0.014244,3.71496,0.720396,0.4,1.05513
60000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s4,0.2,0,0.2,3.4383,2.25296,0.274143,0.47,0,4.71391,45.429,0.103764,3.45204,0.549255,0.2,0.50466
70000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s0,0.4,0,0.4,2.37015,1.57965,0.231472,0.47,0,0.425118,17.1187,0.0248335,3.06778,0.748769,0.4,0.446462
70000,A_w5_T10000_std_lr0.01_snpS1e-4P0_s1,0.6,0,0.6,1.83059,1.87978,0.364683,0.55,0,2.43444,9.18367,0.265084,2.01958,0.667038,0.6,0.19376
