step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
0,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s0,0.4,0,0.2,1.83246,1.55828,0.22354,0.46,0,113.098,64.8164,1.7449,4.73615,0.356566,0.4,8.09385
0,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s1,0.2,0,0.2,2.35909,2.30445,0.135089,0.5,0,34.5739,103.156,0.335163,4.92304,0.309277,0.2,3.06406
0,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s2,0.6,0,0.6,1.96804,1.88513,0.198953,0.5,0,0.697417,4.13447,0.168683,4.76934,0.335633,0.6,0.911271
0,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s3,0.4,0.1,0.2,1.91913,2.61161,0.161276,0.45,0,55.8095,73.3546,0.760818,4.90453,0.343629,0.4,4.84519
0,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s4,0.2,0,0.2,3.33034,1.78368,0.176622,0.52,0,6.2033,22.2554,0.278732,4.86544,0.375181,0.2,4.00807
10000,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s0,0.4,0.1,0.4,2.02746,1.80092,0.268028,0.47,0,5.83274,49.3862,0.118105,3.57501,0.530144,0.4,0.97722
10000,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s1,0.2,0,0.2,2.77884,1.56221,0.348315,0.48,0,6.13995,28.8329,0.21295,3.93546,0.639909,0.2,0.301235
10000,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s2,0.4,0,0.4,2.24633,1.80107,0.159192,0.53,0,0.524512,8.39894,0.0624497,4.40106,0.450743,0.4,0.1687
10000,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s3,0,0,0,3.51415,1.98342,0.192326,0.45,0,7.68478,45.4897,0.168934,3.94844,0.642571,0,1.15963
10000,A_w5_T10000_std_lr0.01_snpS1e-4P1e-3_s4,0,0,0,3.36621,1.75231,0.336472,0.51,0,1.50168,20.1188,0.0746406,4.08794,0.527467,0,0.373843
