step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,neg_gate_frac,eval_loss
60000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,3.80852,1.42265,0.523074,0.45,0,10.098,40.3082,0.250518,4.00303,0.71381,0.2,0.649455
60000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.12992,2.14072,0.331362,0.56,0,7.66256,31.4275,0.243817,4.16729,0.538538,0.2,0.420564
70000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.07188,2.08849,0.38064,0.51,0,0.272774,13.9902,0.0194975,4.32467,0.584128,0.4,0.178339
70000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.57896,1.77275,0.31785,0.5,0,0.070738,3.69437,0.0191475,4.34215,0.493774,0.2,0.0661591
70000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,3.79672,1.88045,0.315927,0.44,0,0.0804601,8.884,0.00905675,4.443,0.544004,0.4,0.343509
70000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.12892,2.09625,0.479316,0.47,0,3.26368,32.0686,0.101772,4.13082,0.658345,0,0.97609
70000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.14397,2.27631,0.302012,0.55,0,1.36197,10.7493,0.126702,4.34221,0.510146,0.2,0.548474
80000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.01096,1.94176,0.364019,0.49,0,0.167965,8.59431,0.0195437,4.5376,0.52024,0.2,0.322645
80000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.02844,2.78158,0.263272,0.49,0,9.90457,14.6247,0.677248,4.54562,0.441977,0.4,0.205442
80000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.2,4.51367,2.68466,0.289887,0.44,0,0.395924,15.1368,0.0261564,4.52208,0.482969,0.2,0.294899
80000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,3.96724,2.07685,0.40501,0.45,0,0.640981,16.1347,0.039727,4.40813,0.553723,0.6,0.584798
80000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.44094,2.7272,0.285596,0.54,0,0.294488,8.54942,0.0344454,4.45757,0.479074,0.2,0.476535
90000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.71306,2.84598,0.288253,0.49,0,0.135401,14.404,0.00940023,4.56034,0.483774,0.2,0.332919
90000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.49151,3.01089,0.28588,0.47,0,0.365585,13.1167,0.0278717,4.42816,0.430335,0.2,0.178672
90000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.34733,2.4631,0.333061,0.46,0,2.42725,17.032,0.142511,4.39847,0.521388,0,0.479475
90000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.4,3.97328,2.36915,0.420412,0.54,0,1.67305,11.5835,0.144434,4.3707,0.548736,0.4,0.73751
90000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.4941,2.87823,0.265338,0.54,0,0.742054,11.6689,0.0635925,4.51121,0.47438,0,0.285696
100000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.21813,2.49046,0.263496,0.47,0,2.61064,18.8054,0.138824,4.51163,0.45833,0.2,0.315259
100000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.28246,3.08333,0.305111,0.47,0,0.594618,13.9975,0.0424803,4.32315,0.517869,0,0.475929
100000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,4.23764,2.66631,0.375725,0.48,0,0.630146,37.1993,0.0169397,4.42121,0.47159,0.4,0.654699
100000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,3.91897,2.17583,0.360158,0.48,0,8.69395,22.3572,0.388865,4.45258,0.438846,0.6,0.649201
100000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.49857,2.76538,0.353221,0.53,0,0.673047,9.08327,0.0740975,4.57887,0.488162,0.2,0.385679
110000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.40106,2.4169,0.28434,0.52,0,0.163152,3.39275,0.0480885,4.52824,0.44266,0.2,0.0515535
110000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.24724,2.45214,0.38594,0.51,0,17.0331,26.0222,0.654559,4.159,0.529791,0,0.408529
110000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.6,4.10178,2.67225,0.248697,0.49,0,0.0977732,10.1662,0.0096175,4.72235,0.377228,0.6,0.497487
110000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.23298,2.29261,0.368321,0.47,0,0.16632,19.7158,0.00843589,4.44475,0.507139,0.2,0.321879
110000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.36664,2.61295,0.292925,0.56,0,0.151312,3.15612,0.0479425,4.60879,0.458829,0.2,0.242666
120000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.5835,2.64894,0.337586,0.49,0,0.593071,19.2354,0.0308322,4.50588,0.421688,0,0.724491
120000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.02103,2.13416,0.380103,0.5,0,1.60396,24.1597,0.0663899,4.27932,0.581126,0.4,0.464714
120000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.2,4.45702,2.37409,0.196351,0.51,0,1.31385,63.2695,0.0207659,4.65513,0.404263,0.4,1.36126
120000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.07742,1.81267,0.373861,0.48,0,0.476188,16.7046,0.0285064,4.42633,0.528626,0.4,0.594061
120000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.45958,2.27496,0.355566,0.55,0,1.05239,4.44559,0.236728,4.57074,0.51319,0.2,0.305923
130000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.39551,2.43323,0.379277,0.49,0,0.371033,6.26714,0.059203,4.42727,0.491718,0,0.386865
130000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.23691,2.43982,0.388332,0.52,0,0.115965,8.73329,0.0132785,4.14882,0.531677,0,0.177147
130000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,4.03324,1.8399,0.227525,0.53,0,0.118215,5.0311,0.0234969,4.63019,0.397162,0.6,0.330095
130000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,3.84309,1.77945,0.367079,0.48,0,0.257367,9.80676,0.0262439,4.52387,0.453392,0.2,0.31924
130000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.24512,2.12763,0.33641,0.53,0,6.1609,18.1669,0.339127,4.48996,0.490202,0.4,0.468012
140000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.34105,2.84348,0.330413,0.48,0,0.331286,8.0648,0.0410781,4.54084,0.415413,0.6,0.657475
140000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.12671,2.18451,0.388305,0.5,0,8.16788,26.5609,0.307515,4.27179,0.579994,0.4,0.631435
140000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.51386,3.11656,0.217446,0.49,0,0.184372,4.08145,0.0451732,4.62435,0.37826,0.2,0.126141
140000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.11312,2.18005,0.373004,0.46,0,3.31553,19.0314,0.174213,4.38958,0.419634,0,0.329743
140000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.4,4.28261,3.04407,0.243646,0.6,0,2.67781,9.39195,0.285118,4.78219,0.423113,0.4,0.738141
150000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.29279,2.54526,0.311091,0.49,0,0.197346,8.72639,0.0226148,4.5721,0.40606,0,0.307822
150000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.23746,2.44877,0.388625,0.51,0,0.345827,10.9078,0.0317046,4.18005,0.523883,0,0.214902
150000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,4.10723,2.35399,0.317769,0.5,0,0.104495,1.07709,0.0970159,4.55859,0.460884,0.4,0.0702807
150000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.2855,2.27268,0.364594,0.47,0,1.62805,19.6778,0.0827356,4.52342,0.410774,0.2,0.553992
150000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.45529,2.72563,0.241149,0.53,0,0.767723,13.5273,0.0567537,4.58629,0.443733,0.2,0.343133
160000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,4.19857,2.363,0.259222,0.48,0,0.41671,6.88097,0.0605598,4.64416,0.352107,0.4,0.511582
160000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.14075,2.23768,0.51472,0.49,0,1.04803,8.46949,0.123742,4.1106,0.624761,0.2,0.132079
160000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.51666,3.40733,0.225732,0.5,0,0.845163,15.5012,0.0545224,4.51042,0.347144,0,0.436138
160000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.08985,2.15692,0.31551,0.48,0,0.201261,8.14476,0.0247105,4.50149,0.430693,0.2,0.201022
160000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.33742,2.60673,0.255005,0.57,0,1.20043,15.6478,0.0767154,4.64993,0.342285,0.2,0.335164
170000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.15585,2.08599,0.274005,0.47,0,0.0828259,10.9528,0.00756206,4.49931,0.446184,0.4,0.454179
170000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.9278,2.12261,0.389063,0.49,0,7.12844,16.4634,0.432987,4.27247,0.609503,0.4,0.503294
170000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.2,4.08104,2.22086,0.266074,0.49,0,0.270302,14.5579,0.0185674,4.31479,0.43438,0.4,0.241964
170000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.31273,2.49586,0.315321,0.48,0,0.256209,2.00761,0.127618,4.45049,0.461043,0,0.333928
170000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.4,4.15673,3.10879,0.217894,0.59,0,0.0130552,14.7258,0.000886551,4.62592,0.373686,0.4,0.541888
180000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.19708,2.62057,0.308482,0.46,0,0.968005,14.8605,0.0651395,4.39197,0.40868,0,0.70507
180000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.09177,2.04053,0.462582,0.55,0,0.223511,14.7937,0.0151086,4.18722,0.617928,0.4,0.43769
180000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,3.88628,2.40977,0.246059,0.47,0,0.042024,6.75646,0.00621983,4.47121,0.389308,0.4,0.259596
180000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0,4.19943,2.15273,0.261599,0.48,0,0.319593,9.15472,0.0349102,4.56772,0.485164,0.2,0.357031
180000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.4,4.43969,2.5195,0.227332,0.55,0,0.0860152,14.2441,0.00603865,4.6745,0.374937,0.4,0.505264
190000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.2,4.26597,2.71743,0.315964,0.48,0,1.10789,18.0161,0.0614946,4.43663,0.451088,0.2,0.350787
190000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0,4.3518,2.2362,0.459104,0.5,0,0.190257,7.61284,0.0249916,4.15185,0.618239,0,0.144776
190000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.30419,2.41723,0.254544,0.54,0,0.0780181,8.0931,0.00964008,4.48896,0.452307,0.4,0.324477
190000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.00771,2.45767,0.259426,0.48,0,0.0902384,10.7686,0.00837977,4.57363,0.438558,0.2,0.234086
190000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.5079,2.39236,0.345614,0.5,0,4.2144,18.5705,0.226941,4.56969,0.490501,0,0.373781
200000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.22517,2.6059,0.307229,0.48,0,0.0607999,5.04016,0.0120631,4.55095,0.413533,0.4,0.525413
200000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.02176,2.01496,0.494912,0.47,0,1.95142,24.0408,0.0811711,4.14359,0.641268,0.4,0.466324
200000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.23456,2.38708,0.244125,0.55,0,0.0188373,2.81052,0.00670241,4.5892,0.436863,0.2,0.165096
200000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.4,4.23319,2.46399,0.261158,0.47,0,0.0376103,5.06653,0.00742328,4.57464,0.439865,0.4,0.11605
200000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.53857,2.3897,0.223333,0.55,0,1.39552,27.6919,0.0503945,4.70682,0.368404,0.4,1.21665
210000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0,4.16001,2.96528,0.278263,0.49,0,0.036704,7.91533,0.00463708,4.56773,0.442686,0.2,0.467599
210000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.4,3.89415,1.90404,0.483835,0.51,0,8.20863,30.6031,0.268229,4.13022,0.611622,0.4,0.610686
210000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.4,4.35212,2.86755,0.237343,0.52,0,0.248495,4.72274,0.0526168,4.54131,0.389382,0.4,0.170056
210000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.06044,2.26259,0.262349,0.48,0,0.151738,5.86351,0.0258784,4.62482,0.392306,0.4,0.148901
210000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0.2,4.2321,2.33222,0.308289,0.54,0,0.633456,22.1388,0.0286129,4.55505,0.455648,0.2,0.306293
220000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.6,4.00643,3.10616,0.218165,0.53,0,2.57064,8.68752,0.2959,4.64703,0.412553,0.6,1.15292
220000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.04414,1.9543,0.534231,0.45,0,0.411866,17.9731,0.0229156,4.09841,0.695445,0.2,0.378362
220000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,3.90214,2.9684,0.239715,0.48,0,0.38884,4.16802,0.0932913,4.59449,0.404251,0.2,0.207045
220000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,3.82541,2.27089,0.249529,0.46,0,0.107087,9.36082,0.0114399,4.57337,0.412629,0.2,0.196941
220000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.66927,2.604,0.25752,0.54,0,1.38592,10.6892,0.129656,4.65632,0.450474,0.2,0.285309
230000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,3.94882,2.28492,0.253496,0.45,0,1.45268,9.34447,0.155459,4.54531,0.418998,0.6,0.254008
230000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,4.20667,2.16002,0.504669,0.52,0,1.48738,15.212,0.0977768,4.13144,0.636126,0.2,0.360895
230000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0.2,4.65491,3.37872,0.240328,0.52,0,0.0449025,2.48637,0.0180594,4.59971,0.344195,0.2,0.0811794
230000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.03897,2.27166,0.249337,0.47,0,1.73319,15.8904,0.109072,4.56306,0.397968,0.2,0.273377
230000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.45186,2.46573,0.254041,0.53,0,2.37703,12.2998,0.193257,4.63161,0.426502,0,0.261432
240000,A_w5_T10000_std_lr0.01_leaky0.3_s0,0,0,0.4,3.64257,1.82663,0.35369,0.45,0,8.26424,28.7852,0.287101,4.381,0.560807,0.6,0.70168
240000,A_w5_T10000_std_lr0.01_leaky0.3_s1,0,0,0.2,3.96599,2.17235,0.460044,0.48,0,4.19697,21.0691,0.199201,4.1482,0.545197,0.2,0.34885
240000,A_w5_T10000_std_lr0.01_leaky0.3_s2,0,0,0,4.5768,3.19213,0.261339,0.5,0,0.295461,3.12699,0.0944872,4.61484,0.410518,0,0.394925
240000,A_w5_T10000_std_lr0.01_leaky0.3_s3,0,0,0.2,4.16545,2.33116,0.350836,0.47,0,2.55736,12.9098,0.198095,4.404,0.487689,0.2,0.255384
240000,A_w5_T10000_std_lr0.01_leaky0.3_s4,0,0,0,4.64001,3.23191,0.278806,0.54,0,3.68061,15.4446,0.238311,4.61957,0.411055,0,0.441643
