seed,region,camp,n_rows,n_nonzero,n_positive,n_negative,n_zero,p,q,z,zero_phat0_fraction,sum_f_rest,sum_abs_f_rest,mean_f_rest,N,M,B,C,B_M,A_M,delta_N,delta_z,v_zero_rate,camp_fraction
0,EDGE,-1,4406,691,685,6,3715,0.9913169319826338,0.008683068017366137,0.8431684067181117,1.0,5.7949527593875985,5.797167795813124,0.0013152412073054013,0.9996179105895253,0.9996179105895253,-0.9843793700401164,-0.0017455060748488016,-1.9992966383031447,-3.040856204700182e-05,6.081712409400364e-05,-0.02682330296856672,0.0,0.44505050505050503
0,EDGE,1,5494,1009,1002,7,4485,0.006937561942517344,0.006937561942517344,0.8163451037495449,1.0,8.93664036198259,8.9395123795639,0.0016266181947547488,0.9996787277136193,-0.9996787277136193,-0.9843793700401164,-0.0017455060748488016,-1.9992966383031447,-3.040856204700182e-05,6.081712409400364e-05,-0.02682330296856672,0.0,0.554949494949495
0,FULL,-1,885736,157638,129099,28539,728098,0.8189586267270582,0.1810413732729418,0.8220259761373592,1.0,961.4073859166995,1103.6474731064811,0.0010854333412175857,0.8711181870516925,0.8711181870516925,-0.6551346204165275,-0.01721736696241105,-1.754474449327049,-0.006119037611831912,0.012238075223663825,-0.028689116757774302,0.0,0.44511583496658125
0,FULL,1,1104164,228190,190807,37383,875974,0.1638240063105307,0.1638240063105307,0.7933368593795849,1.0,1522.3005049506337,1723.314329633527,0.0013786905794344261,0.8833562622753564,-0.8833562622753564,-0.6551346204165275,-0.01721736696241105,-1.754474449327049,-0.006119037611831912,0.012238075223663825,-0.028689116757774302,0.0,0.5548841650334188
0,POST,-1,440730,87847,60135,27712,352883,0.6845424431113185,0.31545755688868143,0.8006784198942664,1.0,369.96376078280326,511.76942207317524,0.000839434031681082,0.7229110314642911,0.7229110314642911,-0.39925011885034495,-0.030165232627707983,-1.4829708871474245,-0.018574412109421123,0.03714882421884225,-0.030585387323763702,0.0,0.4451818181818182
0,POST,1,549270,126281,90254,36027,422989,0.28529232426097356,0.28529232426097356,0.7700930325705027,1.0,634.8840433597296,835.3079545151123,0.0011558687773949598,0.7600598556831334,-0.7600598556831334,-0.39925011885034495,-0.030165232627707983,-1.4829708871474245,-0.018574412109421123,0.03714882421884225,-0.030585387323763702,0.0,0.5548181818181818
0,PRE,-1,440600,69100,68279,821,371500,0.9881186685962373,0.011881331403762662,0.8431684067181117,1.0,585.6486723745086,586.0808832374928,0.001329207154731068,0.9992625405889428,0.9992625405889428,-0.9747489956527289,0.0014883415397457522,-1.9985947398392931,-3.482933070381167e-05,6.965866140762333e-05,-0.02682330296856672,0.0,0.44505050505050503
0,PRE,1,549400,100900,99551,1349,448500,0.013369672943508425,0.013369672943508425,0.8163451037495449,1.0,878.4798212289215,879.0668627388507,0.0015989803808316738,0.9993321992503504,-0.9993321992503504,-0.9747489956527289,0.0014883415397457522,-1.9985947398392931,-3.482933070381167e-05,6.965866140762333e-05,-0.02682330296856672,0.0,0.554949494949495
1,EDGE,-1,5938,1072,1059,13,4866,0.9878731343283582,0.012126865671641791,0.8194678342876389,1.0,9.896718306485038,9.911205051923341,0.0016666753631668977,0.9985383467134007,0.9985383467134007,-0.9779299525101764,-0.0021836838534600167,-1.990704442644105,0.0031861253913482157,-0.006372250782696431,0.0028441293670808943,0.0,0.5997979797979798
1,EDGE,1,3962,704,697,7,3258,0.009943181818181818,0.009943181818181818,0.8223119636547198,1.0,4.63796642784533,4.674586691550544,0.0011706124249988214,0.9921660959307043,-0.9921660959307043,-0.9779299525101764,-0.0021836838534600167,-1.990704442644105,0.0031861253913482157,-0.006372250782696431,0.0028441293670808943,0.0,0.4002020202020202
1,FULL,-1,1193651,240190,198408,41782,953461,0.8260460468795537,0.17395395312044631,0.7987770294667369,1.0,1716.8978709446328,1964.4378414538378,0.0014383583400379447,0.8739894104636031,0.8739894104636031,-0.6238878269466653,0.028204266812442036,-1.6975527131771129,0.025213053875046743,-0.050426107750093485,-0.0016306594241999317,0.0,0.5998547665711845
