region,family,metric,center,margin,point,ci_lo,ci_hi,half_width,n_valid_seed,n_boot_nonfinite,status
FULL,Q17-W,p_plus,0.5,0.05,0.1759481465339061,0.16864826952093798,0.18401234436599068,0.00768203742252635,10.0,0.0,MATERIAL
FULL,Q17-W,p_minus,0.5,0.05,0.8207623408712381,0.8130341698235398,0.8283440342971079,0.00765493223678404,10.0,0.0,MATERIAL
FULL,Q17-W,FAMILY,,0.05,,,,,,,MATERIAL
FULL,Q17-B,B,0.0,0.05,-0.644814194337332,-0.6518378649818022,-0.6373728362042699,0.007232514388766154,10.0,0.0,MATERIAL
FULL,Q17-B,FAMILY,,0.05,,,,,,,MATERIAL
FULL,Q17-N,M_plus,0.0,0.05,-0.8779493146460517,-0.8945750144577848,-0.8596429431403252,0.017466035658729784,10.0,0.0,MATERIAL
FULL,Q17-N,M_minus,0.0,0.05,0.8656090966584571,0.8513875332504984,0.878414031651252,0.013513249200376776,10.0,0.0,MATERIAL
FULL,Q17-N,B_M,0.0,0.05,-1.7435584113045088,-1.7621796403154075,-1.726412677496145,0.017883481409631252,10.0,0.0,MATERIAL
FULL,Q17-N,FAMILY,,0.05,,,,,,,MATERIAL
PRE,Q17-W,p_plus,0.5,0.05,0.009372201261108958,0.006757773182847355,0.01193324336419455,0.002587735090673597,10.0,0.0,MATERIAL
PRE,Q17-W,p_minus,0.5,0.05,0.9900547057307675,0.9880875670799294,0.9921750142435642,0.002043723581817425,10.0,0.0,MATERIAL
PRE,Q17-W,FAMILY,,0.05,,,,,,,MATERIAL
PRE,Q17-B,B,0.0,0.05,-0.9806825044696584,-0.9847081086721461,-0.977122991926503,0.003792558372821553,10.0,0.0,MATERIAL
PRE,Q17-B,FAMILY,,0.05,,,,,,,MATERIAL
PRE,Q17-N,M_plus,0.0,0.05,-0.9996215904181103,-0.999744446371138,-0.9994914299986807,0.00012650818622866877,10.0,0.0,MATERIAL
PRE,Q17-N,M_minus,0.0,0.05,0.9996516596098335,0.9994870190332038,0.9998005256106625,0.0001567532887293277,10.0,0.0,MATERIAL
PRE,Q17-N,B_M,0.0,0.05,-1.9992732500279438,-1.999485756669555,-1.9990370630127532,0.00022434682840088982,10.0,0.0,MATERIAL
PRE,Q17-N,FAMILY,,0.05,,,,,,,MATERIAL
POST,Q17-W,p_plus,0.5,0.05,0.3076179988200553,0.2934845453597638,0.3228225311667287,0.014668992903482447,10.0,0.0,MATERIAL
POST,Q17-W,p_minus,0.5,0.05,0.6885507910650986,0.678117437827558,0.6989503582863034,0.010416460229372704,10.0,0.0,MATERIAL
POST,Q17-W,FAMILY,,0.05,,,,,,,MATERIAL
POST,Q17-B,B,0.0,0.05,-0.3809327922450434,-0.3949328728336009,-0.3665199471667594,0.014206462833420752,10.0,0.0,MATERIAL
POST,Q17-B,FAMILY,,0.05,,,,,,,MATERIAL
POST,Q17-N,M_plus,0.0,0.05,-0.7521809075083438,-0.7836119220998594,-0.7177651309607136,0.03292339556957291,10.0,0.0,MATERIAL
POST,Q17-N,M_minus,0.0,0.05,0.7241699621127029,0.6937785402475377,0.7517742208549341,0.028997840303698175,10.0,0.0,MATERIAL
POST,Q17-N,B_M,0.0,0.05,-1.4763508696210466,-1.5117598020875986,-1.4441270867609828,0.03381635766330793,10.0,0.0,MATERIAL
POST,Q17-N,FAMILY,,0.05,,,,,,,MATERIAL
ALL,Q17,OVERALL,,,,,,,,,MATERIAL_REST_ASYMMETRY
