id,seed,region,pass,note
S1_seed_files,-1,ALL,True,n=10
S7_scope,-1,ALL,True,"primary estimands use only v, F_rest, p_hat, step, flip_state"
S1_required_columns,0,ALL,True,missing=[]
S1_shapes,0,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,0,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,0,ALL,True,source=seed0.npz
S1_grid,0,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,0,ALL,True,"seed=0, period=10000, width=100"
S2_boundaries,0,ALL,True,n=99
S2_rows_FULL,0,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,0,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,0,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,0,ALL,True,"records=99, logical_rows=9900"
S2_partition,0,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,0,ALL,True,"bad=0, max_abs=1.6763806343078613e-08"
S5_vzero_frest,0,ALL,True,vzero=0
S5_phat0_forces,0,ALL,True,"phat0=1687991, bad=0"
S1_required_columns,1,ALL,True,missing=[]
S1_shapes,1,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,1,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,1,ALL,True,source=seed1.npz
S1_grid,1,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,1,ALL,True,"seed=1, period=10000, width=100"
S2_boundaries,1,ALL,True,n=99
S2_rows_FULL,1,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,1,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,1,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,1,ALL,True,"records=99, logical_rows=9900"
S2_partition,1,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,1,ALL,True,"bad=0, max_abs=2.8594513423740864e-08"
S5_vzero_frest,1,ALL,True,vzero=0
S5_phat0_forces,1,ALL,True,"phat0=1671280, bad=0"
S1_required_columns,2,ALL,True,missing=[]
S1_shapes,2,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,2,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,2,ALL,True,source=seed2.npz
S1_grid,2,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,2,ALL,True,"seed=2, period=10000, width=100"
S2_boundaries,2,ALL,True,n=99
S2_rows_FULL,2,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,2,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,2,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,2,ALL,True,"records=99, logical_rows=9900"
S2_partition,2,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,2,ALL,True,"bad=0, max_abs=2.8870999813079834e-08"
S5_vzero_frest,2,ALL,True,vzero=0
S5_phat0_forces,2,ALL,True,"phat0=1514440, bad=0"
S1_required_columns,3,ALL,True,missing=[]
S1_shapes,3,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,3,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,3,ALL,True,source=seed3.npz
S1_grid,3,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,3,ALL,True,"seed=3, period=10000, width=100"
S2_boundaries,3,ALL,True,n=99
S2_rows_FULL,3,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,3,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,3,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,3,ALL,True,"records=99, logical_rows=9900"
S2_partition,3,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,3,ALL,True,"bad=0, max_abs=2.7881469577550888e-08"
S5_vzero_frest,3,ALL,True,vzero=0
S5_phat0_forces,3,ALL,True,"phat0=1727055, bad=0"
S1_required_columns,4,ALL,True,missing=[]
S1_shapes,4,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,4,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,4,ALL,True,source=seed4.npz
S1_grid,4,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,4,ALL,True,"seed=4, period=10000, width=100"
S2_boundaries,4,ALL,True,n=99
S2_rows_FULL,4,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,4,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,4,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,4,ALL,True,"records=99, logical_rows=9900"
S2_partition,4,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,4,ALL,True,"bad=0, max_abs=2.6077032089233398e-08"
S5_vzero_frest,4,ALL,True,vzero=0
S5_phat0_forces,4,ALL,True,"phat0=1770514, bad=0"
S1_required_columns,5,ALL,True,missing=[]
S1_shapes,5,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,5,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,5,ALL,True,source=seed5.npz
S1_grid,5,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,5,ALL,True,"seed=5, period=10000, width=100"
S2_boundaries,5,ALL,True,n=99
S2_rows_FULL,5,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,5,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,5,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,5,ALL,True,"records=99, logical_rows=9900"
S2_partition,5,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,5,ALL,True,"bad=0, max_abs=1.4901161193847656e-08"
S5_vzero_frest,5,ALL,True,vzero=0
S5_phat0_forces,5,ALL,True,"phat0=1458550, bad=0"
S1_required_columns,6,ALL,True,missing=[]
S1_shapes,6,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,6,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,6,ALL,True,source=seed6.npz
S1_grid,6,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,6,ALL,True,"seed=6, period=10000, width=100"
S2_boundaries,6,ALL,True,n=99
S2_rows_FULL,6,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,6,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,6,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,6,ALL,True,"records=99, logical_rows=9900"
S2_partition,6,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,6,ALL,True,"bad=0, max_abs=1.4901161193847656e-08"
S5_vzero_frest,6,ALL,True,vzero=0
S5_phat0_forces,6,ALL,True,"phat0=1740794, bad=0"
S1_required_columns,7,ALL,True,missing=[]
S1_shapes,7,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,7,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,7,ALL,True,source=seed7.npz
S1_grid,7,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,7,ALL,True,"seed=7, period=10000, width=100"
S2_boundaries,7,ALL,True,n=99
S2_rows_FULL,7,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,7,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,7,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,7,ALL,True,"records=99, logical_rows=9900"
S2_partition,7,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,7,ALL,True,"bad=0, max_abs=1.4901161193847656e-08"
S5_vzero_frest,7,ALL,True,vzero=0
S5_phat0_forces,7,ALL,True,"phat0=1711188, bad=0"
S1_required_columns,8,ALL,True,missing=[]
S1_shapes,8,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,8,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,8,ALL,True,source=seed8.npz
S1_grid,8,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,8,ALL,True,"seed=8, period=10000, width=100"
S2_boundaries,8,ALL,True,n=99
S2_rows_FULL,8,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,8,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,8,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,8,ALL,True,"records=99, logical_rows=9900"
S2_partition,8,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,8,ALL,True,"bad=0, max_abs=2.9802322387695312e-08"
S5_vzero_frest,8,ALL,True,vzero=0
S5_phat0_forces,8,ALL,True,"phat0=1560424, bad=0"
S1_required_columns,9,ALL,True,missing=[]
S1_shapes,9,ALL,True,"step=(20901,), flip=(20901, 15), Frest=(20901, 100)"
S1_dtypes,9,ALL,True,"step=int64, flip=float32, Frest=float32"
S1_finite,9,ALL,True,source=seed9.npz
S1_grid,9,ALL,True,"gaps={1: 19900, 900: 199, 1000: 801}"
S1_seed_period_width,9,ALL,True,"seed=9, period=10000, width=100"
S2_boundaries,9,ALL,True,n=99
S2_rows_FULL,9,ALL,True,"records=19899, logical_rows=1989900"
S2_rows_PRE,9,ALL,True,"records=9900, logical_rows=990000"
S2_rows_POST,9,ALL,True,"records=9900, logical_rows=990000"
S2_rows_EDGE,9,ALL,True,"records=99, logical_rows=9900"
S2_partition,9,ALL,True,"PRE, POST, EDGE partition FULL"
S4_force_decomposition,9,ALL,True,"bad=0, max_abs=2.9802322387695312e-08"
S5_vzero_frest,9,ALL,True,vzero=0
S5_phat0_forces,9,ALL,True,"phat0=1714736, bad=0"
S6_algebra,0,FULL,True,p/q and M/N camp-sign identities
S6_algebra,0,PRE,True,p/q and M/N camp-sign identities
S6_algebra,0,POST,True,p/q and M/N camp-sign identities
S6_algebra,0,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,1,FULL,True,p/q and M/N camp-sign identities
S6_algebra,1,PRE,True,p/q and M/N camp-sign identities
S6_algebra,1,POST,True,p/q and M/N camp-sign identities
S6_algebra,1,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,2,FULL,True,p/q and M/N camp-sign identities
S6_algebra,2,PRE,True,p/q and M/N camp-sign identities
S6_algebra,2,POST,True,p/q and M/N camp-sign identities
S6_algebra,2,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,3,FULL,True,p/q and M/N camp-sign identities
S6_algebra,3,PRE,True,p/q and M/N camp-sign identities
S6_algebra,3,POST,True,p/q and M/N camp-sign identities
S6_algebra,3,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,4,FULL,True,p/q and M/N camp-sign identities
S6_algebra,4,PRE,True,p/q and M/N camp-sign identities
S6_algebra,4,POST,True,p/q and M/N camp-sign identities
S6_algebra,4,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,5,FULL,True,p/q and M/N camp-sign identities
S6_algebra,5,PRE,True,p/q and M/N camp-sign identities
S6_algebra,5,POST,True,p/q and M/N camp-sign identities
S6_algebra,5,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,6,FULL,True,p/q and M/N camp-sign identities
S6_algebra,6,PRE,True,p/q and M/N camp-sign identities
S6_algebra,6,POST,True,p/q and M/N camp-sign identities
S6_algebra,6,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,7,FULL,True,p/q and M/N camp-sign identities
S6_algebra,7,PRE,True,p/q and M/N camp-sign identities
S6_algebra,7,POST,True,p/q and M/N camp-sign identities
S6_algebra,7,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,8,FULL,True,p/q and M/N camp-sign identities
S6_algebra,8,PRE,True,p/q and M/N camp-sign identities
S6_algebra,8,POST,True,p/q and M/N camp-sign identities
S6_algebra,8,EDGE,True,p/q and M/N camp-sign identities
S6_algebra,9,FULL,True,p/q and M/N camp-sign identities
S6_algebra,9,PRE,True,p/q and M/N camp-sign identities
S6_algebra,9,POST,True,p/q and M/N camp-sign identities
S6_algebra,9,EDGE,True,p/q and M/N camp-sign identities
