exp,width,period,enc,c,kappa,lr,batch,seed,method,method_cfg,run_id,target_hidden,out_scale
A,100,10000,std,,1,0.01,1,0,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s0,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,1,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s1,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,2,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s2,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,3,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s3,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,4,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s4,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,5,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s5,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,6,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s6,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,7,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s7,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,8,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s8,32,1.7677669529663689
A,100,10000,std,,1,0.01,1,9,none,{'name': 'none'},A_w100_T10000_std_lr0.01_s9,32,1.7677669529663689
