step,seed,unfit_forward,unfit_reverse,abs_delta,percentile_99,raw_floor,calibrated_floor
10000,0,0.0003124401626816311,0.000312440162681631,1.0842021724855044e-19,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
10000,1,2.574606156326136e-05,2.5746061563261356e-05,3.3881317890172014e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
10000,2,0.0007099050593712642,0.0007099050593712643,1.0842021724855044e-19,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
20000,0,3.11138103217552e-06,3.1113810321755207e-06,8.470329472543003e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
20000,1,6.525236567955986e-08,6.525236567955988e-08,1.3234889800848443e-23,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
20000,2,7.463584258096639e-06,7.463584258096641e-06,1.6940658945086007e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
30000,0,3.31258410817316e-05,3.312584108173159e-05,6.776263578034403e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
30000,1,1.0267727416877555e-11,1.0267727416877555e-11,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
30000,2,5.963773306833093e-05,5.963773306833093e-05,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
40000,0,2.0318047794859808e-06,2.031804779485981e-06,4.235164736271502e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
40000,1,1.0846189129372189e-07,1.0846189129372189e-07,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
40000,2,1.6802587132633862e-05,1.680258713263386e-05,3.3881317890172014e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
50000,0,1.3209087490866421e-05,1.3209087490866421e-05,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
50000,1,7.105178032699157e-06,7.105178032699157e-06,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
50000,2,6.342391602867668e-06,6.3423916028676695e-06,1.6940658945086007e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
60000,0,0.00010123466470299177,0.00010123466470299176,1.3552527156068805e-20,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
60000,1,7.044389019357589e-06,7.044389019357586e-06,3.3881317890172014e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
60000,2,0.0022856652548426753,0.0022856652548426753,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
70000,0,5.968124590444434e-05,5.968124590444434e-05,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
70000,1,2.609295510974469e-05,2.609295510974469e-05,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
70000,2,2.0164803603190848e-07,2.0164803603190848e-07,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
80000,0,0.0034975479180856354,0.0034975479180856376,2.168404344971009e-18,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
80000,1,1.813682200663959e-06,1.8136822006639583e-06,6.352747104407253e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
80000,2,2.6054226054319694e-11,2.6054226054319684e-11,9.693522803355793e-27,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
90000,0,6.196223001376855e-07,6.196223001376853e-07,2.117582368135751e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
90000,1,7.546722583488974e-06,7.546722583488974e-06,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
90000,2,1.6686240329721235e-05,1.6686240329721238e-05,3.3881317890172014e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
100000,0,1.1130592367945427e-06,1.1130592367945429e-06,2.117582368135751e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
100000,1,1.793483293742949e-06,1.7934832937429486e-06,4.235164736271502e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
100000,2,0.00016759941371121713,0.0001675994137112171,2.710505431213761e-20,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
110000,0,0.00022152129314897766,0.00022152129314897764,2.710505431213761e-20,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
110000,1,0.00398930307987018,0.00398930307987018,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
110000,2,2.7656391006722128e-06,2.765639100672214e-06,1.2705494208814505e-21,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
120000,0,1.6205801458033317e-08,1.6205801458033317e-08,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
120000,1,0.0011554657130383645,0.0011554657130383647,2.168404344971009e-19,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
120000,2,8.388247949267648e-07,8.388247949267645e-07,2.117582368135751e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
130000,0,0.014070853456163225,0.014070853456163225,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
130000,1,0.00016468023789748503,0.00016468023789748513,1.0842021724855044e-19,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
130000,2,7.235932344825804e-08,7.235932344825805e-08,1.3234889800848443e-23,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
140000,0,1.3678428967782287e-07,1.3678428967782287e-07,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
140000,1,3.4540622695398847e-06,3.4540622695398847e-06,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
140000,2,1.5503468289651282e-05,1.5503468289651282e-05,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
150000,0,0.000661395495895408,0.000661395495895408,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
150000,1,9.378812743001667e-06,9.378812743001667e-06,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
150000,2,0.00010882521858108185,0.00010882521858108187,1.3552527156068805e-20,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
160000,0,4.530397548069321e-09,4.53039754806932e-09,8.271806125530277e-25,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
160000,1,0.00039820339762827896,0.00039820339762827885,1.0842021724855044e-19,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
160000,2,3.4493437679258126e-10,3.449343767925813e-10,5.169878828456423e-26,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
170000,0,6.740991417211575e-05,6.740991417211574e-05,1.3552527156068805e-20,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
170000,1,0.0015677074950076867,0.0015677074950076867,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
170000,2,1.4654622572480685e-07,1.4654622572480688e-07,2.6469779601696886e-23,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
180000,0,0.00015734731746662263,0.00015734731746662263,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
180000,1,0.0008430404663699975,0.0008430404663699975,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
180000,2,1.4960023907949113e-06,1.4960023907949113e-06,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
190000,0,0.00021234340894608604,0.00021234340894608604,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
190000,1,6.2097890748581e-08,6.2097890748581e-08,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
190000,2,7.421191930054754e-05,7.421191930054755e-05,1.3552527156068805e-20,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
200000,0,8.130765343090125e-07,8.130765343090127e-07,1.0587911840678754e-22,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
200000,1,0.003109104971424727,0.003109104971424727,0.0,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
200000,2,0.001077533493054033,0.0010775334930540335,4.336808689942018e-19,1.1449174941446868e-18,1.1449174941446868e-17,1e-16
