arm,target_mu_norm,target_dose,window,n_onset,n_seed,onset_threshold,cp95_lo,cp95_hi,U_seed_values,raw_U_seed_values,median_log10_U,median_eval_loss_exact,floor_fraction,delta_5m_minus_1m_seed_values,delta_point,delta_percentile_ci_lo,delta_percentile_ci_hi,delta_studentized_ci_lo,delta_studentized_ci_hi,CI_DEGENERATE,jump_J,transition_g_star,binary_saturated,count_verdict,main_verdict,band_verdict
dose_off,,,1M,9,10,0.05,0.5549838829718043,0.9974714214555382,"[0.2033299519362181, 0.060557822854472455, 0.38300252263775747, 0.40182935681023313, 0.3970204965633003, 0.03891993775036502, 0.1385798738911451, 0.21985450543462318, 0.4668241975728204, 0.055429146732959386]","[0.2033299519362181, 0.060557822854472455, 0.38300252263775747, 0.40182935681023313, 0.3970204965633003, 0.03891993775036502, 0.1385798738911451, 0.21985450543462318, 0.4668241975728204, 0.055429146732959386]",-0.6748316360257625,0.36899130401692626,0.0,"[0.6915256727275512, 0.984615802574938, 0.40562984656824935, 0.16531659110891103, 0.3097136001964286, 1.3890574903164632, 0.38482711251687385, 0.5633981488073114, 0.32419571213311, 0.8389199950012868]",0.48451399768778036,0.32419571213311,0.8389199950012868,0.18404817360506515,1.161656943298563,1,0.4574116966595539,10.04,0,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose_off,,,5M,10,10,0.05,0.6915028921812392,1.0,"[0.9993716624888371, 0.5845020730398265, 0.9746113865645214, 0.5879741775863391, 0.8100774228687422, 0.9533000752211336, 0.3361454787918823, 0.8045138383794235, 0.9848023391983132, 0.3825235593422975]","[0.9993716624888371, 0.5845020730398265, 0.9746113865645214, 0.5879741775863391, 0.8100774228687422, 0.9533000752211336, 0.3361454787918823, 0.8045138383794235, 0.9848023391983132, 0.3825235593422975]",-0.09296997641429522,0.8545926111386463,0.0,"[0.6915256727275512, 0.984615802574938, 0.40562984656824935, 0.16531659110891103, 0.3097136001964286, 1.3890574903164632, 0.38482711251687385, 0.5633981488073114, 0.32419571213311, 0.8389199950012868]",0.48451399768778036,0.32419571213311,0.8389199950012868,0.18404817360506515,1.161656943298563,1,0.028859417573985024,9.33,1,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose933,2.333,9.33,1M,3,10,0.05,0.06673951117773441,0.6524528500599973,"[0.00012244687527438068, 0.0006465155072805243, 0.026292290533084246, 0.11167375700267065, 0.1517642046216435, 0.005190652618805798, 0.03921716467634085, 0.002606762114828096, 0.02386125828625133, 0.08909592848918908]","[0.00012244687527438068, 0.0006465155072805243, 0.026292290533084246, 0.11167375700267065, 0.1517642046216435, 0.005190652618805798, 0.03921716467634085, 0.002606762114828096, 0.02386125828625133, 0.08909592848918908]",-1.6012391177882543,0.04394863529297474,0.0,"[3.5800895707090143, 3.0974395002255157, 1.514040579815119, 0.8025371946863574, 0.5374515887949707, 2.209720809409376, 0.9411139145277295, 2.492204992625226, 1.289973585260677, 0.5787674871870992]",1.402007082537898,0.7599407008574144,2.653580154817446,0.6492935118486783,2.2592663802592887,1,0.4574116966595539,10.04,0,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose933,2.333,9.33,5M,10,10,0.05,0.6915028921812392,1.0,"[0.46562605868100454, 0.8091302660125453, 0.8587544537644476, 0.7087422482335748, 0.5231436268746211, 0.8412842809402197, 0.3424444297915313, 0.809666914854289, 0.4652291590142763, 0.3377733220813829]","[0.46562605868100454, 0.8091302660125453, 0.8587544537644476, 0.7087422482335748, 0.5231436268746211, 0.8412842809402197, 0.3424444297915313, 0.809666914854289, 0.4652291590142763, 0.3377733220813829]",-0.21544536957589316,0.6329168735826896,0.0,"[3.5800895707090143, 3.0974395002255157, 1.514040579815119, 0.8025371946863574, 0.5374515887949707, 2.209720809409376, 0.9411139145277295, 2.492204992625226, 1.289973585260677, 0.5787674871870992]",1.402007082537898,0.7599407008574144,2.653580154817446,0.6492935118486783,2.2592663802592887,1,0.028859417573985024,9.33,1,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose1004,2.51,10.04,1M,8,10,0.05,0.4439045376923586,0.9747892736731667,"[0.10140732235637959, 0.02511428866331249, 0.09462503403275604, 0.1264298613688581, 0.28953450463866837, 0.0014487538137128995, 0.10082021978997566, 0.14206109452659926, 0.07628607789886269, 0.1281478944381666]","[0.10140732235637959, 0.02511428866331249, 0.09462503403275604, 0.1264298613688581, 0.28953450463866837, 0.0014487538137128995, 0.10082021978997566, 0.14206109452659926, 0.07628607789886269, 0.1281478944381666]",-0.9951915223666838,0.15583285776670452,0.0,"[0.8431043799282169, 1.5704844172831938, 1.0195615585525095, 0.5926272766895799, 0.17883194379213468, 2.6743563894052387, 0.6717856642129032, 0.6147104004120831, 0.7919006201272092, 0.35651605516192486]",0.7318431421700562,0.485613227787004,1.2067943986057053,0.5309014528740736,1.429011306512745,1,0.4574116966595539,10.04,0,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose1004,2.51,10.04,5M,10,10,0.05,0.6915028921812392,1.0,"[0.7066001012367832, 0.9341256533135208, 0.989845942644877, 0.49485383286684537, 0.4370511537343094, 0.6844645841701711, 0.47351452348730705, 0.5850399951750879, 0.47243918015291164, 0.2912242463021589]","[0.7066001012367832, 0.9341256533135208, 0.989845942644877, 0.49485383286684537, 0.4370511537343094, 0.6844645841701711, 0.47351452348730705, 0.5850399951750879, 0.47243918015291164, 0.2912242463021589]",-0.2691687523720888,0.7177605406192996,0.0,"[0.8431043799282169, 1.5704844172831938, 1.0195615585525095, 0.5926272766895799, 0.17883194379213468, 2.6743563894052387, 0.6717856642129032, 0.6147104004120831, 0.7919006201272092, 0.35651605516192486]",0.7318431421700562,0.485613227787004,1.2067943986057053,0.5309014528740736,1.429011306512745,1,0.028859417573985024,9.33,1,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose1075,2.687,10.75,1M,10,10,0.05,0.6915028921812392,1.0,"[0.10298106225075454, 0.11103177756244983, 0.33983309902804415, 0.21063624047819327, 0.5411085100897577, 0.10139465919245057, 0.10482768119481256, 0.21216583338928569, 0.27944037313187486, 0.31924055555824277]","[0.10298106225075454, 0.11103177756244983, 0.33983309902804415, 0.21063624047819327, 0.5411085100897577, 0.10139465919245057, 0.10482768119481256, 0.21216583338928569, 0.27944037313187486, 0.31924055555824277]",-0.6748957288543003,0.3612125779120882,0.0,"[0.8236455197285989, 0.5634187509820596, 0.4529168684097105, 0.43232816975312793, 0.037184671208835784, 0.8679900781878067, 0.2830180210349704, 0.6627274333125802, 0.19562140012610468, 0.03268445131036585]",0.44262251908141925,0.1601013461219031,0.6935321353553292,0.4072846674219263,0.4905161357536968,1,0.4574116966595539,10.04,0,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose1075,2.687,10.75,5M,10,10,0.05,0.6915028921812392,1.0,"[0.6861244363143776, 0.4063179827557465, 0.9642342291957643, 0.5699821621658935, 0.589479946464318, 0.7481783863644402, 0.20113794110440172, 0.9758945236275253, 0.43844038724597095, 0.3441933769127319]","[0.6861244363143776, 0.4063179827557465, 0.9642342291957643, 0.5699821621658935, 0.589479946464318, 0.7481783863644402, 0.20113794110440172, 0.9758945236275253, 0.43844038724597095, 0.3441933769127319]",-0.23683485006984067,0.6847306694676981,0.0,"[0.8236455197285989, 0.5634187509820596, 0.4529168684097105, 0.43232816975312793, 0.037184671208835784, 0.8679900781878067, 0.2830180210349704, 0.6627274333125802, 0.19562140012610468, 0.03268445131036585]",0.44262251908141925,0.1601013461219031,0.6935321353553292,0.4072846674219263,0.4905161357536968,1,0.028859417573985024,9.33,1,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose1146,2.864,11.46,1M,10,10,0.05,0.6915028921812392,1.0,"[0.17006284627308027, 0.18201726648826472, 0.1355564788051045, 0.2447862482211305, 0.3908452399648635, 0.11815268480747654, 0.24584115726913242, 0.24283908599142162, 0.25974842104432383, 0.2154020019964676]","[0.17006284627308027, 0.18201726648826472, 0.1355564788051045, 0.2447862482211305, 0.3908452399648635, 0.11815268480747654, 0.24584115726913242, 0.24283908599142162, 0.25974842104432383, 0.2154020019964676]",-0.6407158374989868,0.36965033306659467,0.0,"[0.4159943703729522, 0.33159913291675713, 0.8495680517461568, 0.6077974262261729, 0.10263099977169043, 0.7335070194031295, 0.23554563916129717, 0.6118430599186337, 0.26551872059943227, 0.28084789315095937]",0.3737967516448547,0.2581967661561283,0.6133132889910128,-4.549846889495596,0.9277272090181213,1,0.4574116966595539,10.04,0,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
dose1146,2.864,11.46,5M,10,10,0.05,0.6915028921812392,1.0,"[0.4432041453799675, 0.39058154663765277, 0.9587123697803334, 0.9921662328480245, 0.49503491036438974, 0.6396620919398647, 0.4228635299124905, 0.9934857666778811, 0.47870904884348625, 0.41124215716198587]","[0.4432041453799675, 0.39058154663765277, 0.9587123697803334, 0.9921662328480245, 0.49503491036438974, 0.6396620919398647, 0.4228635299124905, 0.9934857666778811, 0.47870904884348625, 0.41124215716198587]",-0.3126462681231552,0.7744430855765879,0.0,"[0.4159943703729522, 0.33159913291675713, 0.8495680517461568, 0.6077974262261729, 0.10263099977169043, 0.7335070194031295, 0.23554563916129717, 0.6118430599186337, 0.26551872059943227, 0.28084789315095937]",0.3737967516448547,0.2581967661561283,0.6133132889910128,-4.549846889495596,0.9277272090181213,1,0.028859417573985024,9.33,1,ONSET_SPREADS_BY_5M,BINARY_SATURATED_USE_LEVELS,BAND_MOVES_DOWN_BY_5M
