arm,window,metric,median,q05,q95,n_finite
dose_off,early,layer1_strict_dead,46.0,22.0,77.05,100
dose_off,early,layer1_alive,54.0,22.95,78.0,100
dose_off,early,layer1_eff_rank,15.923838222261718,13.021787565170419,18.06688009739406,100
dose_off,early,layer1_w_norm_median,1.5339245312933611,1.4295124981054774,1.820191491237459,100
dose_off,early,layer1_median_M,-1.3663817785276713,-2.157695303868102,-0.6150736897811674,100
dose_off,early,layer1_mu_norm,2.8722813232690143,2.29128784747792,3.3613968679372,100
dose_off,early,layer1_dose,11.489125293076057,9.16515138991168,13.4455874717488,100
dose_off,early,gamma,,,,0
dose_off,early,gamma_negative,0.0,0.0,0.0,100
dose_off,early,mu_cos_off,1.0,0.9999999999999999,1.0000000000000002,100
dose_off,1M,layer1_strict_dead,93.0,77.95,98.05,100
dose_off,1M,layer1_alive,7.0,1.9500000000000002,22.049999999999997,100
dose_off,1M,layer1_eff_rank,4.402523879021079,1.2551222077609565,11.588492895933959,100
dose_off,1M,layer1_w_norm_median,2.9357862402581305,2.688823224009957,3.142244657328929,100
dose_off,1M,layer1_median_M,-2.3660527206753144,-3.0108822958011623,-1.8128152339705295,100
dose_off,1M,layer1_mu_norm,2.9568312942090618,2.0615528128088303,3.3541019662496847,100
dose_off,1M,layer1_dose,11.827325176836247,8.246211251235321,13.416407864998739,100
dose_off,1M,gamma,,,,0
dose_off,1M,gamma_negative,0.0,0.0,0.0,100
dose_off,1M,mu_cos_off,1.0,0.9999999999999999,1.0000000000000002,100
dose_off,5M,layer1_strict_dead,99.0,98.0,100.0,100
dose_off,5M,layer1_alive,1.0,0.0,2.0,100
dose_off,5M,layer1_eff_rank,1.0,1.0,1.9471111119702722,100
dose_off,5M,layer1_w_norm_median,3.653153035067535,3.3282547946178003,4.23936140756914,100
dose_off,5M,layer1_median_M,-3.293045799899072,-3.928118249391662,-2.4552002066254137,100
dose_off,5M,layer1_mu_norm,3.2015621187164243,2.692582403567252,3.5,100
dose_off,5M,layer1_dose,12.806248474865697,10.770329614269007,14.0,100
dose_off,5M,gamma,,,,0
dose_off,5M,gamma_negative,0.0,0.0,0.0,100
dose_off,5M,mu_cos_off,1.0,0.9999999999999999,1.0000000000000002,100
dose933,early,layer1_strict_dead,33.0,21.0,47.0,100
dose933,early,layer1_alive,67.0,53.0,79.0,100
dose933,early,layer1_eff_rank,16.430395724010623,14.794965215445087,18.20602722893488,100
dose933,early,layer1_w_norm_median,1.501027776706978,1.4323978555965855,1.628845419872247,100
dose933,early,layer1_median_M,-0.8522172263231159,-1.4773143881876145,-0.37149334538453943,100
dose933,early,layer1_mu_norm,2.3329999999999997,2.332999999999999,2.3330000000000006,100
dose933,early,layer1_dose,9.331999999999999,9.331999999999995,9.332000000000003,100
dose933,early,gamma,0.3659813359146814,-0.029027098133793318,0.6194069622786965,100
dose933,early,gamma_negative,0.0,0.0,1.0,100
dose933,early,mu_cos_off,0.9717291808886283,0.9451189339508965,0.9997686910508837,100
dose933,1M,layer1_strict_dead,83.0,67.0,92.05,100
dose933,1M,layer1_alive,17.0,7.95,33.0,100
dose933,1M,layer1_eff_rank,9.978929800440868,4.96529879011149,14.29566984876771,100
dose933,1M,layer1_w_norm_median,2.5673589506633174,2.348328445124532,3.2201395807235986,100
dose933,1M,layer1_median_M,-1.7394216009680314,-2.357003357242808,-1.166089073582187,100
dose933,1M,layer1_mu_norm,2.3329999999999997,2.332999999999999,2.3330000000000006,100
dose933,1M,layer1_dose,9.331999999999999,9.331999999999995,9.332000000000003,100
dose933,1M,gamma,0.41598133591468145,-0.18557990728404228,0.6166929654583014,100
dose933,1M,gamma_negative,0.0,0.0,1.0,100
dose933,1M,mu_cos_off,0.9595910118781611,0.9451189339508965,0.9965540299239383,100
dose933,5M,layer1_strict_dead,98.0,95.95,100.0,100
dose933,5M,layer1_alive,2.0,0.0,4.049999999999997,100
dose933,5M,layer1_eff_rank,1.0945738976363586,1.0,2.687414480915511,100
dose933,5M,layer1_w_norm_median,3.688527909051568,3.3391261509847254,4.167231806423567,100
dose933,5M,layer1_median_M,-2.1043380985065974,-2.4146279891495275,-1.7532390037046033,100
dose933,5M,layer1_mu_norm,2.3329999999999997,2.332999999999999,2.3330000000000006,100
dose933,5M,layer1_dose,9.331999999999999,9.331999999999995,9.332000000000003,100
dose933,5M,gamma,0.5491025045816881,0.24910250458168806,0.6709729018662067,100
dose933,5M,gamma_negative,0.0,0.0,0.0,100
dose933,5M,mu_cos_off,0.949956984689719,0.9451189339508965,0.9855964106388131,100
dose1004,early,layer1_strict_dead,38.0,23.0,55.0,100
dose1004,early,layer1_alive,62.0,45.0,77.0,100
dose1004,early,layer1_eff_rank,16.347986964301917,14.922691101204741,17.85786821892015,100
dose1004,early,layer1_w_norm_median,1.5065921255792751,1.4351813775540267,1.6309088837542427,100
dose1004,early,layer1_median_M,-1.0032628744892143,-1.598774597482051,-0.45458062864859616,100
dose1004,early,layer1_mu_norm,2.5099999999999993,2.509999999999999,2.5100000000000002,100
dose1004,early,layer1_dose,10.039999999999997,10.039999999999996,10.040000000000001,100
dose1004,early,gamma,0.23409497836654358,-0.14531125982221563,0.49641644892011016,100
dose1004,early,gamma_negative,0.0,0.0,1.0,100
dose1004,early,mu_cos_off,0.9900994521000246,0.9700094584464565,0.9999903468790811,100
dose1004,1M,layer1_strict_dead,90.0,70.9,96.0,100
dose1004,1M,layer1_alive,10.0,4.0,29.099999999999994,100
dose1004,1M,layer1_eff_rank,6.007209770069385,2.6534819062300543,15.905990800582638,100
dose1004,1M,layer1_w_norm_median,2.8927889971186365,2.6244848628953115,3.259763216315979,100
dose1004,1M,layer1_median_M,-2.0368392194337357,-2.588126304952502,-1.5485702886474704,100
dose1004,1M,layer1_mu_norm,2.5099999999999993,2.509999999999999,2.5100000000000007,100
dose1004,1M,layer1_dose,10.039999999999997,10.039999999999996,10.040000000000003,100
dose1004,1M,gamma,0.28409497836654357,-0.2941089977011261,0.49334948622233804,100
dose1004,1M,gamma_negative,0.0,0.0,1.0,100
dose1004,1M,mu_cos_off,0.9819402653477401,0.9700396320192157,0.9999903468790808,100
dose1004,5M,layer1_strict_dead,99.0,95.0,100.0,100
dose1004,5M,layer1_alive,1.0,0.0,5.0,100
dose1004,5M,layer1_eff_rank,1.0000000000000027,1.0,2.9898041525600543,100
dose1004,5M,layer1_w_norm_median,3.613220684949751,3.4257407853609454,3.9233275343122473,100
dose1004,5M,layer1_median_M,-2.372939482020552,-2.642242805399573,-2.0569647154465174,100
dose1004,5M,layer1_mu_norm,2.51,2.5099999999999993,2.5100000000000007,100
dose1004,5M,layer1_dose,10.04,10.039999999999997,10.040000000000003,100
dose1004,5M,gamma,0.4202603203881539,0.1202603203881539,0.5546887401777844,100
dose1004,5M,gamma_negative,0.0,0.0,0.0,100
dose1004,5M,mu_cos_off,0.9748108820039215,0.9682243601365912,0.997116440727212,100
dose1075,early,layer1_strict_dead,43.0,24.95,63.05,100
dose1075,early,layer1_alive,57.0,36.95,75.05,100
dose1075,early,layer1_eff_rank,16.070954284013236,14.257229676872798,18.212192137816878,100
dose1075,early,layer1_w_norm_median,1.5273322222226473,1.43222192621207,1.7270008652673434,100
dose1075,early,layer1_median_M,-1.2571906923678755,-1.9108098509167217,-0.5557858166322577,100
dose1075,early,layer1_mu_norm,2.687,2.6869999999999994,2.687000000000001,100
dose1075,early,layer1_dose,10.748,10.747999999999998,10.748000000000005,100
dose1075,early,gamma,0.11543795916660589,-0.25360046480731724,0.38354178238439823,100
dose1075,early,gamma_negative,0.0,0.0,1.0,100
dose1075,early,mu_cos_off,0.9972645257136129,0.9821684446221907,0.9999978223769922,100
dose1075,1M,layer1_strict_dead,93.0,85.95,98.0,100
dose1075,1M,layer1_alive,7.0,2.0,14.049999999999997,100
dose1075,1M,layer1_eff_rank,4.023191005542294,1.5614514229484973,8.000189525027995,100
dose1075,1M,layer1_w_norm_median,2.976810562126812,2.7427011107196853,3.3223017176187035,100
