arm,window,target_mu_norm,target_dose,n_onset,median_log10_U,median_U,median_eval_loss_exact,jump_J
dose_off,1M,,,9,-0.6748316360257625,0.21159222868542066,0.36899130401692626,0.4574116966595539
dose_off,5M,,,10,-0.09296997641429522,0.8072956306240828,0.8545926111386463,0.028859417573985024
dose933,1M,2.333,9.33,3,-1.6012391177882543,0.02507677440966779,0.04394863529297474,0.4574116966595539
dose933,5M,2.333,9.33,10,-0.21544536957589316,0.6159429375540979,0.6329168735826896,0.028859417573985024
dose1004,1M,2.51,10.04,8,-0.9951915223666838,0.10111377107317762,0.15583285776670452,0.4574116966595539
dose1004,5M,2.51,10.04,10,-0.2691687523720888,0.5399469140209666,0.7177605406192996,0.028859417573985024
dose1075,1M,2.687,10.75,10,-0.6748957288543003,0.21140103693373946,0.3612125779120882,0.4574116966595539
dose1075,5M,2.687,10.75,10,-0.23683485006984067,0.5797310543151057,0.6847306694676981,0.028859417573985024
dose1146,1M,2.864,11.46,10,-0.6407158374989868,0.2291205439939446,0.36965033306659467,0.4574116966595539
dose1146,5M,2.864,11.46,10,-0.3126462681231552,0.486871979603938,0.7744430855765879,0.028859417573985024
dose1216,1M,3.041,12.16,10,-0.6492391899413728,0.22430427054453836,0.36542915513312824,0.4574116966595539
dose1216,5M,3.041,12.16,10,-0.2746619723906341,0.5324208239882318,0.702583877651004,0.028859417573985024
