arm,seed,lr,task,iv,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,alpha_med_l1,alpha_min_l1,alpha_max_l1,alpha_clip_frac_l1,alpha_W_med_l1,alpha_med_l2,alpha_min_l2,alpha_max_l2,alpha_clip_frac_l2,alpha_W_med_l2
SWA1u,2,0.001,1,none,0.9667708333,1,1,0,0,-1.384612799,2.175125837,-5.68684721,0.2925663888,82.3281126,0,0,0.603648603,1.852783084,-0.2676817179,0.6142272949,57.43601806,5.279574871,2.225586176,2.945645571,0.4725869894,0.2579841614,0.8443617225,0,1,0.5591842532,0.3931641877,0.6877056956,0,1
SWA1u,2,0.001,2,none,0.9500666667,1,1,0,0,-3.824641466,4.614705086,-12.10317898,0.2309837341,65.32162994,0,0,-11.83932972,7.807088375,-23.56414032,0.05018300563,64.9500519,8.944805145,4.021960735,5.033455849,0.2231567353,0.1205793917,0.4223663807,0,1,0.1323934197,0.09050861001,0.201879859,0,1
SWA1u,2,0.001,3,none,0.9623520833,1,1,0,0,-4.826435089,5.92863369,-15.0361414,0.2389249206,64.63951309,0,0,-22.73052216,10.27730465,-46.07320023,-0.03810197487,62.30663931,11.55313969,5.070296288,6.106464386,0.1734963506,0.09839834273,0.2647033036,0,1,0.1004431844,0.06484849006,0.1623958051,0,1
SWA1u,2,0.001,4,none,0.9472083333,1,1,0,0,-7.099299908,7.628154755,-19.00625992,0.2039080262,59.23295475,0,0,-41.9779892,14.705863,-87.51670837,-0.05977326632,49.45127834,14.79312515,5.938287258,6.641695023,0.1359374672,0.09357937425,0.1892202049,0,1,0.070112288,0.04542164505,0.1077333018,0,1
SWA1u,2,0.001,5,none,0.9246,1,1,0,0,-9.700137138,9.242505074,-36.45458984,0.1727959514,59.23691397,0,0,-61.89619064,18.36042595,-114.5941162,-0.05990425125,43.05534258,18.06080818,6.632109165,6.869264126,0.111371316,0.06648488343,0.1823676676,0,1,0.05603066832,0.03820786253,0.09302825481,0,1
SWA1u,2,0.001,6,none,0.8868645833,1,1,0,0,-14.21599293,11.88362312,-59.53542328,0.1282373965,71.32198302,0,0,-52.69505692,14.56536388,-104.5250168,-0.05943808332,49.65289117,21.92844391,7.07088995,6.960586071,0.08646057546,0.0490434207,0.2374939173,0,1,0.07101364434,0.04971424863,0.08962199837,0,1
SWA1u,2,0.001,7,none,0.8669270833,1,1,0,0,-20.04105377,14.12543488,-80.67236328,0.09007224441,69.44824792,0,0,-60.79187012,15.33409119,-136.6733704,-0.0508655943,47.77628629,26.61991882,7.697338104,6.775865078,0.07213672996,0.03841336444,0.2145580351,0,1,0.06661316007,0.04999748245,0.08418886364,0,1
SWA1u,2,0.001,8,none,0.8181520833,1,1,0,0,-26.8536377,16.88343239,-75.59631348,0.06087356433,63.8672372,0,0,-67.65049744,16.70601082,-205.7572327,-0.04859651625,46.0678515,31.29992676,8.362271309,6.402074337,0.05941673741,0.03044744395,0.2078721374,0,1,0.06174040958,0.03432084247,0.08105258644,0,1
SWA1u,2,0.001,9,none,0.7298125,0.9683333039,0.9683333039,0,0,-29.73259735,18.94971466,-85.64920807,0.03148286045,6.360200867,0,0,-1380.424683,388.4508972,-4427.874023,-0.06129717454,2.205368552,34.6284523,9.40326786,5.820617199,0.0538385585,0.01263538841,0.1078665704,0,1,0.002633485245,0.0007967440761,0.05691881105,0,1
SWA1u,2,0.001,10,none,0.6658416667,0.8241666555,0.8241666555,0,0,-34.54053879,22.0297451,-87.44333649,0.0341495052,3.96620311,0,0,-2651.750488,779.1127319,-7476.311035,-0.06515784562,1.725319801,38.03640747,10.48049164,5.757445812,0.04698722064,0.006829448976,0.1097057238,0,1,0.001322776196,0.0004614130012,0.05286829919,0,1
SWA1u,2,0.001,11,none,0.58555625,0.8475000262,0.8475000262,0,0,-38.04847717,23.34675217,-101.3274155,0.02092191018,3.186003636,0,0,-4145.001953,1223.188477,-9023.780273,-0.06733282655,1.517544965,40.62511826,11.06673813,5.667395592,0.04413899779,0.004843706731,0.08629976958,0,1,0.0008415328339,0.0003720146487,0.005010041874,0,1
