act,reg,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,pen_l2_total,pen_l2init_total,pen_shell_total
R,l2,0.001,0.001,2,1,0.9515729167,0.9983333349,0.9983333349,0.2599999905,0.2599999905,-0.08644341677,0.8360002637,-4.109304428,0.364166677,51.33471222,0.1000000015,0.1000000015,0.6351653934,0.4182402194,-0.132912308,0.9416666627,18.70117259,1.377923608,0.9781411886,2.79754591,0.3267102899,0.3267102899,0.3481942245,0.1093051775
R,l2,0.001,0.001,2,2,0.9539604167,0.9991666675,0.9991666675,0.3000000119,0.3000000119,-0.2136894763,0.761706531,-2.254071951,0.2816666663,51.23269944,0.01999999955,0.01999999955,0.4475713968,0.3321787119,-0.002252859762,0.926666677,18.54174744,1.216484547,0.9633398056,2.929105997,0.3034634767,0.3034634767,0.3375561871,0.09932809801
R,l2,0.001,0.001,2,3,0.95291875,1,1,0.25,0.25,-0.08512035757,0.710834682,-0.9268488288,0.2300000042,48.46965481,0.02999999933,0.02999999933,0.3849928677,0.3164379001,-1.719872216e-06,0.9100000262,18.26251994,1.061595559,0.9353236556,2.856548548,0.2895232784,0.2895232784,0.333106096,0.09200807134
R,l2,0.001,0.001,2,4,0.9540916667,1,1,0.2899999917,0.2899999917,-0.07441749424,0.7029675245,-0.842877686,0.2683333457,48.0229147,0.009999999776,0.009999999776,0.3634615839,0.3042993248,-6.979791465e-07,0.9108333588,17.14360901,1.171194077,0.9175154567,2.888922453,0.2909317499,0.2909317499,0.341888624,0.09278756647
R,l2,0.001,0.001,2,5,0.9431666667,1,1,0.2899999917,0.2899999917,-0.1563334167,0.7112802267,-1.059836507,0.2475000024,48.3928551,0.03999999911,0.03999999911,0.3592297733,0.2982363999,-2.364419379e-05,0.9125000238,16.021282,1.116966486,0.8883056641,2.89703846,0.29224682,0.29224682,0.3470661333,0.09368764915
R,l2,0.001,0.001,2,6,0.9405229167,1,1,0.3300000131,0.3300000131,-0.1748983711,0.7551776171,-0.9409176707,0.2358333319,47.47256908,0.03999999911,0.03999999911,0.3570778966,0.3091862798,-1.475949011e-05,0.9133333564,15.79873125,1.115160227,0.8915511966,2.836218357,0.2879646196,0.2879646196,0.3429780595,0.09079539168
R,l2,0.001,0.001,2,7,0.9355458333,1,1,0.3799999952,0.3799999952,-0.3317292929,0.7819557786,-1.638235688,0.2033333331,47.00556705,0.1099999994,0.1099999994,0.3396087587,0.3311802149,-0.01406379044,0.864166677,18.29622105,1.280094266,0.9154809117,2.877949476,0.3279209611,0.3279209611,0.3854457972,0.1109498954
R,l2,0.001,0.001,2,8,0.9378354167,1,1,0.3100000024,0.3100000024,-0.2758611441,0.7864785194,-1.9642483,0.1908333302,46.92240985,0.1299999952,0.1299999952,0.3159337044,0.3295372725,-0.003940867726,0.8700000048,15.24632373,1.237251878,0.8819079399,2.908554316,0.3234867007,0.3234867007,0.3797222106,0.1087508369
R,l2,0.001,0.001,2,9,0.9322979167,1,1,0.3199999928,0.3199999928,-0.2624019384,0.8143552542,-1.367253184,0.2399999946,50.69870411,0.1199999973,0.1199999973,0.3851613104,0.3176461458,-0.004010097124,0.8999999762,15.76197046,1.284324884,0.8779144287,2.863396883,0.3151283567,0.3151283567,0.3723134732,0.1041733935
R,l2,0.001,0.001,2,10,0.9492291667,0.9991666675,0.9991666675,0.3300000131,0.3300000131,-0.1372450441,0.6992120743,-0.7316587567,0.2566666603,46.83328903,0.05000000075,0.05000000075,0.387740761,0.2965239882,-1.996992978e-06,0.9133333564,14.0219566,1.125032425,0.892457962,2.866159439,0.2883203173,0.2883203173,0.3469849882,0.09171347602
