act,arm,lam,lr,seed,task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3,reg_loss,wt_q10_l1,wt_med_l1,wt_q90_l1,wt_max_l1,wt_ratio0_med_l1,rowmean_abs_med_l1,b_med_l1,exceed_t1_frac_l1,exceed_2x0_frac_l1,bind_frac_l1,proj_rows_l1,proj_removed_l1,wt_q10_l2,wt_med_l2,wt_q90_l2,wt_max_l2,wt_ratio0_med_l2,rowmean_abs_med_l2,b_med_l2,exceed_t1_frac_l2,exceed_2x0_frac_l2,bind_frac_l2,proj_rows_l2,proj_removed_l2
LR,l2,0.001,0.001,7,34,0.9519125,1,1,0,0,-0.1706445366,0.7469556928,-0.6779921055,0.4037499428,57.84935866,0,0,0.2451922596,0.3249320984,-0.0002084730804,0.8259999752,14.05523269,1.203260541,0.9332436919,2.795169353,0.2956390526,0.002774983011,1.209791826,1.596713511,1.745043682,2.081878584,0.0008708729741,-0.0001417405219,0.53,0.53,nan,nan,nan,0.3958783122,0.9345489036,1.217392656,1.548397306,1.650217521,0.002851174839,0.0279490957,0.58,0.16,nan,nan,nan
LR,l2,0.001,0.001,7,35,0.9496604167,0.9991666675,0.9991666675,0,0,-0.1905883253,0.7409844995,-0.8289033771,0.3969999552,58.60900333,0,0,0.2844135165,0.3192428946,-0.00175540708,0.8725000024,14.36801634,1.190516829,0.9206764102,2.826210737,0.2958343343,0.00825315191,1.193541443,1.541582756,1.722943673,2.058470284,0.0008710961954,-0.001646812772,0.52,0.55,nan,nan,nan,0.2774792642,0.9228405012,1.225350603,1.456995015,1.593451766,0.004226034725,0.03406671993,0.55,0.15,nan,nan,nan
LR,l2,0.001,0.001,7,36,0.950325,1,1,0,0,-0.2269845009,0.786275208,-0.7061776519,0.4127499759,58.79004981,0,0,0.2305669934,0.3311718106,-0.0003371771309,0.8117500544,15.23258966,1.267818928,0.9235941768,2.761761665,0.2990945126,0.01864749279,1.265475611,1.60036645,1.767990448,2.18679306,0.0009019380219,-0.00254760636,0.52,0.6,nan,nan,nan,0.07607761514,0.9206228547,1.203588137,1.632832442,1.618884259,0.004202584919,0.03214974888,0.58,0.16,nan,nan,nan
LR,l2,0.001,0.001,7,37,0.9514,1,1,0,0,-0.1362715811,0.7431628108,-0.8347424865,0.4202499688,57.74810001,0,0,0.2310306579,0.3197866976,-1.01151254e-09,0.8080000281,14.84414454,1.21522212,0.9053646326,2.813490391,0.2913803033,0.003575273439,1.215842821,1.51040976,1.752314676,2.106831691,0.000723709288,-0.0003839376586,0.52,0.56,nan,nan,nan,0.3065968695,0.9126806478,1.259453514,1.707355608,1.574712934,0.003231402959,0.02823128365,0.58,0.15,nan,nan,nan
LR,l2,0.001,0.001,7,38,0.9525583333,0.9599999785,0.9599999785,0,0,-0.2611002922,0.7516818643,-1.019046307,0.3737499416,60.76601273,0,0,0.1561154574,0.3194520175,-0.006629491691,0.7404999733,15.63491697,1.180742264,0.9339550138,2.848569393,0.2999478797,0.02397153868,1.191576836,1.555352362,1.793351377,2.054965583,0.001144305768,-0.0003803633008,0.48,0.53,nan,nan,nan,1.993627741e-08,0.9335041102,1.29533928,1.641075918,1.616200178,0.003728872017,0.02201698162,0.55,0.22,nan,nan,nan
LR,l2,0.001,0.001,7,39,0.9492583333,1,1,0,0,-0.2827709317,0.802750349,-0.8118565083,0.3632499576,61.27933585,0,0,0.2423002422,0.3255592883,-0.005196867511,0.8177500367,15.31827052,1.191691875,0.9178259969,2.816601753,0.3143321084,0.04679152598,1.190560188,1.651592346,1.914780221,2.066650678,0.001221535644,-0.005614051595,0.64,0.56,nan,nan,nan,0.05761381553,0.9188366193,1.266588174,1.620271701,1.606809213,0.002287958101,0.03118964564,0.57,0.21,nan,nan,nan
LR,l2,0.001,0.001,7,40,0.9487854167,1,1,0,0,-0.1487848163,0.7113494873,-0.5583481193,0.3954999745,59.29744954,0,0,0.218934685,0.3170599341,-1.207051765e-13,0.83950001,14.8399302,1.171965718,0.933234334,2.845519066,0.2921618997,0.0006755249437,1.17108001,1.574014437,1.852172965,2.038255431,0.001004062092,-0.0001295499169,0.5,0.53,nan,nan,nan,0.3668648739,0.9329378079,1.232766331,1.494243563,1.623646745,0.003565141215,0.03533347137,0.54,0.17,nan,nan,nan
LR,l2,0.001,0.001,7,41,0.9499625,0.9991666675,0.9991666675,0,0,-0.201121822,0.7539727092,-0.6318533421,0.4157499671,59.21426994,0,0,0.2352980524,0.319958359,-1.324399545e-05,0.8042500615,15.74779329,1.20534277,0.8692240715,2.784662962,0.2966983996,0.01248833048,1.216172808,1.611425098,1.76372302,2.096673621,0.0007362720267,-0.002007191884,0.5,0.55,nan,nan,nan,0.4142702825,0.8741171793,1.227508278,1.41303255,1.500924854,0.004524341264,0.03589617088,0.55,0.19,nan,nan,nan
LR,l2,0.001,0.001,7,42,0.94969375,0.8874999881,0.8874999881,0,0,-0.3610693812,0.8027561307,-1.862219214,0.3362499475,64.05896363,0,0,0.08140002191,0.32283324,-0.1527730227,0.6114999652,21.45332499,1.321428299,0.9348956943,2.88973856,0.3234146698,0.05310807034,1.318245552,1.617273672,1.767208435,2.262308684,0.001827220456,-0.003650634317,0.64,0.63,nan,nan,nan,0.4500863419,0.9336433579,1.324742669,1.586534077,1.6096453,0.004800289606,0.03387722932,0.57,0.22,nan,nan,nan
LR,l2,0.001,0.001,7,43,0.9486979167,1,1,0,0,-0.2381857783,0.7551624179,-0.6178249121,0.3969999552,61.09126031,0,0,0.2608624995,0.3059079647,-0.0003841423895,0.8357500434,15.91961308,1.247899413,0.8701978326,2.785339832,0.3026022628,0.02372408154,1.247454947,1.649265009,1.841358172,2.171137964,0.0009780659728,-0.002161463781,0.52,0.59,nan,nan,nan,0.3210163614,0.8727030058,1.297376268,1.684887621,1.501609638,0.004472812305,0.02738213819,0.48,0.23,nan,nan,nan
LR,l2,0.001,0.001,7,44,0.9519104167,1,1,0,0,-0.2867257297,0.7875571251,-1.450247169,0.3812499642,58.76553838,0,0,0.2544229031,0.3305873275,-0.0290469043,0.8079999685,17.6174774,1.326625228,0.8690693974,2.809688807,0.323095378,0.05523325136,1.326810455,1.683798321,2.042031132,2.321333765,0.001393749821,-0.005018085241,0.62,0.63,nan,nan,nan,0.5446384422,0.8704766645,1.309039222,1.514005917,1.475990726,0.003371434262,0.02845497336,0.55,0.25,nan,nan,nan
LR,l2,0.001,0.001,7,45,0.9521395833,1,1,0,0,-0.3191825747,0.838881433,-0.9822040796,0.3812499344,60.64950408,0,0,0.1986929923,0.3456861377,-0.01172380801,0.7472500801,17.42969438,1.370873451,0.914411068,2.864027977,0.3369146382,0.02993774837,1.374426108,1.642921054,2.105751586,2.378669197,0.001556787113,-0.00250520953,0.6,0.62,nan,nan,nan,0.01021769867,0.9130471777,1.350449767,1.852584863,1.556827631,0.003672148632,0.02949768491,0.56,0.25,nan,nan,nan
LR,l2,0.001,0.001,7,46,0.95005,1,1,0,0,-0.1880905479,0.7894712687,-0.8253652453,0.4097499847,56.58542931,0,0,0.2578216791,0.3059054017,-0.0001021199641,0.83950001,15.61490197,1.164502501,0.858476162,2.781412125,0.2926540968,0.01197231548,1.166087022,1.58568172,1.73272393,2.008450241,0.0007679558356,-0.002115423849,0.5,0.51,nan,nan,nan,0.2766625841,0.8598885804,1.288962918,1.669522314,1.478382684,0.004178496802,0.02489217557,0.46,0.23,nan,nan,nan
LR,l2,0.001,0.001,7,47,0.9517020833,1,1,0,0,-0.378513664,0.8495172858,-1.88771224,0.3662499785,62.58472361,0,0,0.2314098328,0.3281631172,-0.04802543297,0.7690000534,18.27228255,1.349516153,0.9093506336,2.862562656,0.3466861693,0.1755506287,1.365111585,1.759389409,1.942329344,2.358596043,0.002060848166,-0.01092129899,0.63,0.68,nan,nan,nan,0.3629431677,0.9108180547,1.376629009,1.762559234,1.599850876,0.003044314634,0.03397964314,0.54,0.27,nan,nan,nan
LR,l2,0.001,0.001,7,48,0.94886875,1,1,0,0,-0.1897028983,0.7198614478,-0.7165398598,0.3924999833,58.65581497,0,0,0.2277068347,0.2983063161,-0.002738086041,0.8477500677,14.40069522,1.166926622,0.8733327389,2.809003592,0.292229075,0.008766350517,1.16858861,1.530282534,1.860080049,2.013491372,0.0008491345416,-0.0007807238144,0.52,0.51,nan,nan,nan,0.003360410188,0.8731605082,1.302397472,1.606879786,1.500073619,0.001701204749,0.02680512238,0.49,0.24,nan,nan,nan
LR,l2,0.001,0.001,7,49,0.9506958333,1,1,0,0,-0.3097081482,0.8171229362,-1.155643344,0.3932499588,58.21928897,0,0,0.2359367907,0.3394610584,-0.006360523868,0.802750051,17.03829727,1.31551528,0.8917992711,2.789525032,0.320536363,0.09720844665,1.3176284,1.699714666,1.936781433,2.277212483,0.001532566039,-0.006522227079,0.6,0.61,nan,nan,nan,0.2824548468,0.8913760281,1.283123721,1.716707211,1.547558122,0.003605460239,0.02961737756,0.55,0.25,nan,nan,nan
LR,l2,0.001,0.001,7,50,0.9502291667,1,1,0,0,-0.1761661172,0.7744337916,-0.8400410414,0.4059999585,56.74413622,0,0,0.2394094914,0.3020231724,-0.001291655586,0.8215000033,14.63047983,1.237606764,0.8783928752,2.795964241,0.2899412144,0.01427297448,1.244214586,1.544775271,1.805019275,2.15565851,0.0008538922778,-0.001314002846,0.5,0.55,nan,nan,nan,0.1336102195,0.8794301545,1.257300904,1.490537677,1.521459505,0.004134122564,0.02422161028,0.52,0.22,nan,nan,nan
