step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,drift_sq_W,trC_W,snr_drift,eff_rank_W,top1_frac,stable_rank_W,stable_rank_W_alive,neg_gate_frac,eval_loss,b_mean_alive,b_mean_dead,b_std,b_min,beta_mean,beta_p10,beta_min,p_min,p_mean,dead_b_dominant_frac,dead_persist_frac
0,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.78094,4.65079,0.140438,0.447619,0,1.02736,51.2778,0.0200351,4.89796,0.290016,3.44809,3.44809,0,1.29857,-0.00854958,nan,0.0104719,-0.0215855,-0.00664713,-0.0167046,-0.0170518,0.4775,0.4938,nan,nan
0,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.70853,4.06365,0.216134,0.466667,0,6.54057,319.65,0.0204617,4.77306,0.412134,2.42639,2.42639,0,4.7524,-0.00882189,nan,0.0132557,-0.034197,-0.00699919,-0.0196411,-0.0282138,0.4925,0.4992,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.80064,4.28471,0.165764,0.561905,0,0.0489336,3.8546,0.0126949,4.81938,0.385601,2.59336,2.59336,0,0.513681,-0.356581,nan,0.127406,-0.567986,-0.287573,-0.370277,-0.381503,0.348,0.3854,nan,nan
1000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.76741,4.25455,0.154085,0.466667,0,0.154733,15.6426,0.00989175,4.82565,0.326077,3.06676,3.06676,0,0.507421,-0.439631,nan,0.111135,-0.641067,-0.321307,-0.448104,-0.452273,0.329,0.3738,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.54709,3.22318,0.344939,0.542857,0,0.0317358,4.12303,0.0076972,4.55087,0.54687,1.82859,1.82859,0,0.340294,-0.498071,nan,0.140772,-0.629367,-0.402811,-0.536093,-0.587725,0.2795,0.3462,nan,nan
2000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.68824,3.63731,0.251163,0.485714,0,0.0408517,5.00447,0.00816306,4.75041,0.452127,2.21177,2.21177,0,0.388302,-0.695042,nan,0.13368,-0.872403,-0.533154,-0.673089,-0.709809,0.2395,0.297,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.52647,3.09404,0.430997,0.542857,0,0.02167,2.43082,0.0089147,4.46513,0.608853,1.64243,1.64243,0,0.382886,-0.673951,nan,0.125426,-0.821719,-0.458851,-0.559886,-0.629631,0.2635,0.3237,nan,nan
3000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.63104,3.48629,0.245212,0.47619,0,0.023408,4.33055,0.00540532,4.68363,0.480834,2.07972,2.07972,0,0.332187,-0.894037,nan,0.127841,-1.0095,-0.630118,-0.793287,-0.840332,0.21,0.2636,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.50433,3.19156,0.372035,0.52381,0,0.0657473,9.20413,0.00714324,4.47989,0.583557,1.71363,1.71363,0,0.382549,-0.720435,nan,0.0912858,-0.800468,-0.485554,-0.640486,-0.736628,0.2265,0.3141,nan,nan
4000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.60124,3.41563,0.391885,0.514286,0,0.203928,16.048,0.0127074,4.48538,0.562268,1.77851,1.77851,0,0.506619,-0.884196,nan,0.167534,-1.14468,-0.531554,-0.69146,-0.721556,0.2405,0.3002,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.42018,2.99443,0.460086,0.514286,0,0.537205,34.2753,0.0156733,4.37982,0.638794,1.56545,1.56545,0,0.782038,-0.839347,nan,0.114267,-0.991718,-0.54457,-0.745696,-0.888969,0.193,0.2944,nan,nan
5000,B_w5_K10000_c0.0_lr0.01_s1,0,0,0,4.46601,3.13266,0.430885,0.533333,0,0.0208613,3.81524,0.00546788,4.37906,0.595668,1.67879,1.67879,0,0.34186,-1.03763,nan,0.255486,-1.3566,-0.629642,-0.779628,-0.781793,0.21,0.2639,nan,nan
6000,B_w5_K10000_c0.0_lr0.01_s0,0,0,0,4.28269,2.83894,0.38453,0.466667,0,0.147462,10.9685,0.0134442,4.29678,0.624256,1.60191,1.60191,0,0.598159,-1.0619,nan,0.136579,-1.24535,-0.735393,-0.993985,-1.16165,0.1245,0.2336,nan,nan
