arm,seed,block,task_lo,task_hi,n_task_ends,mean_log10_unfit,log10_mean_unfit,floor,floor_frac,unfit,eval_loss_exact,L1_strict_dead_frac,L1_b_median_alive,L1_wall_frac,L1_beta_median_alive,L1_kappa_median_alive,L1_sigma_median_alive,L1_margin_median_alive,L1_p_hat_median_alive,L1_p_hat_thin_frac,L1_p_hat_sat_frac,L1_eff_rank,L1_eff_rank_W,L1_w_norm_median,L1_wcos_mean,L2_strict_dead_frac,L2_b_median_alive,L2_wall_frac,L2_beta_median_alive,L2_kappa_median_alive,L2_sigma_median_alive,L2_margin_median_alive,L2_p_hat_median_alive,L2_p_hat_thin_frac,L2_p_hat_sat_frac,L2_eff_rank,L2_eff_rank_W,L2_w_norm_median,L2_wcos_mean
W1_main,0,1,1,50,50,-2.80596324802918,-2.7341853120712525,1e-16,0.0,0.001844228324917758,0.003050051890513112,0.005,-0.08334360124543305,0.1632769941173425,-0.24504813646979617,2.079524974155307,0.3888590568366391,0.6194440689463226,0.416875,0.1955057768937003,0.00060408163265306,19.150214582116906,19.31541148835578,1.5484600671721467,0.1818179026360669,,,,,,,,,,,,,,
W1_main,0,2,51,100,50,-2.7613716952791716,-2.6449778840565816,1e-16,0.0,0.002264759634917564,0.0032594471427253224,0.012000000000000002,-0.09926088076084849,0.17222943360758436,-0.28887196342258753,2.0590438953288537,0.39226230660786987,0.5921874682535417,0.39875,0.2170261600860275,0.0012164553700267958,19.18451156836383,19.278059361511065,1.7431838964326525,0.18115118235584152,,,,,,,,,,,,,,
W1_main,0,3,101,150,50,-2.8335836328180495,-2.7166510785419415,1e-16,0.0,0.001920210859498834,0.00391764832640287,0.0066,-0.1000892390683293,0.17743938114549682,-0.28867796457813627,2.048736990751465,0.41816778691183665,0.6201018260396086,0.408125,0.20537096443075822,0.0022162028447742723,19.078755307389827,19.247443087617743,1.8882251055360348,0.1833332177374064,,,,,,,,,,,,,,
W1_main,0,4,151,200,50,-2.7603469184561975,-2.7009104031202917,1e-16,0.0,0.00199108406610076,0.00372634719332131,0.008600000000000002,-0.09601192280650135,0.16926891368956973,-0.2807397861794779,2.0474660985948265,0.4202913042502111,0.6200833136084839,0.404375,0.1976899500474979,0.001210183467326324,18.754176551608094,19.20644072299573,2.0401030997289986,0.18567085911482703,,,,,,,,,,,,,,
W1_main,0,5,201,250,50,-2.825429534395218,-2.738251210841506,1e-16,0.0,0.001827043085972536,0.003654613675939632,0.013800000000000002,-0.09905428767204282,0.17603176749145547,-0.28226171457900395,2.047845346682701,0.40477201673583196,0.6280481007859635,0.3984375,0.20221877091980184,0.001212162440733868,19.125952959549444,19.179915380155414,2.1354574723834436,0.18629782294694747,,,,,,,,,,,,,,
W1_main,0,6,251,300,50,-2.713449741297034,-2.6295822537224156,1e-16,0.0,0.002346484805304594,0.003472086866107114,0.0126,-0.09127199500799175,0.17198102055585196,-0.27015569131800643,2.03911306882199,0.4234644493778804,0.6355869435396744,0.406875,0.1822746473784765,0.0026243661100803922,18.914423581025904,19.08376162215645,2.1687654252137962,0.18765100284187727,,,,,,,,,,,,,,
W1_main,0,7,301,350,50,-2.7783714908068675,-2.6683641591277794,1e-16,0.0,0.0021460302572819476,0.0037404312908687998,0.0146,-0.09516627997159954,0.18797519925820227,-0.3077311060100346,2.0527371521476736,0.41112203753325866,0.6223694583297765,0.39875,0.21993362276132597,0.003055380280822102,19.03757568838314,19.069049558249343,2.235703473975164,0.18740889338194594,,,,,,,,,,,,,,
W1_main,0,8,351,400,50,-2.7296379081084465,-2.628891506788411,1e-16,0.0,0.0023502198673463997,0.00355736549196427,0.011200000000000002,-0.10047290749847886,0.18942982913297293,-0.31967829200099684,2.0549039350802296,0.40471996826565315,0.6146040271315724,0.3890625,0.22676892069230065,0.001006060606060606,19.224346152178118,19.071133498343237,2.326697602227881,0.1868696245947122,,,,,,,,,,,,,,
W1_main,0,9,401,450,50,-2.81837125127305,-2.702521272473006,1e-16,0.0,0.001983712488887976,0.004141122454727976,0.009200000000000002,-0.1088819961249828,0.19578587849275716,-0.34290413969818834,2.063880998370901,0.4097864521762059,0.6113417986454442,0.3815625,0.23184386554371822,0.001006101834673262,19.300752048252885,19.060909120572088,2.4488382843290863,0.1866922744821666,,,,,,,,,,,,,,
W1_main,0,10,451,500,50,-2.732761283175461,-2.6287502766652473,1e-16,0.0,0.0023509842699132514,0.00307549870981455,0.0158,-0.09462038770318028,0.183961660578079,-0.31163518098849313,2.0554959787540237,0.4073647045943416,0.6237622186716181,0.3875,0.21004485694308958,0.0020348446063836283,19.188612033863397,19.02840506589908,2.567824812042765,0.18807328345663404,,,,,,,,,,,,,,
