quantity,k,level,n,mean,sd,lo,hi,sign
R_C,1,0.975,10,0.037310416666666665,0.01863216626156941,0.02149031043685995,0.05313052289647338,+
R_C,1,0.95,10,0.037310416666666665,0.01863216626156941,0.02398176785826132,0.050639065475072007,+
R_R,1,0.975,10,0.021755208333333335,0.02056987011549385,0.004289846238983444,0.039220570427683225,+
R_R,1,0.95,10,0.021755208333333335,0.02056987011549385,0.007040409691297373,0.0364700069753693,+
D,1,0.975,10,0.015555208333333334,0.03222868860597944,-0.011809364858866692,0.04291978152553336,0
D,1,0.95,10,0.015555208333333334,0.03222868860597944,-0.0074998066313287474,0.03861022329799542,0
R_T2,1,0.975,10,0.11198645833333332,0.04382181937183215,0.07477844784688159,0.14919446881978504,+
R_T2,1,0.95,10,0.11198645833333332,0.04382181937183215,0.08063821721349873,0.1433346994531679,+
R_C_minus_R_T2,1,0.975,10,-0.07467604166666666,0.026265689870275572,-0.09697758181575707,-0.052374501517576263,-
R_C_minus_R_T2,1,0.95,10,-0.07467604166666666,0.026265689870275572,-0.09346538430544928,-0.055886699027884054,-
TE,1,0.975,10,0.639525,0.021839000470509733,0.620982051072538,0.658067948927462,+
TE,1,0.95,10,0.639525,0.021839000470509733,0.6239023201939266,0.6551476798060735,+
L_S,1,0.975,10,0.6108802083333333,0.020795778796438118,0.5932230328298177,0.628537383836849,+
L_S,1,0.95,10,0.6108802083333333,0.020795778796438118,0.5960038043562652,0.6257566123104015,+
L_S_fix,1,0.975,10,0.5285968750000001,0.04769283572128764,0.48810208137701006,0.5690916686229901,+
L_S_fix,1,0.95,10,0.5285968750000001,0.04769283572128764,0.49447947560145755,0.5627142743985426,+
G_R,1,0.975,10,0.6768447916666667,0.022139829598243864,0.6580464162530429,0.6956431670802904,+
G_R,1,0.95,10,0.6768447916666667,0.022139829598243864,0.6610069116665516,0.6926826716667818,+
G_R_fix,1,0.975,10,0.749715625,0.025445957834397837,0.7281100988143696,0.7713211511856304,+
G_R_fix,1,0.95,10,0.749715625,0.025445957834397837,0.7315126833341279,0.7679185666658721,+
M_C,1,0.975,10,0.08228333333333333,0.030983988874109254,0.055975603543342176,0.10859106312332449,+
M_C,1,0.95,10,0.08228333333333333,0.030983988874109254,0.060118722917724285,0.10444794374894238,+
P_C,1,0.975,10,-0.012864583333333332,0.0052105527678553394,-0.017288733329971544,-0.00844043333669512,-
P_C,1,0.95,10,-0.012864583333333332,0.0052105527678553394,-0.016591988239742665,-0.009137178426924,-
P_R,1,0.975,10,0.00879270833333332,0.0027445207496842807,0.006462404427690903,0.011123012238975738,+
P_R,1,0.95,10,0.00879270833333332,0.0027445207496842807,0.006829396461467173,0.010756020205199468,+
P_N,1,0.975,10,0.052908333333333335,0.02114288932251977,0.03495643496619548,0.07086023170047119,+
P_N,1,0.95,10,0.052908333333333335,0.02114288932251977,0.03778362144429761,0.06803304522236905,+
P_F,1,0.975,10,0.057723958333333304,0.010675314611856368,0.04865981577335004,0.06678810089331658,+
P_F,1,0.95,10,0.057723958333333304,0.010675314611856368,0.050087298302333425,0.06536061836433318,+
R_C,2,0.975,10,0.03444270833333333,0.01133289849936859,0.02482022774601559,0.04406518892065107,+
R_C,2,0.95,10,0.03444270833333333,0.01133289849936859,0.026335641127146613,0.042549775539520045,+
R_R,2,0.975,10,-0.0454,0.02487838920859222,-0.06652361786499292,-0.02427638213500708,-
R_R,2,0.95,10,-0.0454,0.02487838920859222,-0.06319692752978989,-0.02760307247021011,-
D,2,0.975,10,0.07984270833333333,0.030184620502220018,0.0542137022291714,0.10547171443749526,+
D,2,0.95,10,0.07984270833333333,0.030184620502220018,0.05824993160296969,0.10143548506369697,+
R_T2,2,0.975,10,0.08119479166666667,0.021807025146205455,0.06267899218710697,0.09971059114622637,+
R_T2,2,0.95,10,0.08119479166666667,0.021807025146205455,0.06559498562965493,0.0967945977036784,+
R_C_minus_R_T2,2,0.975,10,-0.04675208333333335,0.02258892151033332,-0.06593177145404992,-0.027572395212616767,-
R_C_minus_R_T2,2,0.95,10,-0.04675208333333335,0.02258892151033332,-0.06291122433417722,-0.030592942332489482,-
TE,2,0.975,10,0.7277864583333333,0.011689716864505277,0.7178610121991241,0.7377119044675425,+
TE,2,0.95,10,0.7277864583333333,0.011689716864505277,0.719424138645469,0.7361487780211977,+
