quantity,k,seed,value
R_C,1,0,0.023979166666666663
R_C,1,1,0.047468750000000004
R_C,1,2,0.0408125
R_C,1,3,0.03080208333333334
R_C,1,4,0.021895833333333337
R_C,1,5,0.013781249999999995
R_C,1,6,0.08048958333333334
R_C,1,7,0.04733333333333334
R_C,1,8,0.03351041666666668
R_C,1,9,0.033031249999999984
R_R,1,0,0.05223958333333331
R_R,1,1,0.005427083333333332
R_R,1,2,0.03821875000000001
R_R,1,3,0.0074166666666666825
R_R,1,4,-0.0056354166666666705
R_R,1,5,0.034322916666666675
R_R,1,6,0.0020312499999999845
R_R,1,7,0.02327083333333335
R_R,1,8,0.01147916666666668
R_R,1,9,0.04878125
D,1,0,-0.02826041666666665
D,1,1,0.04204166666666667
D,1,2,0.002593749999999992
D,1,3,0.02338541666666666
D,1,4,0.027531250000000007
D,1,5,-0.02054166666666668
D,1,6,0.07845833333333335
D,1,7,0.024062499999999987
D,1,8,0.022031250000000002
D,1,9,-0.015750000000000014
R_T2,1,0,0.07634374999999999
R_T2,1,1,0.15064583333333334
R_T2,1,2,0.11097916666666666
R_T2,1,3,0.08785416666666665
R_T2,1,4,0.08738541666666666
R_T2,1,5,0.04377083333333334
R_T2,1,6,0.19826041666666666
R_T2,1,7,0.14653124999999997
R_T2,1,8,0.10569791666666667
R_T2,1,9,0.11239583333333333
R_C_minus_R_T2,1,0,-0.052364583333333325
R_C_minus_R_T2,1,1,-0.10317708333333334
R_C_minus_R_T2,1,2,-0.07016666666666665
R_C_minus_R_T2,1,3,-0.05705208333333331
R_C_minus_R_T2,1,4,-0.06548958333333332
R_C_minus_R_T2,1,5,-0.029989583333333347
R_C_minus_R_T2,1,6,-0.11777083333333332
R_C_minus_R_T2,1,7,-0.09919791666666664
R_C_minus_R_T2,1,8,-0.07218749999999999
R_C_minus_R_T2,1,9,-0.07936458333333335
TE,1,0,0.6148958333333334
TE,1,1,0.6420208333333334
TE,1,2,0.6351041666666666
TE,1,3,0.6518958333333333
TE,1,4,0.6659999999999999
TE,1,5,0.6424687499999999
TE,1,6,0.6165625
TE,1,7,0.6530625
TE,1,8,0.6687916666666667
TE,1,9,0.6044479166666668
L_S,1,0,0.6105104166666667
L_S,1,1,0.5901875000000001
L_S,1,2,0.6062083333333333
L_S,1,3,0.627625
L_S,1,4,0.6230520833333333
L_S,1,5,0.6400833333333333
L_S,1,6,0.5656875
L_S,1,7,0.6086458333333333
L_S,1,8,0.6186875
L_S,1,9,0.6181145833333334
L_S_fix,1,0,0.5478020833333334
L_S_fix,1,1,0.4873854166666667
L_S_fix,1,2,0.5627291666666666
