block,name,endpoint,window,label,n,estimate_pt_or_log,ci95_lo,ci95_hi,ci_m_lo,ci_m_hi,p,p_holm,margin
F1,C1,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.40755000000000124,-0.49688827400386515,-0.31793627396940394,-0.5177308106933585,-0.2942473996703321,1.9073486328125e-06,1.1444091796875e-05,0.20059421527694596
F1,C1,Alate,t101-120,LOWER,20,-0.5728499999999975,-0.6372675405262478,-0.5083674569101487,-0.6539081968074991,-0.49166179806529875,1.9073486328125e-06,1.1444091796875e-05,0.12390681875388973
F1,C1,Abase,t16-30,LOWER,20,-0.9803999999999988,-1.0664183496483555,-0.894294410646116,-1.088141036324259,-0.8716120872094298,1.9073486328125e-06,1.1444091796875e-05,0.1577502439581773
F1,C1,Gap,fresh-seq t101-120,GAP_SMALLER,20,-0.9007750000000001,-0.971205165883545,-0.8304215554300538,-0.9890045106384279,-0.812392046734375,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C1,Afresh,fresh t101-120,LOWER,20,-1.473624999999999,-1.5252384239707015,-1.4221883343305661,-1.5390255714697245,-1.4089314617353517,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C2,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.24025000000000246,-0.3159376479749823,-0.16449985190283023,-0.33543768609900687,-0.14424981231249706,9.5367431640625e-06,2.86102294921875e-05,0.20059421527694596
F1,C2,Alate,t101-120,LOWER,20,-0.7723499999999994,-0.82221806630835,-0.722398681494139,-0.8351221569223642,-0.7089950776950662,1.9073486328125e-06,1.1444091796875e-05,0.12390681875388973
F1,C2,Abase,t16-30,LOWER,20,-1.012600000000002,-1.0805163749930458,-0.9456919274989012,-1.09830571181519,-0.9298471740540767,1.9073486328125e-06,1.1444091796875e-05,0.1577502439581773
F1,C2,Gap,fresh-seq t101-120,GAP_SMALLER,20,-0.6613749999999997,-0.7344378814848629,-0.5878571005699462,-0.7528986095468746,-0.5680963212359618,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C2,Afresh,fresh t101-120,LOWER,20,-1.4337249999999977,-1.5076684874326134,-1.36091042077246,-1.5277066080727495,-1.342777332728393,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C3,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.4611500000000014,-0.5505671477384619,-0.3681492303095146,-0.5707394713071257,-0.3445088854969546,3.814697265625e-06,1.9073486328125e-05,0.20059421527694596
F1,C3,Alate,t101-120,LOWER,20,-0.622949999999998,-0.679144500469599,-0.5668881902044693,-0.693541438606439,-0.5536191227972435,1.9073486328125e-06,1.1444091796875e-05,0.12390681875388973
F1,C3,Abase,t16-30,LOWER,20,-1.0840999999999994,-1.1696303124167895,-0.9977013595383688,-1.1899491886660574,-0.9747774991545797,1.9073486328125e-06,1.1444091796875e-05,0.1577502439581773
F1,C3,Gap,fresh-seq t101-120,GAP_SMALLER,20,-0.1965249999999996,-0.2644640383424066,-0.1285242549924315,-0.28223555790881283,-0.11099956208666983,1.1444091796875e-05,2.288818359375e-05,0.1540104696774183
F1,C3,Afresh,fresh t101-120,LOWER,20,-0.8194749999999985,-0.8771293241237775,-0.7621037576640612,-0.8927931830510235,-0.7476665864841298,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
F1,C4,D,mean t16-30 - mean t101-120,LESS_DECLINE,20,-0.17730833333333465,-0.27002720943587066,-0.0829722675313358,-0.2919491142508114,-0.05754645170089229,0.0013866424560546875,0.002773284912109375,0.20059421527694596
F1,C4,Alate,t101-120,LOWER,20,-0.1588249999999995,-0.2324243002889408,-0.08644347510363637,-0.25221315041833553,-0.07000350730383151,5.7220458984375e-05,5.7220458984375e-05,0.12390681875388973
F1,C4,Abase,t16-30,LOWER,20,-0.33613333333333417,-0.4151176141227668,-0.25682719320898123,-0.4355234959567115,-0.23545573337027575,1.9073486328125e-06,1.1444091796875e-05,0.1577502439581773
F1,C4,Gap,fresh-seq t101-120,GAP_SMALLER,20,-1.11525,-1.213949819814819,-1.0144649727243045,-1.2361920327308349,-0.9879988780285647,1.9073486328125e-06,1.1444091796875e-05,0.1540104696774183
