arm,mode,seed,cond,slot,lr,task,iv,steps,complete_task,online_acc,memo_acc,acc,dead_frac_l1,zeroout_l1,zbar_l1,zsd_l1,zbar_min_l1,mob_l1,eff_rank_l1,dead_frac_l2,zeroout_l2,zbar_l2,zsd_l2,zbar_min_l2,mob_l2,eff_rank_l2,w_norm_l1,w_norm_l2,w_norm_l3
ELU,base,1001,raw,0,0.001,1,base,30000,True,0.8158145833,0.4399999976,0.4399999976,0.04999999702,0,-42.77713013,12.92579556,-93.54150391,1.973207191e-06,23.92191314,0,0,-4.432944298,3.652172804,-15.83056831,0.1392509192,54.42952312,2.656015873,1.631495595,2.218726397
ELU,base,1002,raw,1,0.001,1,base,30000,True,0.785975,1,1,0,0,-49.66491699,14.54763699,-98.6254425,0.0008356066537,24.74893331,0,0,-2.131275177,6.184574127,-7.416814804,0.4221197665,64.81652561,3.124976635,1.646953821,2.586444855
ELU,base,1003,raw,2,0.001,1,base,30000,True,0.8290541667,1,1,0.03999999911,0,-44.34693527,13.12274837,-76.71269989,3.841790021e-05,27.50751684,0,0,-1.399330497,5.112693787,-10.58137512,0.4578247666,66.8626905,2.811762333,1.500019908,2.395978689
ELU,base,1004,raw,3,0.001,1,base,30000,True,0.8273166667,0.9416666627,0.9416666627,0,0,-42.72883987,14.41439056,-77.90161896,0.0008337009931,33.86409077,0,0,-2.856119394,6.037730694,-9.300478935,0.3415065706,72.55322042,3.356905699,1.629906654,2.186176062
ELU,base,1005,raw,4,0.001,1,base,30000,True,0.80325625,0.9916666746,0.9916666746,0.009999999776,0,-44.01151657,14.7920599,-98.73712158,0.0008366502589,31.99364039,0,0,-2.961399794,5.985504627,-8.32609272,0.3393597603,70.30933506,3.954268932,1.614499688,2.217308521
ELU,base,1001,raw,0,0.001,2,base,30000,True,0.6155479167,0.9075000286,0.9075000286,0.3999999762,0,-48.51764297,15.46675873,-150.2228546,2.888952411e-09,28.11820162,0,0,-11.10810757,9.336518288,-24.72756958,0.1096027419,63.2649039,3.65997076,2.395662308,3.252361059
ELU,base,1002,raw,1,0.001,2,base,30000,True,0.6275895833,0.8983333707,0.8983333707,0,0,-71.74616241,23.10270309,-206.3947601,1.24952544e-06,23.11055501,0,0,-13.06606293,9.838205338,-44.26948929,0.08919859678,62.41868295,5.199623108,2.394537926,3.812245369
ELU,base,1003,raw,2,0.001,2,base,30000,True,0.7128645833,0.8799999952,0.8799999952,0.1799999923,0,-53.73277664,16.90171242,-116.1523056,6.87780755e-07,24.2688363,0,0,-14.61563015,10.728508,-39.19424438,0.08813793957,64.77078706,4.051192284,2.221255064,3.74292779
ELU,base,1004,raw,3,0.001,2,base,30000,True,0.6488791667,0.8791666627,0.8791666627,0,0,-67.54266357,22.74448967,-147.4770203,4.792507389e-05,32.05696842,0,0,-11.12171555,9.525501251,-36.69299698,0.1149904504,65.00243131,5.807867527,2.435917616,3.170126438
ELU,base,1005,raw,4,0.001,2,base,30000,True,0.6316458333,0.9150000215,0.9150000215,0.0700000003,0,-65.74609375,20.6556778,-126.2155609,1.808188972e-05,29.81844185,0,0,-10.4131546,8.739192009,-27.49580193,0.103698425,64.16474636,5.737307549,2.471552849,3.505002499
