seed,task,column,R10,R20,difference
0,1,online_acc,0.262475,0.22545625,0.03701875000000002
0,1,memo_acc,0.1433333308,0.1508333385,-0.007500007700000005
0,1,acc,0.1433333308,0.1508333385,-0.007500007700000005
0,1,zbar_l1,-6.966255665,-6.966256618,9.529999998036942e-07
0,1,zsd_l1,1.848003387,1.848003864,-4.769999999432173e-07
0,1,zbar_min_l1,-34.96039581,-34.96030045,-9.536000000309741e-05
0,1,eff_rank_l1,1.342183857,1.544280422,-0.20209656499999995
0,1,zbar_l2,-0.1170802861,-0.0906880796,-0.0263922065
0,1,zsd_l2,0.2613555193,0.2419812679,0.019374251400000014
0,1,zbar_min_l2,-1.019875169,-0.9437229633,-0.07615220570000003
0,1,mob_l2,0.03666666895,0.02916666679,0.0075000021600000015
0,1,eff_rank_l2,3.617884428,3.949437645,-0.3315532170000002
0,1,w_norm_l1,0.6640157104,0.66401577,-5.96000000463448e-08
0,1,w_norm_l2,0.7609305978,0.7024787068,0.058451891000000034
0,1,w_norm_l3,5.108272076,4.447325706,0.6609463700000004
0,2,online_acc,0.1040854167,0.1043354167,-0.0002500000000000002
0,2,zbar_l1,-6.966255665,-6.966256618,9.529999998036942e-07
0,2,zsd_l1,1.848003387,1.848003864,-4.769999999432173e-07
0,2,zbar_min_l1,-56.98672104,-58.24822998,1.2615089399999988
0,2,dead_frac_l2,0.7799999714,0.7699999809,0.0099999905
0,2,zeroout_l2,0.7799999714,0.7699999809,0.0099999905
0,2,zbar_l2,-0.09600716829,-0.06962106377,-0.026386104519999995
0,2,zbar_min_l2,-1.119050264,-1.023132801,-0.09591746299999993
0,2,eff_rank_l2,1.000001074,1.000000897,1.7699999999010174e-07
0,2,w_norm_l1,0.6640157104,0.66401577,-5.96000000463448e-08
0,2,w_norm_l2,0.7406784892,0.6935367584,0.04714173080000006
0,2,w_norm_l3,5.007245064,4.398111343,0.6091337210000001
1,1,online_acc,0.1786875,0.1764270833,0.0022604166999999897
1,1,memo_acc,0.1808333397,0.2233333439,-0.0425000042
1,1,acc,0.1808333397,0.2233333439,-0.0425000042
1,1,zbar_l1,-6.428249836,-6.428248882,-9.539999998864346e-07
1,1,zsd_l1,1.804477453,1.804477334,1.1900000007614153e-07
1,1,zbar_min_l1,-21.00889397,-20.64192772,-0.3669662499999973
1,1,eff_rank_l1,1.880701931,1.974720131,-0.09401820000000005
1,1,dead_frac_l2,0.3100000024,0.2800000012,0.03000000119999996
1,1,zeroout_l2,0.3100000024,0.2800000012,0.03000000119999996
1,1,zbar_l2,-0.116597347,-0.1306724399,0.014075092899999989
1,1,zsd_l2,0.5314691067,0.6470183134,-0.11554920670000002
1,1,zbar_min_l2,-1.763198137,-1.79315877,0.02996063299999996
1,1,mob_l2,0.04416666925,0.05083333328,-0.006666664029999998
