run_id,step,width,kappa,lr,c,seed,cos_Eg_u_mean,cos_e1W_e1Sig,cos_e1W_e1M2,cos_e1W_e1Sig_pca,cos_e1W_mu,cos_e1W_e1Sig_signed,top1_frac_alive,w_norm_mean,srank_alive,e1_stability,n_alive
B_w5_K10000_c2.0_lr0.001_s0,0,5,1,0.001,2.0,0,0.14519965211152036,,0.02873337812936271,,0.02873337812936268,,0.4121800376239107,1.4188731843418805,2.4261242872524558,,5
B_w5_K10000_c2.0_lr0.001_s0,10000,5,1,0.001,2.0,0,0.049802272016452286,,0.0240678414290302,,0.024067841429030158,,0.3984488923345671,1.3408850879005059,2.509732161986601,,5
B_w5_K10000_c2.0_lr0.001_s0,50000,5,1,0.001,2.0,0,0.09604353693177554,,0.052295675985097455,,0.05229567598509746,,0.3742208417237359,1.2972144184072305,2.672218883891663,,5
B_w5_K10000_c2.0_lr0.001_s0,100000,5,1,0.001,2.0,0,0.2838901406045837,,0.0583520176191169,,0.0583520176191169,,0.3552920226921678,1.2738549250419378,2.8145861323388637,,5
B_w5_K10000_c2.0_lr0.001_s0,300000,5,1,0.001,2.0,0,0.019081593743598836,,0.27794845369114995,,0.27794845369114984,,0.3699113479806761,1.2092236599185004,2.7033504256058674,,5
B_w5_K10000_c2.0_lr0.001_s0,1000000,5,1,0.001,2.0,0,0.03518167859490473,,0.5122386561029451,,0.512238656102945,,0.3431035696253103,1.0651783175318743,2.9145718334905695,,5
B_w5_K10000_c2.0_lr0.001_s1,0,5,1,0.001,2.0,1,0.07188393111929042,,0.4987379886013328,,0.4987379886013327,,0.42684262285520325,1.3730669070096322,2.342783842229426,,5
B_w5_K10000_c2.0_lr0.001_s1,10000,5,1,0.001,2.0,1,0.02303143346346738,,0.4965592342838088,,0.49655923428380877,,0.3808796249994886,1.3537678194653786,2.6255014297531463,,5
B_w5_K10000_c2.0_lr0.001_s1,50000,5,1,0.001,2.0,1,0.17073773576323595,,0.08073452134049451,,0.08073452134049452,,0.32160288382569957,1.2011482020402604,3.1094248537335063,,5
B_w5_K10000_c2.0_lr0.001_s1,100000,5,1,0.001,2.0,1,0.32570525960248214,,0.015591425859325634,,0.01559142585932563,,0.38282907741304945,1.2136694314773948,2.6121317815184133,,5
B_w5_K10000_c2.0_lr0.001_s1,300000,5,1,0.001,2.0,1,0.09264390289748066,,0.4521759344556481,,0.45217593445564824,,0.3072160621366085,1.063941221170752,3.2550381417080128,,5
B_w5_K10000_c2.0_lr0.001_s1,1000000,5,1,0.001,2.0,1,0.03877341158795409,,0.06011238443118975,,0.06011238443118977,,0.34903202162306024,0.8113781751519065,2.865066635862876,,5
B_w5_K10000_c2.0_lr0.001_s2,0,5,1,0.001,2.0,2,0.05013002534711693,,0.036524313515204576,,0.03652431351520462,,0.3702578478109674,1.4817115197766602,2.7008205387466746,,5
B_w5_K10000_c2.0_lr0.001_s2,10000,5,1,0.001,2.0,2,0.061812851226828204,,0.1424636537033964,,0.14246365370339648,,0.3695564506733294,1.3868799722871328,2.7059465426134652,,5
B_w5_K10000_c2.0_lr0.001_s2,50000,5,1,0.001,2.0,2,0.029497553659288717,,0.19111936612872915,,0.19111936612872915,,0.37925759532807674,1.3705527951825835,2.6367303181758293,,5
B_w5_K10000_c2.0_lr0.001_s2,100000,5,1,0.001,2.0,2,0.13898151078634707,,0.1855805412969288,,0.18558054129692883,,0.33866772546668106,1.333297402693068,2.952746674109581,,5
B_w5_K10000_c2.0_lr0.001_s2,300000,5,1,0.001,2.0,2,0.04921235219463205,,0.1691050158256591,,0.1691050158256591,,0.3219907377590112,1.1109345076427164,3.1056793961211193,,5
