step,run_id,dead_frac,dup_frac,sat_frac,eff_rank,stable_rank,wcos_mean,sign_match_mean,sign_clone_frac,eval_loss
0,B_w100_K10000_c2.0_lr0.003_s0,0,0,0,67.9368,24.3122,0.174438,0.500317,0,1.51552
0,B_w100_K10000_c2.0_lr0.003_s1,0,0,0,66.2462,23.3311,0.17665,0.500904,0,1.80872
0,B_w100_K10000_c2.0_lr0.003_s2,0,0,0,66.4454,24.6338,0.174291,0.498874,0,2.08234
0,B_w100_K10000_c2.0_lr0.003_s3,0,0,0,66.609,23.6774,0.176682,0.497258,0,1.29748
0,B_w100_K10000_c2.0_lr0.003_s4,0,0,0,67.1321,24.4248,0.175735,0.50077,0,1.87799
0,B_w100_K10000_c2.0_lr0.001_s0,0,0,0,65.8913,23.6123,0.176424,0.498105,0.00020202,5.53232
0,B_w100_K10000_c2.0_lr0.001_s1,0,0,0,66.4767,24.5639,0.174398,0.500394,0,1.81792
0,B_w100_K10000_c2.0_lr0.001_s2,0,0,0,65.3811,24.0094,0.173756,0.500721,0,1.47052
0,B_w100_K10000_c2.0_lr0.001_s3,0,0,0,64.7489,23.9485,0.175115,0.498721,0,3.25851
0,B_w100_K10000_c2.0_lr0.001_s4,0,0,0,66.8085,24.4456,0.175886,0.500558,0,2.63288
0,B_w100_K10000_c2.0_k4_lr0.003_s0,0,0,0,67.5526,23.3457,0.172803,0.501866,0,5.28885
0,B_w100_K10000_c2.0_k4_lr0.003_s1,0,0,0,66.6425,20.1056,0.172689,0.499721,0,3.77325
0,B_w100_K10000_c2.0_k4_lr0.003_s2,0,0,0,65.4331,20.9442,0.177513,0.496623,0,1.17661
0,B_w100_K10000_c2.0_k4_lr0.003_s3,0,0,0,66.2954,19.2879,0.175543,0.500548,0,2.07523
0,B_w100_K10000_c2.0_k4_lr0.003_s4,0,0,0,65.9062,18.0132,0.172013,0.5,0,0.95801
0,B_w100_K10000_c2.0_k4_lr0.001_s0,0,0,0,65.8644,20.1416,0.174328,0.498105,0,2.18776
0,B_w100_K10000_c2.0_k4_lr0.001_s1,0,0,0,65.6631,20.1098,0.175483,0.499375,0,3.59402
0,B_w100_K10000_c2.0_k4_lr0.001_s2,0,0,0,67.5906,20.2145,0.177538,0.500029,0,3.03647
0,B_w100_K10000_c2.0_k4_lr0.001_s3,0,0,0,66.9428,21.5511,0.175167,0.497547,0,2.43055
0,B_w100_K10000_c2.0_k4_lr0.001_s4,0,0,0,66.1011,20.4885,0.176121,0.499644,0,3.00608
0,B_w100_K10000_c2.0_k16_lr0.003_s0,0,0,0,60.1252,8.19013,0.178808,0.501077,0,3.15462
0,B_w100_K10000_c2.0_k16_lr0.003_s1,0,0,0,60.8862,8.06272,0.174453,0.497595,0,2.53238
0,B_w100_K10000_c2.0_k16_lr0.003_s2,0,0,0,61.5791,8.70812,0.175054,0.499904,0,2.01947
0,B_w100_K10000_c2.0_k16_lr0.003_s3,0,0,0,60.8014,7.46594,0.178403,0.500577,0,2.87383
0,B_w100_K10000_c2.0_k16_lr0.003_s4,0,0,0,60.3995,6.22004,0.177448,0.500962,0,3.13082
0,B_w100_K10000_c2.0_k16_lr0.001_s0,0,0,0,59.8691,6.41761,0.173879,0.500346,0,3.46265
0,B_w100_K10000_c2.0_k16_lr0.001_s1,0,0,0,59.6262,7.68453,0.178179,0.500491,0,3.00528
0,B_w100_K10000_c2.0_k16_lr0.001_s2,0,0,0,60.7444,7.09114,0.175175,0.499971,0,7.06882
0,B_w100_K10000_c2.0_k16_lr0.001_s3,0,0,0,61.4387,8.63452,0.175135,0.498345,0,1.76519
0,B_w100_K10000_c2.0_k16_lr0.001_s4,0,0,0,61.7344,8.59101,0.177182,0.502799,0,3.3892
10000,B_w100_K10000_c2.0_lr0.003_s0,0,0,0,69.6932,25.5428,0.173915,0.500298,0,0.113461
10000,B_w100_K10000_c2.0_lr0.003_s1,0,0,0,68.7318,24.6932,0.176104,0.499298,0,0.115381
10000,B_w100_K10000_c2.0_lr0.003_s2,0,0,0,68.4041,25.6211,0.174855,0.49823,0,0.111019
10000,B_w100_K10000_c2.0_lr0.003_s3,0,0,0,68.8155,24.8463,0.176714,0.498114,0,0.0906655
10000,B_w100_K10000_c2.0_lr0.003_s4,0,0,0,68.829,25.7521,0.173928,0.500346,0,0.0985401
10000,B_w100_K10000_c2.0_lr0.001_s0,0,0,0.01,65.672,23.7913,0.176061,0.49824,0.00020202,0.110867
10000,B_w100_K10000_c2.0_lr0.001_s1,0,0,0,66.4884,24.5644,0.174933,0.500202,0,0.14944
10000,B_w100_K10000_c2.0_lr0.001_s2,0,0,0,65.5893,24.1785,0.173654,0.499981,0,0.104116
10000,B_w100_K10000_c2.0_lr0.001_s3,0,0,0,64.6987,24.1367,0.17496,0.498846,0,0.134691
10000,B_w100_K10000_c2.0_lr0.001_s4,0,0,0,66.5471,24.5223,0.175451,0.500298,0,0.129953
10000,B_w100_K10000_c2.0_k4_lr0.003_s0,0,0,0,68.8423,23.5211,0.172843,0.500577,0,0.115366
10000,B_w100_K10000_c2.0_k4_lr0.003_s1,0,0,0,69.222,22.5531,0.172909,0.499692,0,0.107071
10000,B_w100_K10000_c2.0_k4_lr0.003_s2,0,0,0,68.6185,22.7016,0.176575,0.497258,0,0.123091
10000,B_w100_K10000_c2.0_k4_lr0.003_s3,0,0,0,68.7778,21.297,0.176136,0.499019,0,0.255973
10000,B_w100_K10000_c2.0_k4_lr0.003_s4,0,0,0,68.09,19.8007,0.171573,0.500664,0,0.0989191
10000,B_w100_K10000_c2.0_k4_lr0.001_s0,0,0,0,66.0427,20.42,0.174338,0.498172,0,0.148832
10000,B_w100_K10000_c2.0_k4_lr0.001_s1,0,0,0,65.5837,20.233,0.175014,0.499817,0,0.125547
10000,B_w100_K10000_c2.0_k4_lr0.001_s2,0,0,0,67.7595,20.2473,0.177351,0.500087,0,0.157638
10000,B_w100_K10000_c2.0_k4_lr0.001_s3,0,0,0,66.934,21.6794,0.17457,0.497451,0,0.12134
10000,B_w100_K10000_c2.0_k4_lr0.001_s4,0,0,0,66.2038,20.35,0.175719,0.499529,0,0.139251
10000,B_w100_K10000_c2.0_k16_lr0.003_s0,0,0,0,67.5586,17.8064,0.179193,0.499221,0,0.124177
10000,B_w100_K10000_c2.0_k16_lr0.003_s1,0,0,0,67.1039,16.5606,0.175514,0.49722,0,0.106334
10000,B_w100_K10000_c2.0_k16_lr0.003_s2,0,0,0,67.3175,17.2822,0.175841,0.499471,0,0.105611
10000,B_w100_K10000_c2.0_k16_lr0.003_s3,0,0,0,68.5575,16.8148,0.17797,0.500337,0,0.117264
10000,B_w100_K10000_c2.0_k16_lr0.003_s4,0,0,0,67.9872,13.5564,0.178354,0.50101,0.00020202,0.124502
10000,B_w100_K10000_c2.0_k16_lr0.001_s0,0,0,0,60.3565,6.71847,0.173917,0.50001,0,0.170469
10000,B_w100_K10000_c2.0_k16_lr0.001_s1,0,0,0,59.9497,7.7347,0.177994,0.500664,0,0.183475
10000,B_w100_K10000_c2.0_k16_lr0.001_s2,0,0,0,61.0094,7.23566,0.174898,0.499894,0,0.129805
10000,B_w100_K10000_c2.0_k16_lr0.001_s3,0,0,0,61.771,8.76048,0.174658,0.498432,0,0.132598
10000,B_w100_K10000_c2.0_k16_lr0.001_s4,0,0,0,61.8337,8.43569,0.176871,0.50279,0,0.150148
20000,B_w100_K10000_c2.0_lr0.003_s0,0,0,0,70.692,26.4994,0.174167,0.50051,0,0.0971329
20000,B_w100_K10000_c2.0_lr0.003_s1,0,0,0,70.2323,25.6733,0.175177,0.49975,0,0.0915469
20000,B_w100_K10000_c2.0_lr0.003_s2,0,0,0,70.1854,26.7414,0.173745,0.499096,0,0.0959566
20000,B_w100_K10000_c2.0_lr0.003_s3,0,0,0,70.2458,25.9056,0.176815,0.498663,0,0.091671
20000,B_w100_K10000_c2.0_lr0.003_s4,0,0,0,70.9227,27.4749,0.171577,0.499711,0,0.106356
20000,B_w100_K10000_c2.0_lr0.001_s0,0,0,0,65.7161,23.8967,0.175979,0.498586,0.00020202,0.129684
20000,B_w100_K10000_c2.0_lr0.001_s1,0,0,0,66.4895,24.5338,0.174749,0.499865,0,0.146124
20000,B_w100_K10000_c2.0_lr0.001_s2,0,0,0,65.4613,24.3013,0.173344,0.500673,0,0.14454
20000,B_w100_K10000_c2.0_lr0.001_s3,0,0,0,65.106,24.2579,0.175125,0.498519,0,0.152267
20000,B_w100_K10000_c2.0_lr0.001_s4,0,0,0,66.618,24.589,0.175043,0.500058,0,0.108072
