run_id,ckpt,M,n_periods,noise_floor,snr_all,snr_W,snr_b,snr_v,snr_c
B_w100_K10000_c2.0_lr0.003_s0,0,500000,50.0,0.001414213445968926,0.2377515286207199,0.1451217234134674,0.27815085649490356,0.24541908502578735,0.37319332361221313
B_w100_K10000_c2.0_lr0.003_s1,0,500000,50.0,0.001414213445968926,0.32204264402389526,0.18583042919635773,0.3947453200817108,0.3308461606502533,0.5432493686676025
B_w100_K10000_c2.0_lr0.003_s2,0,500000,50.0,0.001414213445968926,0.33791524171829224,0.19055527448654175,0.4245794415473938,0.34748947620391846,0.592139482498169
B_w100_K10000_c2.0_lr0.003_s3,0,500000,50.0,0.001414213445968926,0.1949513703584671,0.12091463059186935,0.21548618376255035,0.20086704194545746,0.27179932594299316
B_w100_K10000_c2.0_lr0.003_s4,0,500000,50.0,0.001414213445968926,0.12866315245628357,0.09123586863279343,0.15216432511806488,0.13077746331691742,0.18246550858020782
B_w100_K10000_c2.0_lr0.001_s0,0,500000,50.0,0.001414213445968926,0.3567791283130646,0.2014194130897522,0.4478669762611389,0.37093451619148254,0.6135794520378113
B_w100_K10000_c2.0_lr0.001_s1,0,500000,50.0,0.001414213445968926,0.12016233801841736,0.09504331648349762,0.13409534096717834,0.1221621185541153,0.1692132204771042
B_w100_K10000_c2.0_lr0.001_s2,0,500000,50.0,0.001414213445968926,0.2166193425655365,0.12362530082464218,0.25866833329200745,0.2222835272550583,0.34701669216156006
B_w100_K10000_c2.0_lr0.001_s3,0,500000,50.0,0.001414213445968926,0.4299692213535309,0.23568551242351532,0.523536205291748,0.4437774121761322,0.7275989651679993
B_w100_K10000_c2.0_lr0.001_s4,0,500000,50.0,0.001414213445968926,0.21156983077526093,0.129175066947937,0.25405970215797424,0.21701398491859436,0.31694430112838745
B_w100_K10000_c2.0_k4_lr0.003_s0,0,500000,50.0,0.001414213445968926,0.3487111032009125,0.17431007325649261,0.41996514797210693,0.35959893465042114,0.6652588248252869
B_w100_K10000_c2.0_k4_lr0.003_s1,0,500000,50.0,0.001414213445968926,0.4464896321296692,0.22674326598644257,0.5792557001113892,0.46179649233818054,0.9274323582649231
B_w100_K10000_c2.0_k4_lr0.003_s2,0,500000,50.0,0.001414213445968926,0.5288524627685547,0.2632896304130554,0.7015408873558044,0.5520824193954468,1.1737091541290283
B_w100_K10000_c2.0_k4_lr0.003_s3,0,500000,50.0,0.001414213445968926,0.19905664026737213,0.12904907763004303,0.22325502336025238,0.20452630519866943,0.28210151195526123
B_w100_K10000_c2.0_k4_lr0.003_s4,0,500000,50.0,0.001414213445968926,0.41924288868904114,0.2338235080242157,0.5432108640670776,0.4310019314289093,0.7732943296432495
B_w100_K10000_c2.0_k4_lr0.001_s0,0,500000,50.0,0.001414213445968926,0.4776291251182556,0.23250266909599304,0.6029118895530701,0.4960842728614807,0.9860196113586426
B_w100_K10000_c2.0_k4_lr0.001_s1,0,500000,50.0,0.001414213445968926,0.1530400663614273,0.10888244211673737,0.16237853467464447,0.1570061594247818,0.20777061581611633
B_w100_K10000_c2.0_k4_lr0.001_s2,0,500000,50.0,0.001414213445968926,0.09500055015087128,0.0842013731598854,0.08713087439537048,0.09622081369161606,0.09869513660669327
B_w100_K10000_c2.0_k4_lr0.001_s3,0,500000,50.0,0.001414213445968926,0.4932500422000885,0.23073412477970123,0.6428285241127014,0.5131959319114685,1.142266035079956
B_w100_K10000_c2.0_k4_lr0.001_s4,0,500000,50.0,0.001414213445968926,0.2019137442111969,0.1419348269701004,0.23101204633712769,0.20619653165340424,0.3151650130748749
B_w100_K10000_c2.0_k16_lr0.003_s0,0,500000,50.0,0.001414213445968926,0.4191499650478363,0.23253221809864044,0.5610269904136658,0.4343004822731018,0.8427975177764893
B_w100_K10000_c2.0_k16_lr0.003_s1,0,500000,50.0,0.001414213445968926,0.10870471596717834,0.10318592190742493,0.09997657686471939,0.10937262326478958,0.10827264934778214
B_w100_K10000_c2.0_k16_lr0.003_s2,0,500000,50.0,0.001414213445968926,0.1455203890800476,0.1424267292022705,0.152871236205101,0.14583945274353027,0.14188629388809204
B_w100_K10000_c2.0_k16_lr0.003_s3,0,500000,50.0,0.001414213445968926,0.43210211396217346,0.23957990109920502,0.6069239377975464,0.44933030009269714,1.002071499824524
B_w100_K10000_c2.0_k16_lr0.003_s4,0,500000,50.0,0.001414213445968926,0.19653037190437317,0.19656100869178772,0.15414850413799286,0.19695226848125458,0.03703691437840462
B_w100_K10000_c2.0_k16_lr0.001_s0,0,500000,50.0,0.001414213445968926,0.2432616651058197,0.15201397240161896,0.28627240657806396,0.24940013885498047,0.40644991397857666
B_w100_K10000_c2.0_k16_lr0.001_s1,0,500000,50.0,0.001414213445968926,0.2899925112724304,0.16559317708015442,0.369788259267807,0.2997141182422638,0.5215201377868652
