exp,width,period,enc,c,kappa,lr,batch,seed,run_id
B,5,10000,std,2.0,1,0.003,1,0,B_w5_K10000_c2.0_lr0.003_s0
B,5,10000,std,2.0,1,0.003,1,1,B_w5_K10000_c2.0_lr0.003_s1
B,5,10000,std,2.0,1,0.003,1,2,B_w5_K10000_c2.0_lr0.003_s2
B,5,10000,std,2.0,1,0.003,1,3,B_w5_K10000_c2.0_lr0.003_s3
B,5,10000,std,2.0,1,0.003,1,4,B_w5_K10000_c2.0_lr0.003_s4
B,5,10000,std,2.0,1,0.001,1,0,B_w5_K10000_c2.0_lr0.001_s0
B,5,10000,std,2.0,1,0.001,1,1,B_w5_K10000_c2.0_lr0.001_s1
B,5,10000,std,2.0,1,0.001,1,2,B_w5_K10000_c2.0_lr0.001_s2
B,5,10000,std,2.0,1,0.001,1,3,B_w5_K10000_c2.0_lr0.001_s3
B,5,10000,std,2.0,1,0.001,1,4,B_w5_K10000_c2.0_lr0.001_s4
B,5,10000,std,2.0,4,0.003,1,0,B_w5_K10000_c2.0_k4_lr0.003_s0
B,5,10000,std,2.0,4,0.003,1,1,B_w5_K10000_c2.0_k4_lr0.003_s1
B,5,10000,std,2.0,4,0.003,1,2,B_w5_K10000_c2.0_k4_lr0.003_s2
B,5,10000,std,2.0,4,0.003,1,3,B_w5_K10000_c2.0_k4_lr0.003_s3
B,5,10000,std,2.0,4,0.003,1,4,B_w5_K10000_c2.0_k4_lr0.003_s4
B,5,10000,std,2.0,4,0.001,1,0,B_w5_K10000_c2.0_k4_lr0.001_s0
B,5,10000,std,2.0,4,0.001,1,1,B_w5_K10000_c2.0_k4_lr0.001_s1
B,5,10000,std,2.0,4,0.001,1,2,B_w5_K10000_c2.0_k4_lr0.001_s2
B,5,10000,std,2.0,4,0.001,1,3,B_w5_K10000_c2.0_k4_lr0.001_s3
B,5,10000,std,2.0,4,0.001,1,4,B_w5_K10000_c2.0_k4_lr0.001_s4
B,5,10000,std,2.0,16,0.003,1,0,B_w5_K10000_c2.0_k16_lr0.003_s0
B,5,10000,std,2.0,16,0.003,1,1,B_w5_K10000_c2.0_k16_lr0.003_s1
B,5,10000,std,2.0,16,0.003,1,2,B_w5_K10000_c2.0_k16_lr0.003_s2
B,5,10000,std,2.0,16,0.003,1,3,B_w5_K10000_c2.0_k16_lr0.003_s3
B,5,10000,std,2.0,16,0.003,1,4,B_w5_K10000_c2.0_k16_lr0.003_s4
B,5,10000,std,2.0,16,0.001,1,0,B_w5_K10000_c2.0_k16_lr0.001_s0
B,5,10000,std,2.0,16,0.001,1,1,B_w5_K10000_c2.0_k16_lr0.001_s1
B,5,10000,std,2.0,16,0.001,1,2,B_w5_K10000_c2.0_k16_lr0.001_s2
B,5,10000,std,2.0,16,0.001,1,3,B_w5_K10000_c2.0_k16_lr0.001_s3
B,5,10000,std,2.0,16,0.001,1,4,B_w5_K10000_c2.0_k16_lr0.001_s4
B,100,10000,std,2.0,1,0.003,1,0,B_w100_K10000_c2.0_lr0.003_s0
B,100,10000,std,2.0,1,0.003,1,1,B_w100_K10000_c2.0_lr0.003_s1
B,100,10000,std,2.0,1,0.003,1,2,B_w100_K10000_c2.0_lr0.003_s2
B,100,10000,std,2.0,1,0.003,1,3,B_w100_K10000_c2.0_lr0.003_s3
B,100,10000,std,2.0,1,0.003,1,4,B_w100_K10000_c2.0_lr0.003_s4
B,100,10000,std,2.0,1,0.001,1,0,B_w100_K10000_c2.0_lr0.001_s0
B,100,10000,std,2.0,1,0.001,1,1,B_w100_K10000_c2.0_lr0.001_s1
B,100,10000,std,2.0,1,0.001,1,2,B_w100_K10000_c2.0_lr0.001_s2
B,100,10000,std,2.0,1,0.001,1,3,B_w100_K10000_c2.0_lr0.001_s3
B,100,10000,std,2.0,1,0.001,1,4,B_w100_K10000_c2.0_lr0.001_s4
B,100,10000,std,2.0,4,0.003,1,0,B_w100_K10000_c2.0_k4_lr0.003_s0
B,100,10000,std,2.0,4,0.003,1,1,B_w100_K10000_c2.0_k4_lr0.003_s1
B,100,10000,std,2.0,4,0.003,1,2,B_w100_K10000_c2.0_k4_lr0.003_s2
B,100,10000,std,2.0,4,0.003,1,3,B_w100_K10000_c2.0_k4_lr0.003_s3
B,100,10000,std,2.0,4,0.003,1,4,B_w100_K10000_c2.0_k4_lr0.003_s4
B,100,10000,std,2.0,4,0.001,1,0,B_w100_K10000_c2.0_k4_lr0.001_s0
B,100,10000,std,2.0,4,0.001,1,1,B_w100_K10000_c2.0_k4_lr0.001_s1
B,100,10000,std,2.0,4,0.001,1,2,B_w100_K10000_c2.0_k4_lr0.001_s2
B,100,10000,std,2.0,4,0.001,1,3,B_w100_K10000_c2.0_k4_lr0.001_s3
B,100,10000,std,2.0,4,0.001,1,4,B_w100_K10000_c2.0_k4_lr0.001_s4
B,100,10000,std,2.0,16,0.003,1,0,B_w100_K10000_c2.0_k16_lr0.003_s0
B,100,10000,std,2.0,16,0.003,1,1,B_w100_K10000_c2.0_k16_lr0.003_s1
B,100,10000,std,2.0,16,0.003,1,2,B_w100_K10000_c2.0_k16_lr0.003_s2
B,100,10000,std,2.0,16,0.003,1,3,B_w100_K10000_c2.0_k16_lr0.003_s3
B,100,10000,std,2.0,16,0.003,1,4,B_w100_K10000_c2.0_k16_lr0.003_s4
B,100,10000,std,2.0,16,0.001,1,0,B_w100_K10000_c2.0_k16_lr0.001_s0
B,100,10000,std,2.0,16,0.001,1,1,B_w100_K10000_c2.0_k16_lr0.001_s1
B,100,10000,std,2.0,16,0.001,1,2,B_w100_K10000_c2.0_k16_lr0.001_s2
B,100,10000,std,2.0,16,0.001,1,3,B_w100_K10000_c2.0_k16_lr0.001_s3
B,100,10000,std,2.0,16,0.001,1,4,B_w100_K10000_c2.0_k16_lr0.001_s4
