arm,seed,a_fit,g_fit,R2_fit,R2_theory_0param,R2_MUT_shuffle_zbar,g_MUT,N120,sig120,s2_over_N2,width_term,offset_term,pred_s2,act_s2,off_frac,zbar120,rms_zbar_i,sig_width,depth_over_sigwidth,N20,sig20
LIN,0,0.06433295906061955,0.16394287212595113,0.9690534072446653,0.8991578836951287,0.34729273388030757,-0.0005107019399631328,7.158830173890576,1.882068602552102,0.0690453277551693,3.3643194543305155,0.16839006350772637,3.5327095178382417,3.542182224712422,0.0475385095472883,-0.14090879855465874,1.2430216387506534,1.834208127321029,-0.07682268792498728,3.2092869132728765,0.8753910328253981
LIN,1,0.06611871978861493,0.1150935848043206,0.9651195255649186,0.9634014758337677,0.5035902120121514,0.00017801464635806464,7.137184005187099,1.8808621992802972,0.06936563047084304,3.3444926177637275,0.17839626772092643,3.522888885484654,3.5376426126815166,0.050428007363271465,0.12084524883453727,1.2794206048861851,1.828795400738893,0.06607915176608158,3.21876243044756,0.8576507001642002
LIN,2,0.06532387018409203,0.1629398874991098,0.9645699899547344,0.9109605755201876,0.4836608909595693,-0.0010639699101090134,7.123302657906454,1.8833930089974216,0.06981773484292476,3.3317835269599407,0.16309360178010868,3.4948771287400495,3.547169226340362,0.045978522977989815,0.05869337414240825,1.2233167451718947,1.8253173770497944,0.032155161003985286,3.1936246629309726,0.8485234290682431
LR,0,0.06315462933635173,0.11959330537422322,0.9852600349884116,0.9795177179153665,0.31912334108497886,-0.0023210149694927163,8.396231536853593,2.7959129556552043,0.11072843265130114,4.629656436866473,3.223816919682173,7.853473356548646,7.817129255600621,0.4124041977906983,-4.260338054668588,5.438831995677852,2.1516636439895698,-1.9800204676829312,3.715067173827961,1.2489074599196366
LR,1,0.06561896772364491,0.08203837286901146,0.9677500508251936,0.8834291965536443,0.587681101596404,-0.0020061066372592325,8.39265737550945,2.5664420341865144,0.09338514920786903,4.625361972205122,2.655256325129528,7.28061829733465,6.586624714839414,0.40312852790099557,-4.055433341947214,4.935983333811879,2.150665471942376,-1.8856644117155725,3.7163948253020602,1.1544963361683804
LR,2,0.06629646804264304,0.09872008877786924,0.9701841176019873,0.9623758763535232,0.6036746473905321,2.1759466764920554e-05,8.472411416069393,2.7082827562003544,0.10206981345777091,4.712499435224481,3.000960866707036,7.713460301931517,7.334795487532189,0.4091403600561353,-4.682956246404998,5.247477978406464,2.170829204526344,-2.1572200321612947,3.7280336259527562,1.1861720619958496
ELU03,0,0.0673822590788654,0.11210722755204788,0.9981066176771138,0.9971594926770329,-0.037830178153999805,0.0013464771435883426,8.200023019826357,3.234408527982152,0.15475388509874685,4.43311307661224,5.7726296453103885,10.205742721922629,10.461398525883672,0.5518028618284357,-4.075386095979622,7.277920483498639,2.1054959217752574,-1.9355943907711035,3.7447422144672573,1.2938845073499272
ELU03,1,0.06885290907696416,0.08043112734450195,0.9988443151113,0.860748604842448,-0.06602203085240821,0.0033543243360163897,8.051768422497837,3.5472268481046,0.19194382601020146,4.298969871576229,11.089029816509115,15.387999688085344,12.582818311914096,0.8812834725595154,-5.380293010318519,10.087121088112028,2.0733957344357177,-2.5949185295217103,3.7344144437558278,1.259400631711926
ELU03,2,0.06948453544420438,0.09401398899637838,0.9991610544274302,0.9716710536303087,-0.07229438911832076,0.0069371733449214365,8.11104907944181,3.4040484640194,0.17405284647827393,4.365871631075657,8.161631192220714,12.52750282329637,11.587545945392838,0.7043450986673969,-4.85985744753044,8.653841600122425,2.0894668293791256,-2.3258839906898747,3.742964558818185,1.2571702349883653
ELU1,0,0.06884802988638784,0.10933881783733203,0.9993016220509809,0.999263976788707,-0.12141027483880396,0.01106695621747464,8.270829511699906,4.728204541195138,0.31533508794030957,4.649227911588842,17.576232849973984,22.225460761562825,22.355918183378332,0.7862004461548775,-6.966443546664486,12.699404524847216,2.156206834139258,-3.2308790772595053,3.69849660288866,1.5090528496555045
ELU1,1,0.06816241652794128,0.08005674570329468,0.999319832475004,0.854401144768846,-0.0893821656426188,0.005986100194320119,8.388253903898988,3.9361228315949646,0.21592735707895744,4.7053316472296975,14.585426517876552,19.29075816510625,15.49306294540316,0.9414165920112068,-6.405386803556232,11.568579233520243,2.1691776430780623,-2.9529102072373337,3.7372920430535728,1.311168097855826
ELU1,2,0.06923329483980888,0.09429940363516663,0.9994984239330854,0.9721813059484078,-0.10589554061256967,0.01063840886155997,8.202761411481509,4.481588830564934,0.289926890709833,4.542931027622211,17.85383885679527,22.39676988441748,20.08463844624437,0.8889300598853331,-6.919548606078888,12.799301338753686,2.1314152640023507,-3.2464572826064066,3.6984961493882325,1.3869827712173128
